articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524631591,일반상가,월세,1/4,300,"3,000",77,70,서향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.594643,127.063376
2524593463,단지내상가,매매,2/2,,"5억 2,000",37,28,동향,20250508,"['4년이내', '역세권', '고층', '관리비10만원이하']",37.594352,127.063978
2524542865,일반상가,월세,1/6,110,"2,000",47,36,남향,20250508,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.582276,127.069272
2524536440,일반상가,월세,B1/4,200,"3,000",101,100,북향,20250508,"['10년이내', '융자금적은', '지하층', '주차가능']",37.586133,127.061318
2524533127,일반상가,월세,1/5,190,"3,500",49,42,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.581632,127.07256
2524532321,일반상가,월세,B1/3,80,"2,000",165,165,동향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.588,127.060472
2524460728,일반상가,월세,1/2,55,"1,000",23,19,서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.587085,127.060428
2524483102,일반상가,월세,1/3,70,"1,000",23,23,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.587243,127.060265
2524532897,일반상가,월세,1/6,120,"2,000",42,42,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.588879,127.05965
2524537055,일반상가,월세,1/3,70,"1,000",38,37,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.588,127.060472
2524369974,단지내상가,월세,6/14,160,"3,000",106,106,북서향,20250508,"['15년이내', '역세권', '중층', '엘리베이터']",37.59079,127.056688
2524383263,일반상가,월세,1/5,50,"1,000",33,29,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.588283,127.060522
2524053084,일반상가,월세,1/5,200,"2,000",66,66,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.590014,127.061144
2524053138,일반상가,월세,1/3,150,"3,000",66,66,북향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.590225,127.061907
2524022715,일반상가,월세,B1/5,165,"2,000",167,160,북서향,20250507,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.592404,127.057814
2523876594,일반상가,월세,1/18,180,"3,000",48,48,남향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.589969,127.06092
2523807554,단지내상가,월세,1/1,250,"2,600",67,61,서향,20250507,"['25년이내', '1층', '주차가능', '서향']",37.59262,127.067722
