articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524663804,단지내상가,월세,1/4,70,"1,000",46,38,남서향,20250509,"['25년이내', '융자금적은', '역세권', '1층']",37.512045,126.929095
2524625397,일반상가,월세,1/14,200,"4,000",40,33,북향,20250509,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.49961,126.92466
2524651948,일반상가,월세,2/8,240,"2,000",132,115,남향,20250509,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.500012,126.925641
2524614808,일반상가,월세,2/2,280,"5,000",76,76,남향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.500119,126.920968
2524657843,일반상가,월세,1/5,400,"5,000",70,70,남향,20250509,"['25년이내', '융자금없는', '1층', '주차가능']",37.510438,126.931869
2524657505,일반상가,월세,1/3,180,"3,000",95,95,서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.512194,126.9322
2524669295,일반상가,월세,3/7,150,"1,500",137,137,서향,20250509,"['25년이내', '중층', '관리비20만원이하', '주차가능']",37.509016,126.931889
2524653897,일반상가,월세,1/2,120,"1,000",38,38,남서향,20250509,"['25년이상', '융자금없는', '1층', '주차가능']",37.508511,126.932433
2524618390,일반상가,월세,3/3,90,"1,500",94,94,남향,20250509,"['25년이상', '융자금없는', '역세권', '고층']",37.498411,126.920732
2524409369,일반상가,월세,1/6,90,"1,000",45,36,남향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.509768,126.932349
2524386412,일반상가,월세,2/6,500,1억,218,218,남서향,20250508,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.511999,126.925529
2524389827,일반상가,월세,B1/5,65,"1,000",12,12,서향,20250508,"['4년이내', '역세권', '지하층', '관리비10만원이하']",37.501031,126.927728
2524440926,일반상가,월세,B1/3,100,"2,000",168,66,남향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.499905,126.929225
2524554953,일반상가,월세,1/2,308,"2,500",91,52,북서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.503565,126.921966
2524410512,일반상가,월세,1/3,100,"2,000",30,18,남동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.511794,126.926763
2524314522,일반상가,월세,1/5,120,"2,000",80,60,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.503007,126.923111
2524436280,일반상가,월세,1/2,90,"1,000",33,28,남서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.502988,126.922874
2524431881,일반상가,월세,1/5,100,"2,000",70,65,서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.50491,126.92382
2524349061,일반상가,월세,2/8,240,"2,000",132,105,남향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.500012,126.925641
2524527814,일반상가,월세,1/3,160,"1,200",55,55,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.498598,126.924177
2524447863,일반상가,월세,1/5,120,"2,000",66,49,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.503007,126.923111
2524437441,일반상가,월세,2/4,180,"3,000",108,99,남향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.500002,126.926173
2524452275,일반상가,월세,1/14,200,"4,000",33,33,북향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.49961,126.92466
2524527574,일반상가,월세,2/3,150,"2,000",136,136,남동향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.498598,126.924177
2524386966,일반상가,월세,2/6,470,"7,000",138,138,남동향,20250508,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.50521,126.922699
2524491727,일반상가,월세,1/6,400,"5,000",70,66,남서향,20250508,"['25년이내', '융자금적은', '1층', '주차가능']",37.510438,126.931869
2524502169,일반상가,월세,3/4,250,"5,000",154,154,남향,20250508,"['25년이내', '융자금없는', '역세권', '고층']",37.503756,126.92337
2524568713,일반상가,월세,1/3,170,"2,000",118,43,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.503102,126.921797
2524542780,일반상가,월세,2/8,240,"2,000",132,120,남향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.500012,126.925641
2524577844,일반상가,월세,2/3,150,"2,000",151,140,남향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.504158,126.925297
2524436752,일반상가,월세,1/10,110,"2,000",64,16,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.499981,126.926768
2524448530,일반상가,월세,2/5,400,"5,000",290,290,남향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.503007,126.923111
2524446434,일반상가,월세,2/6,500,1억,252,218,남향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.511999,126.925529
2524451850,일반상가,월세,B1/4,220,"4,000",138,138,남향,20250508,"['25년이상', '역세권', '지하층', '총4층']",37.499192,126.927929
2524455515,일반상가,월세,B2/9,300,1억,349,235,남향,20250508,"['15년이내', '역세권', '지하층', '주차가능']",37.499966,126.927561
2524479998,일반상가,매매,1/4,,61억,759,759,남향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.504212,126.922559
2524330735,단지내상가,매매,2/5,,"8억 9,000",100,100,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.507302,126.924725
2524376469,일반상가,월세,B2/8,600,"7,000",143,120,서향,20250508,"['25년이내', '융자금없는', '역세권', '지하층']",37.505908,126.923005
2524474547,일반상가,월세,1/4,247,"3,000",66,66,남향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.499901,126.928921
2524418202,일반상가,월세,B1/3,230,"4,000",168,168,남동향,20250508,"['25년이상', '역세권', '지하층', '총3층']",37.499905,126.929225
2524438697,일반상가,월세,1/3,130,"2,000",56,49,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.503645,126.924082
2524378336,일반상가,월세,5/6,430,"5,000",144,144,서향,20250508,"['2년이내', '융자금없는', '역세권', '고층']",37.505356,126.922755
2524415514,일반상가,월세,1/4,200,"3,000",42,42,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.499598,126.925165
2524545762,단지내상가,매매,B1/14,,28억,663,540,북향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.49961,126.92466
2524429350,일반상가,월세,1/9,340,"8,000",80,52,남동향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.499966,126.927561
2524558967,단지내상가,월세,1/2,155,"3,000",43,41,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.512696,126.930785
2524249755,일반상가,월세,1/4,"1,100","8,000",198,198,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.500025,126.925857
2524206949,일반상가,월세,1/5,430,"8,000",160,143,남서향,20250507,"['25년이상', '역세권', '1층', '총5층']",37.500211,126.928171
2524272879,일반상가,월세,B2/8,400,"5,000",120,120,남향,20250507,"['25년이내', '융자금적은', '역세권', '지하층']",37.505908,126.923005
2524103886,일반상가,월세,1/9,340,"8,000",52,52,북향,20250507,"['15년이내', '테라스', '역세권', '1층']",37.499962,126.927707
2524015455,일반상가,월세,1/5,190,"2,000",39,39,북향,20250507,"['25년이상', '역세권', '1층', '총5층']",37.512903,126.928372
2523936960,단지내상가,매매,2/5,,"2억 1,000",55,27,동향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.507302,126.924725
2524280659,일반상가,월세,2/9,272,"3,500",139,83,북서향,20250507,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.499553,126.926859
2524121983,일반상가,월세,1/3,120,"2,000",21,21,남서향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.50301,126.921871
2523824206,일반상가,월세,1/3,120,"2,000",21,21,남서향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.503016,126.921845
2523837530,일반상가,월세,2/8,240,"2,000",132,132,남향,20250507,"['25년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.500012,126.925641
2523909097,일반상가,월세,1/3,110,"1,000",33,23,남향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.499234,126.927742
2524012928,일반상가,월세,1/1,100,"1,000",19,19,북향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.503939,126.922325
