articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524518460,단지내상가,매매,1/2,,5억,23,23,북동향,20250508,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.494915,126.978604
2524576859,단지내상가,월세,1/2,130,"3,000",21,21,동향,20250508,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.494915,126.978604
2523882148,단지내상가,월세,1/2,240,"4,000",47,47,북향,20250507,"['15년이내', '융자금없는', '1층', '주차가능']",37.494915,126.978604
2523340223,단지내상가,월세,1/2,220,"4,000",64,47,동향,20250502,"['15년이내', '융자금없는', '1층', '주차가능']",37.494915,126.978604
2522595536,단지내상가,매매,1/1,,4억,26,26,남동향,20250428,"['15년이내', '1층', '주차가능', '남동향']",37.494915,126.978604
2522623731,일반상가,월세,1/4,280,"3,000",181,181,동향,20250428,"['25년이상', '융자금없는', '1층', '주차가능']",37.494934,126.982442
2522402766,단지내상가,매매,1/2,,10억,66,48,동향,20250426,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.494915,126.978604
2521346744,일반상가,월세,1/4,280,"3,000",116,116,동향,20250421,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.494934,126.982442
2520989606,단지내상가,매매,B1/12,,"3억 6,465",91,49,동향,20250419,"['4년이내', '지하층', '관리비20만원이하', '주차가능']",37.496916,126.981713
2520989358,단지내상가,매매,B1/12,,"3억 2,662",93,50,동향,20250419,"['4년이내', '지하층', '관리비20만원이하', '주차가능']",37.496916,126.981713
2520990768,단지내상가,매매,B1/12,,"3억 5,035",100,54,동향,20250419,"['4년이내', '지하층', '관리비20만원이하', '주차가능']",37.496916,126.981713
