articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524615964,일반상가,월세,1/4,100,"2,000",39,39,동향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.503154,126.951744
2524623687,일반상가,월세,1/5,140,"2,000",78,52,동향,20250509,"['2년이내', '1층', '관리비10만원이하', '주차가능']",37.500548,126.952029
2524661773,일반상가,월세,B1/4,120,"2,500",135,135,서향,20250509,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.504656,126.951191
2524615485,일반상가,월세,1/4,150,"2,000",98,98,동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.503554,126.950141
2524419501,일반상가,월세,1/6,200,"5,000",39,29,북향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.503658,126.949164
2524498167,일반상가,월세,B1/4,120,"2,500",135,120,북서향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.504656,126.951191
2524465893,일반상가,월세,1/4,70,"1,000",69,25,남동향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.50063,126.951033
2524323744,일반상가,월세,1/1,170,"3,000",75,30,동향,20250508,"['25년이상', '역세권', '1층', '동향']",37.501843,126.948459
2524439763,일반상가,월세,2/5,100,"2,000",40,38,남서향,20250508,"['25년이상', '역세권', '중층', '총5층']",37.504471,126.949515
2524357584,일반상가,월세,1/2,90,"2,000",31,28,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.499945,126.951439
2524480686,일반상가,월세,B1/6,170,"3,000",149,149,북서향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.50309,126.948335
2524449534,일반상가,월세,4/5,350,"5,000",109,109,북서향,20250508,"['25년이상', '역세권', '고층', '총5층']",37.503897,126.949547
2524440213,일반상가,월세,6/6,300,"5,000",105,89,북향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.503658,126.949164
2524369272,일반상가,월세,1/4,120,"2,000",43,40,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.500365,126.950537
2524013566,일반상가,월세,4/5,110,"2,000",81,81,남향,20250507,"['25년이상', '융자금적은', '역세권', '고층']",37.504471,126.949515
2523954142,일반상가,월세,1/5,60,"1,000",15,10,서향,20250507,"['10년이내', '융자금없는', '역세권', '1층']",37.503182,126.951953
2523846448,일반상가,월세,1/4,70,"1,000",25,25,남향,20250507,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.50063,126.951033
2524067575,일반상가,월세,1/4,180,"2,000",53,53,남서향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.500701,126.950174
2524214094,일반상가,월세,1/3,200,"3,000",69,58,북동향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.50262,126.948738
2524005921,일반상가,월세,1/4,340,1억,100,100,남서향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.500157,126.950647
2524041309,일반상가,월세,B1/6,170,"3,000",149,120,북동향,20250507,"['10년이내', '역세권', '지하층', '주차가능']",37.50309,126.948335
2524219909,일반상가,월세,6/6,180,"2,000",99,99,동향,20250507,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.502032,126.948253
2524206033,일반상가,월세,1/1,60,500,26,26,남동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.502317,126.947784
2524047751,일반상가,월세,1/5,300,"3,000",64,64,북동향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.502398,126.947937
2524006768,일반상가,월세,1/3,200,"5,000",30,30,남서향,20250507,"['25년이내', '역세권', '1층', '총3층']",37.502765,126.948386
2523860924,일반상가,월세,1/2,90,"2,000",31,31,남동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.499945,126.951439
2524013471,일반상가,월세,2/5,100,"2,000",40,40,남향,20250506,"['25년이상', '융자금적은', '역세권', '급매']",37.504471,126.949515
2523796552,일반상가,월세,1/2,140,"1,500",43,43,북동향,20250503,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.501191,126.948946
2523591454,일반상가,월세,B1/5,100,"1,000",120,100,북서향,20250502,"['25년이내', '역세권', '지하층', '주차가능']",37.502146,126.947873
2523617763,일반상가,월세,B1/5,100,"2,000",58,56,동향,20250502,"['25년이상', '역세권', '지하층', '주차가능']",37.50284,126.951737
2523617545,일반상가,월세,1/4,170,"2,000",61,61,남향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.504937,126.951307
2523468637,일반상가,월세,4/5,500,"1억 2,000",112,112,동향,20250502,"['25년이상', '역세권', '고층', '주차가능']",37.501366,126.948832
2523568872,일반상가,월세,2/3,120,"2,000",91,91,,20250502,"['25년이상', '융자금적은', '역세권', '중층']",37.504222,126.948834
2523405195,일반상가,월세,1/5,140,"2,000",32,23,동향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.502398,126.947937
2523329810,일반상가,월세,1/2,700,1억,299,299,동향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.502061,126.950007
2523223864,일반상가,월세,B1/5,100,"1,000",120,117,북동향,20250502,"['25년이내', '융자금적은', '역세권', '지하층']",37.502146,126.947873
2523591797,일반상가,월세,3/3,250,"2,000",104,99,남동향,20250502,"['25년이상', '역세권', '고층', '총3층']",37.503675,126.948123
2523327503,일반상가,월세,1/3,120,"2,000",42,34,북서향,20250501,"['25년이상', '역세권', '1층', '주차가능']",37.501023,126.95069
