articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524626645,일반상가,월세,3/7,400,1억,181,181,북향,20250509,"['15년이내', '역세권', '중층', '주차가능']",37.505046,126.942902
2524652843,일반상가,월세,2/6,320,"5,000",140,140,북동향,20250509,"['25년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.497,126.952629
2524613228,단지내상가,월세,2/5,50,"1,000",19,19,서향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.493536,126.957412
2524680980,일반상가,월세,2/4,270,"3,000",84,84,북동향,20250509,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.498085,126.951695
2524680377,일반상가,월세,1/4,420,"5,000",84,84,북동향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.498085,126.951695
2524679223,일반상가,월세,1/4,100,"1,000",33,33,남서향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.494845,126.955276
2524671297,일반상가,월세,1/6,380,"5,000",111,99,남동향,20250509,"['4년이내', '역세권', '1층', '주차가능']",37.503897,126.937006
2524634387,단지내상가,월세,1/1,105,"2,000",23,23,남향,20250509,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.504631,126.943335
2524673938,일반상가,월세,1/3,330,"5,000",120,120,북동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.499268,126.951651
2524421822,일반상가,월세,B1/4,150,"2,000",53,53,북서향,20250508,"['4년이내', '역세권', '지하층', '관리비20만원이하']",37.498626,126.931814
2524424998,일반상가,월세,1/15,240,"3,000",49,39,북향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.504981,126.93795
2524354320,단지내상가,월세,2/2,100,"1,000",51,47,남향,20250508,"['15년이내', '융자금없는', '고층', '관리비10만원이하']",37.49541,126.950894
2524429130,단지내상가,매매,1/2,,"7억 5,000",88,43,북동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.50388,126.942784
2524444394,단지내상가,월세,2/2,450,1억,216,124,남동향,20250508,"['10년이내', '역세권', '고층', '주차가능']",37.505779,126.938334
2524439187,복합상가,월세,2/5,280,"3,000",114,108,동향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.505531,126.946617
2524505778,일반상가,월세,2/2,350,"7,000",237,200,남향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.500765,126.933002
2524589646,일반상가,월세,1/6,200,"5,000",39,39,북동향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.493627,126.954299
2524574165,일반상가,월세,1/5,230,"3,000",27,27,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.49915,126.930358
