articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524652287,일반상가,월세,B1/5,200,"3,000",123,115,북향,20250509,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.497779,126.925192
2524652050,단지내상가,월세,1/2,250,"3,000",113,58,남향,20250509,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.498553,126.926093
2524688940,단지내상가,월세,1/1,200,"3,000",128,66,남향,20250509,"['4년이내', '역세권', '1층', '주차가능']",37.498553,126.926093
2524621449,일반상가,월세,1/6,100,"2,000",80,80,남서향,20250509,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.488238,126.910468
2524677454,일반상가,월세,B1/3,110,"1,000",103,103,북향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.49631,126.92742
2524679628,일반상가,월세,2/3,100,"1,000",87,87,동향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.495539,126.927276
2524652615,단지내상가,월세,1/2,300,"3,000",128,66,남향,20250509,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.498553,126.926093
2524651672,단지내상가,월세,2/2,170,"2,000",110,58,동향,20250509,"['4년이내', '역세권', '고층', '관리비20만원이하']",37.498553,126.926093
2524679803,일반상가,월세,1/3,300,"4,000",87,87,동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.495539,126.927276
2524623624,일반상가,월세,1/3,242,"3,000",42,42,서향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.497783,126.928264
2524672981,일반상가,월세,1/2,120,"1,000",81,68,북향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.495228,126.927196
2524648796,단지내상가,월세,1/1,65,"1,000",11,11,남향,20250509,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.498553,126.926093
2524661055,일반상가,월세,1/4,150,"2,000",24,24,동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.498385,126.928949
2524298687,단지내상가,월세,B1/41,250,"5,000",404,205,동향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.491326,126.92411
2524483732,단지내상가,월세,2/41,290,"3,000",192,115,북향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.491326,126.92411
2524528556,일반상가,월세,1/5,150,"5,000",99,99,동향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.493886,126.92646
2524490950,단지내상가,월세,1/49,190,"3,000",82,37,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.491429,126.923379
2524385635,복합상가,월세,3/20,700,"9,000",211,178,남향,20250508,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.498679,126.927764
2524496102,단지내상가,매매,1/25,,"2억 6,000",66,34,서향,20250508,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.487533,126.906849
2524421903,일반상가,월세,B1/30,120,600,56,56,남동향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.491993,126.924267
