articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524630825,단지내상가,월세,1/2,380,"5,000",136,69,북향,20250509,"['4년이내', '융자금없는', '1층', '주차가능']",37.500333,126.960768
2524326295,단지내상가,월세,1/1,180,"3,000",45,36,동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.510764,126.959758
2524600042,일반상가,매매,2/2,,11억,98,98,남향,20250508,"['25년이상', '역세권', '고층', '총2층']",37.507577,126.959453
2524393482,단지내상가,월세,1/5,190,"5,000",56,33,동향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.506605,126.966481
2524317783,일반상가,월세,1/3,315,"3,000",129,129,동향,20250508,"['25년이상', '1층', '관리비20만원이하', '총3층']",37.507091,126.958165
2524599818,일반상가,월세,1/2,270,"2,700",61,61,남향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.507577,126.959453
2524538144,일반상가,월세,B1/2,50,"1,000",36,36,남향,20250508,"['25년이상', '역세권', '지하층', '총2층']",37.507577,126.959453
2524535952,일반상가,월세,1/2,500,1억,214,165,남향,20250508,"['25년이상', '1층', '총2층', '남향']",37.506903,126.969593
2524438756,일반상가,월세,1/3,260,"4,000",25,25,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.50857,126.961217
2524535196,일반상가,월세,B1/5,90,"1,000",42,33,북동향,20250508,"['10년이내', '지하층', '주차가능', '총5층']",37.508486,126.958537
2524442017,일반상가,월세,3/3,230,"3,000",129,129,남향,20250508,"['25년이상', '고층', '총3층', '남향']",37.50706,126.958432
2524443014,일반상가,월세,2/3,250,"3,000",55,55,동향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.508349,126.961134
2524535490,단지내상가,월세,1/20,235,"4,000",31,31,서향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.506678,126.962195
2524333350,일반상가,월세,1/4,165,"2,000",51,46,북향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.50671,126.961452
2524454320,일반상가,월세,1/3,180,"2,000",143,60,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.507028,126.966015
2524579050,일반상가,월세,1/3,200,"5,000",50,50,동향,20250508,"['25년이내', '융자금없는', '1층', '총3층']",37.505966,126.956784
2524538578,일반상가,월세,1/2,120,"2,000",38,19,북서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.507702,126.962506
2524537544,일반상가,월세,1/2,120,"1,300",97,36,동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.507483,126.963271
2524537037,단지내상가,월세,B1/15,100,1억,2328,13,남향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.507057,126.960875
2524538229,일반상가,월세,2/4,700,1억,94,94,서향,20250508,"['4년이내', '중층', '주차가능', '총4층']",37.506989,126.958055
2524571202,일반상가,월세,1/3,55,"2,000",39,33,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.508563,126.961747
2524537300,일반상가,월세,4/4,160,"3,000",321,115,북향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.507729,126.963299
2524536135,일반상가,월세,1/1,500,"7,000",182,182,북동향,20250508,"['25년이상', '역세권', '1층', '북동향']",37.508225,126.962617
2524536848,일반상가,월세,1/4,75,"1,000",68,29,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.507177,126.963795
2524537826,일반상가,월세,4/9,160,"2,000",134,82,서향,20250508,"['25년이내', '역세권', '중층', '관리비20만원이하']",37.508366,126.961659
2524445019,일반상가,월세,B1/2,100,"1,000",77,77,남동향,20250508,"['25년이상', '지하층', '총2층', '남동향']",37.506741,126.959694
2524534853,일반상가,월세,1/3,252,"4,000",60,60,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.507564,126.959557
2524529666,일반상가,월세,1/3,120,"2,000",19,19,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.507687,126.959258
2524426566,단지내상가,월세,B1/2,300,"5,000",116,58,북서향,20250508,"['4년이내', '지하층', '주차가능', '엘리베이터']",37.500333,126.960768
2524535698,일반상가,월세,B1/2,90,"1,500",57,42,북동향,20250508,"['25년이상', '지하층', '총2층', '북동향']",37.506969,126.959394
2524425115,단지내상가,월세,B2/2,280,"5,000",111,56,북서향,20250508,"['4년이내', '지하층', '주차가능', '엘리베이터']",37.500333,126.960768
