articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524609137,일반상가,월세,1/3,150,"2,000",72,72,서향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.546724,126.93282
2524546853,일반상가,월세,1/4,130,"2,000",49,49,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.545506,126.933024
2523992053,일반상가,월세,1/5,500,"8,000",121,121,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.544932,126.932407
2524110429,일반상가,월세,1/4,550,1억,145,145,북향,20250507,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.547174,126.932937
2524258768,일반상가,월세,1/2,150,"2,000",41,41,서향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.546767,126.932617
2523938318,일반상가,월세,B1/5,160,"2,000",185,185,북향,20250506,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.545267,126.932031
2523621763,일반상가,월세,1/4,250,"3,000",86,86,북서향,20250503,"['25년이상', '역세권', '1층', '총4층']",37.545208,126.932623
2523279299,일반상가,월세,2/3,60,"1,000",35,35,동향,20250502,"['15년이내', '역세권', '중층', '총3층']",37.547181,126.933155
2523278954,일반상가,월세,1/3,100,"1,000",39,39,남서향,20250502,"['15년이내', '역세권', '1층', '총3층']",37.547181,126.933155
2523333521,일반상가,월세,B1/4,160,"2,000",185,185,북향,20250501,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.545267,126.932031
2523086587,일반상가,월세,1/4,250,"4,000",105,105,남향,20250430,"['25년이상', '역세권', '1층', '주차가능']",37.545506,126.933024
2522928716,일반상가,월세,1/4,450,"1억 5,000",121,121,남동향,20250429,"['2년이내', '융자금없는', '역세권', '1층']",37.544932,126.932407
2522672876,일반상가,월세,1/4,180,"2,000",40,40,북서향,20250428,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.545067,126.931772
2522136758,일반상가,월세,4/4,180,"2,000",147,140,남향,20250425,"['25년이상', '역세권', '고층', '주차가능']",37.545506,126.933024
2522212248,일반상가,월세,1/7,400,"4,000",88,88,북향,20250425,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.547198,126.933377
2522212200,일반상가,월세,2/7,300,"3,000",119,119,북향,20250425,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.547198,126.933377
2521910715,일반상가,월세,1/7,400,"4,000",88,85,북동향,20250424,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.547198,126.933377
2521995717,일반상가,월세,1/3,120,"1,500",38,38,서향,20250424,"['25년이상', '역세권', '1층', '주차가능']",37.546724,126.93282
2521656802,일반상가,월세,2/7,300,"3,000",119,100,북동향,20250423,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.547198,126.933377
2521796890,일반상가,월세,2/2,180,"3,000",71,71,북동향,20250423,"['25년이상', '역세권', '고층', '총2층']",37.54711,126.932783
2521230454,일반상가,월세,1/3,160,"2,000",75,75,동향,20250421,"['15년이내', '역세권', '1층', '총3층']",37.547181,126.933155
2520837211,단지내상가,월세,1/3,130,"2,000",66,66,서향,20250418,"['25년이상', '융자금없는', '역세권', '1층']",37.546724,126.93282
2520329945,일반상가,월세,1/4,130,"2,000",143,46,남향,20250416,"['25년이상', '융자금없는', '역세권', '1층']",37.545506,126.933024
2519898377,일반상가,월세,2/2,120,"2,000",75,75,서향,20250414,"['25년이상', '역세권', '고층', '총2층']",37.546972,126.932683
2518882297,일반상가,월세,4/7,180,"2,000",90,90,북향,20250410,"['25년이내', '테라스', '역세권', '중층']",37.547198,126.933377
2518786497,일반상가,월세,1/3,100,"1,000",40,40,동향,20250409,"['15년이내', '역세권', '1층', '총3층']",37.547181,126.933155
