articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524623083,일반상가,월세,5/5,130,"2,000",100,82,북향,20250509,"['25년이상', '테라스', '역세권', '고층']",37.555848,126.934003
2524581674,일반상가,월세,1/4,90,"2,000",42,42,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.55477,126.941829
2524414472,일반상가,월세,1/5,850,"1억 5,000",222,222,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.555178,126.938552
2524411204,일반상가,월세,1/8,170,"2,000",55,29,서향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.555423,126.933814
2524536406,일반상가,월세,2/3,550,"7,000",189,178,북동향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.555612,126.934799
2524488966,복합상가,월세,B1/15,150,"3,000",119,84,북서향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.556175,126.941291
2524448039,일반상가,월세,1/7,400,1억,145,82,북향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.555551,126.939111
2524305793,일반상가,월세,2/3,550,"7,000",189,189,북동향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.555612,126.934799
2524408285,일반상가,월세,B1/4,130,"3,000",97,79,북향,20250508,"['25년이내', '역세권', '지하층', '총4층']",37.554497,126.937954
2524370585,일반상가,월세,5/5,120,"2,000",33,33,북향,20250508,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.555495,126.933939
2524418603,복합상가,매매,1/15,,"3억 5,000",17,17,남동향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.556175,126.941291
2524416276,복합상가,매매,B1/15,,2억,10,10,,20250508,"['10년이내', '테라스', '역세권', '지하층']",37.556175,126.941291
2524375763,일반상가,월세,4/5,180,"2,500",54,54,북향,20250508,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.555495,126.933939
2524436570,일반상가,월세,2/5,200,"2,900",54,40,북향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.555495,126.933939
2524376451,일반상가,월세,2/5,200,"2,900",54,54,북향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.555495,126.933939
2524575701,일반상가,월세,5/15,800,2억,240,180,서향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.555175,126.935657
2524477177,일반상가,월세,5/5,120,"2,000",32,32,북동향,20250508,"['25년이상', '테라스', '역세권', '고층']",37.555495,126.933939
2524575924,일반상가,월세,B1/8,600,1억,299,299,동향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.553109,126.936972
2524422451,일반상가,월세,1/5,250,"5,000",67,67,북향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.555178,126.938552
2524570288,일반상가,월세,1/3,90,"1,000",35,21,북향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.555764,126.940848
2524413506,복합상가,매매,B1/15,,3억,84,84,남동향,20250508,"['10년이내', '역세권', '지하층', '관리비10만원이하']",37.556175,126.941291
2524375964,일반상가,월세,1/5,270,"4,900",50,50,북향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.555495,126.933939
2524544337,일반상가,월세,1/8,120,"2,000",26,26,북서향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.554138,126.935964
2524536451,일반상가,월세,B1/3,350,"5,000",189,178,북동향,20250508,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.555612,126.934799
2523919177,단지내상가,월세,B1/4,120,"2,000",100,100,남향,20250507,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.553426,126.934886
2523812756,일반상가,월세,2/5,200,"2,900",54,44,북향,20250507,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.555495,126.933939
2523846651,일반상가,월세,2/15,120,"1,500",95,48,,20250507,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.554877,126.935397
2523896003,일반상가,월세,1/8,330,"5,000",93,93,남향,20250507,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.555143,126.932829
2524195078,일반상가,월세,1/1,550,1억,88,88,북서향,20250507,"['25년이상', '역세권', '1층', '북서향']",37.556081,126.940778
2523849081,일반상가,월세,1/15,250,1억,103,62,북향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.554066,126.935688
2524282864,일반상가,월세,1/4,600,1억,196,196,북동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.555497,126.94017
2524175880,일반상가,월세,B1/8,600,1억,299,280,북향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.553077,126.936894
2524006145,일반상가,월세,1/4,80,"1,000",53,25,서향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.555473,126.932742
2524033373,일반상가,월세,5/15,800,2억,240,178,북동향,20250507,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.555175,126.935657
2524112516,일반상가,월세,1/5,670,1억,222,124,북향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.555178,126.938552
2524018687,복합상가,월세,1/15,300,"3,000",638,120,북향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.556227,126.942259
2524149499,일반상가,월세,1/7,205,"3,000",61,61,북향,20250507,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.554863,126.934401
2523849388,일반상가,월세,B1/3,390,"5,000",189,145,북향,20250505,"['25년이상', '역세권', '지하층', '총3층']",37.555612,126.934799
2523848324,일반상가,월세,1/1,200,"3,000",27,27,북향,20250505,"['25년이상', '역세권', '1층', '북향']",37.556182,126.940905
2523849940,일반상가,월세,B1/8,150,"5,000",139,95,동향,20250505,"['15년이내', '역세권', '지하층', '동향']",37.554959,126.934127
2523596277,일반상가,월세,5/15,220,"4,500",70,50,북향,20250502,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.556175,126.941291
2523408092,일반상가,월세,4/7,550,"8,000",148,148,남서향,20250502,"['2년이내', '역세권', '중층', '주차가능']",37.553795,126.933723
