articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524624150,단지내상가,월세,2/20,170,"2,500",81,41,남향,20250509,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.556303,126.943269
2524617987,일반상가,월세,1/5,200,"3,000",64,64,서향,20250509,"['25년이내', '역세권', '1층', '총5층']",37.555809,126.946142
2524639770,단지내상가,월세,1/1,280,"5,000",36,36,동향,20250509,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.555381,126.944484
2524615644,일반상가,월세,1/6,500,"5,000",170,170,남향,20250509,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.543438,126.943413
2524632310,일반상가,월세,1/6,400,"6,500",123,123,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.545399,126.939342
2524352185,일반상가,월세,1/3,130,"1,000",16,16,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.546983,126.943554
2524588990,일반상가,월세,1/3,135,"4,000",45,37,남동향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.556492,126.945485
2524413314,일반상가,월세,1/3,60,"1,000",22,22,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.555389,126.946428
2524334102,일반상가,월세,2/3,210,"3,000",36,36,남동향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.545474,126.944211
2524366627,단지내상가,매매,1/19,,25억,348,252,,20250508,"['15년이내', '역세권', '1층']",37.556378,126.944278
2524417928,일반상가,월세,1/5,150,"2,000",51,51,남서향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.556076,126.946124
2524586895,단지내상가,월세,1/2,300,"5,000",63,36,동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.555381,126.944484
2524597387,일반상가,월세,1/3,100,"1,000",39,13,남향,20250508,"['25년이내', '융자금없는', '1층', '총3층']",37.544144,126.938893
2524456860,일반상가,월세,1/9,270,"3,000",41,36,북향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.547439,126.942512
2524371050,일반상가,월세,2/3,250,"3,000",69,69,남향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.546628,126.942655
2524424201,일반상가,월세,1/6,400,"6,500",139,139,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.545399,126.939342
2524458773,일반상가,월세,1/1,200,"3,000",46,46,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.547246,126.942675
2524340811,일반상가,월세,1/2,200,"4,000",49,49,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총2층']",37.543144,126.943326
2524375582,일반상가,월세,1/3,100,"1,000",33,33,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.544576,126.93996
2524317358,일반상가,월세,3/5,100,"2,000",31,31,북향,20250508,"['10년이내', '역세권', '중층', '관리비10만원이하']",37.546773,126.942267
2524269706,일반상가,월세,2/4,100,"2,000",62,62,북동향,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.547354,126.943662
2524207428,일반상가,월세,4/5,250,"3,000",116,116,북향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.547334,126.941946
