articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524632794,일반상가,월세,B1/36,250,"3,000",59,31,북향,20250509,"['25년이내', '융자금없는', '역세권', '지하층']",37.540049,126.945477
2524635550,단지내상가,월세,1/37,260,"5,000",58,30,남동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.540049,126.945477
2524631838,일반상가,월세,3/4,800,1억,132,132,남향,20250509,"['25년이상', '융자금없는', '역세권', '고층']",37.540993,126.949301
2524631850,일반상가,월세,1/4,"1,400","1억 5,000",132,132,남향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.540993,126.949301
2524636501,단지내상가,월세,B1/37,150,"3,000",54,28,남동향,20250509,"['25년이내', '역세권', '지하층', '주차가능']",37.540049,126.945477
2524632527,일반상가,월세,2/5,300,"5,000",124,124,서향,20250509,"['25년이상', '융자금없는', '역세권', '중층']",37.538578,126.946456
2524631760,단지내상가,월세,B1/36,100,"2,000",54,28,북서향,20250509,"['25년이내', '융자금없는', '역세권', '지하층']",37.540049,126.945477
2524632751,일반상가,월세,1/5,400,"5,000",112,112,서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.538578,126.946456
2524640821,일반상가,월세,1/6,350,"7,000",39,32,동향,20250509,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.539797,126.947362
2524632715,일반상가,월세,B1/37,180,"2,000",89,43,남서향,20250509,"['25년이내', '융자금없는', '역세권', '지하층']",37.540049,126.945477
2524632634,일반상가,월세,1/37,450,"5,000",73,56,남동향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.540049,126.945477
2524635358,단지내상가,월세,1/37,500,"5,000",111,55,남서향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.540049,126.945477
2524632117,일반상가,월세,1/1,320,"5,000",45,45,서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.539522,126.946973
2524631658,일반상가,월세,1/5,320,"5,000",40,40,서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.537942,126.947639
2524632174,일반상가,월세,1/37,520,1억,110,57,남동향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.540049,126.945477
2524632137,일반상가,월세,B1/5,115,"1,000",103,103,남향,20250509,"['25년이상', '융자금없는', '역세권', '지하층']",37.538691,126.946656
2524631791,일반상가,월세,1/4,300,"5,000",65,65,동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.539472,126.947391
2524631717,일반상가,월세,2/14,682,"8,000",173,173,북서향,20250509,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.539967,126.947064
2524631632,일반상가,월세,1/20,"3,061",3억 617,691,286,서향,20250509,"['15년이내', '역세권', '1층', '주차가능']",37.541918,126.949799
2524632656,일반상가,월세,2/4,250,"5,000",59,59,서향,20250509,"['25년이상', '융자금없는', '역세권', '중층']",37.539643,126.94741
2524634410,일반상가,월세,1/1,300,"6,000",33,33,동향,20250509,"['25년이상', '역세권', '1층', '동향']",37.54195,126.951782
2524631916,일반상가,월세,1/6,265,"1억 5,000",33,33,서향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.539797,126.947362
2524631864,일반상가,월세,2/5,850,"1억 5,000",168,168,서향,20250509,"['15년이내', '융자금없는', '역세권', '중층']",37.539803,126.947847
2524631677,일반상가,월세,1/3,300,"6,000",48,48,남동향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.537745,126.947565
2524623875,일반상가,월세,1/3,180,"2,000",23,23,북동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.541804,126.952634
2524428023,일반상가,월세,1/4,180,"3,000",33,33,북서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.538221,126.946796
2524393230,일반상가,월세,1/3,180,"2,000",30,23,,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.541804,126.952634
2524552664,일반상가,월세,1/20,300,"4,000",40,20,북서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.541339,126.948989
2524427022,일반상가,월세,1/3,700,2억,59,51,북동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.540469,126.948948
2524551878,일반상가,월세,1/5,270,"7,000",83,70,북서향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.541342,126.950919
2524568211,일반상가,월세,1/37,450,"5,000",107,55,남동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.540049,126.945477
2524433685,일반상가,월세,1/5,270,"7,000",85,70,북서향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.541342,126.950919
2524478468,일반상가,월세,2/2,300,"8,000",80,72,북서향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.540069,126.947891
2524470606,일반상가,월세,2/5,790,"1억 5,000",168,151,서향,20250508,"['15년이내', '융자금없는', '역세권', '중층']",37.539803,126.947847
2524428264,일반상가,월세,1/4,270,"7,000",100,66,북서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.538221,126.946796
2524469163,일반상가,월세,1/3,220,"4,300",16,16,북동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.540469,126.948948
2524463024,일반상가,월세,1/3,270,"6,000",49,49,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.539843,126.947699
2524333725,단지내상가,월세,B1/37,130,"2,000",44,23,남서향,20250508,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.540049,126.945477
2524333672,일반상가,월세,4/5,330,"6,000",148,148,서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.537942,126.947639
2524333446,단지내상가,매매,B1/37,,"3억 5,000",50,26,남서향,20250508,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.540049,126.945477
2524333165,단지내상가,매매,B1/37,,6억,59,31,북향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.540049,126.945477
2524471868,일반상가,월세,1/4,270,"6,000",67,49,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.539843,126.947699
2524510310,일반상가,월세,1/4,270,"6,000",55,49,동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.539843,126.947699
2524504436,일반상가,월세,2/5,790,"1억 5,000",170,168,북서향,20250508,"['15년이내', '역세권', '중층', '주차가능']",37.539803,126.947847
2524462573,일반상가,월세,1/4,470,1억,82,56,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.540884,126.948976
2524409774,일반상가,월세,1/2,240,"3,000",32,32,북서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.539716,126.948761
