articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524634518,일반상가,월세,1/2,500,"5,000",61,61,남동향,20250509,"['15년이내', '역세권', '1층', '총2층']",37.556965,126.925495
2524646868,일반상가,월세,2/5,320,"2,000",193,193,북동향,20250509,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.556928,126.920274
2524665706,단지내상가,월세,5/5,140,"2,000",54,54,남동향,20250509,"['25년이내', '역세권', '고층', '관리비20만원이하']",37.558213,126.92263
2524633289,일반상가,월세,4/6,420,"4,000",165,165,남서향,20250509,"['25년이내', '역세권', '중층', '주차가능']",37.557343,126.920229
2524646610,일반상가,월세,2/5,320,"7,000",114,109,남동향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.555495,126.922873
2524608673,일반상가,월세,1/4,550,"5,000",86,66,북동향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.559862,126.924207
2524613732,일반상가,월세,1/5,700,"5,000",181,181,북동향,20250509,"['25년이상', '역세권', '1층', '총5층']",37.556928,126.920274
2524633311,일반상가,월세,6/6,300,"3,000",109,109,남서향,20250509,"['25년이내', '역세권', '고층', '주차가능']",37.557343,126.920229
2524643788,일반상가,월세,B1/4,80,"1,000",40,40,동향,20250509,"['25년이상', '역세권', '지하층', '총4층']",37.558351,126.924317
2524651733,일반상가,월세,1/6,290,"3,000",73,73,북서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.557663,126.919805
2524613316,일반상가,월세,1/3,646,"1억 2,000",147,147,서향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.559662,126.923954
2524624077,일반상가,월세,2/4,500,"8,000",75,66,북동향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.558998,126.924905
2524610734,일반상가,월세,1/3,200,"3,000",61,61,남동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.558914,126.926076
2524611307,일반상가,월세,3/3,210,"2,000",82,82,남동향,20250509,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.559124,126.926204
2524662048,일반상가,월세,B1/3,300,"4,000",159,72,남동향,20250509,"['25년이상', '테라스', '역세권', '지하층']",37.557673,126.921057
2524607649,일반상가,월세,2/2,160,"2,000",50,50,남향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.560652,126.924638
2524633669,일반상가,월세,1/8,470,"5,000",66,66,남동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.558328,126.923038
2524643416,일반상가,월세,1/4,"1,000","1억 2,000",71,71,북서향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.555261,126.92298
2524614454,일반상가,월세,4/5,400,"6,000",71,71,남향,20250509,"['10년이내', '테라스', '역세권', '고층']",37.556495,126.929381
2524635396,일반상가,월세,1/5,900,1억,82,82,남향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.559977,126.92477
2524650302,일반상가,월세,B1/4,150,"2,000",86,86,남동향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.555964,126.930794
2524639340,일반상가,월세,1/3,150,"2,000",20,20,남서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.559533,126.925134
2524641766,일반상가,월세,1/5,280,"3,000",69,49,남서향,20250509,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.557232,126.921373
2524644887,일반상가,월세,B1/5,357,"4,000",118,118,북향,20250509,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.560045,126.924042
2524660371,일반상가,월세,2/4,220,"2,500",63,63,남동향,20250509,"['25년이상', '융자금없는', '역세권', '중층']",37.559337,126.925601
2524643440,일반상가,월세,B1/3,400,"5,000",108,108,북동향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.556737,126.929225
2524633623,일반상가,월세,1/5,300,"5,000",19,19,남서향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.559737,126.924978
2524610256,일반상가,월세,1/3,190,"3,000",83,42,남서향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.557034,126.929058
2524532184,일반상가,월세,2/5,450,"5,000",148,148,남동향,20250508,"['25년이상', '역세권', '중층', '총5층']",37.559682,126.92353
2524591553,일반상가,월세,B1/3,300,"4,000",75,75,남동향,20250508,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.557673,126.921057
2524570936,일반상가,월세,3/5,280,"3,500",123,82,북향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.559532,126.92637
2524450542,일반상가,월세,1/1,200,"2,000",41,41,남향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.554758,126.931473
2524593015,일반상가,월세,2/4,300,"3,000",73,58,남동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.556266,126.924657
2524424275,일반상가,월세,1/4,400,"5,000",67,67,남서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.559508,126.925377
2524391404,일반상가,월세,4/7,150,"1,500",51,51,남향,20250508,"['15년이내', '역세권', '중층', '관리비20만원이하']",37.55744,126.927365
2524436111,일반상가,월세,1/5,"1,250","3억 5,000",113,113,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.556643,126.925196
2524480415,일반상가,월세,4/5,200,"2,000",79,79,동향,20250508,"['25년이내', '역세권', '고층', '관리비20만원이하']",37.557054,126.921339
