articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524632564,일반상가,월세,B1/18,190,"3,000",257,127,남향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.537911,126.944434
2524632587,일반상가,월세,1/15,483,"6,800",231,114,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.539434,126.944795
2524334217,일반상가,월세,2/7,550,"5,500",228,160,서향,20250508,"['15년이내', '테라스', '지상층(1층제외)', '주차가능']",37.535684,126.944351
2524344826,일반상가,월세,1/4,260,"5,000",66,49,,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.538488,126.946148
2524344186,일반상가,월세,2/4,250,"4,000",148,148,,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.53796,126.946059
2524436659,일반상가,월세,1/15,483,"6,800",251,114,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.539434,126.944795
2524512549,일반상가,매매,2/20,,"8억 7,500",58,34,서향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.538755,126.945267
2524518142,일반상가,매매,2/20,,"8억 6,600",57,34,서향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.538866,126.945416
2524263822,일반상가,월세,1/4,260,"5,000",49,49,동향,20250507,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.538488,126.946148
2524250393,일반상가,월세,1/1,350,"5,000",78,78,북서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.537712,126.944651
2524060847,일반상가,월세,1/2,95,"2,000",50,45,,20250507,"['25년이상', '마당', '역세권', '1층']",37.538705,126.946208
2523852821,일반상가,월세,2/20,"1,830",2억,406,242,서향,20250507,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.538977,126.945662
2524060168,일반상가,월세,B1/3,190,"1,500",114,99,,20250507,"['25년이내', '역세권', '지하층', '관리비10만원이하']",37.536992,126.946166
2523039793,일반상가,월세,1/2,100,"2,000",46,46,남동향,20250430,"['25년이상', '역세권', '1층', '총2층']",37.538705,126.946208
2522952637,일반상가,월세,B1/3,190,"1,500",114,111,서향,20250429,"['25년이내', '융자금없는', '역세권', '지하층']",37.536992,126.946166
2522645278,일반상가,월세,2/7,550,"5,500",231,160,,20250428,"['15년이내', '지상층(1층제외)', '주차가능', '베란다']",37.535684,126.944351
2522307873,일반상가,월세,1/4,300,"5,000",82,82,동향,20250426,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.538488,126.946148
2522351035,일반상가,월세,B1/3,190,"1,500",114,114,북향,20250426,"['25년이내', '역세권', '지하층', '주차가능']",37.536992,126.946166
2522303893,일반상가,월세,1/15,483,"6,800",114,114,남서향,20250426,"['25년이상', '역세권', '1층', '주차가능']",37.539434,126.944795
2522196614,일반상가,월세,1/4,260,"5,000",50,50,동향,20250425,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.538488,126.946148
2521865249,일반상가,월세,2/4,250,"4,000",148,146,동향,20250424,"['25년이상', '융자금없는', '역세권', '중층']",37.53796,126.946059
2522031842,일반상가,월세,B1/3,60,500,49,47,남동향,20250424,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.536706,126.944695
2521591479,일반상가,월세,1/4,260,"5,000",95,49,남서향,20250423,"['25년이상', '융자금없는', '마당', '역세권']",37.538488,126.946148
2521801685,일반상가,매매,1/18,,"4억 4,900",87,47,남서향,20250423,"['25년이상', '역세권', '1층', '주차가능']",37.536288,126.943928
2521593386,일반상가,월세,1/15,483,"6,800",113,112,남동향,20250422,"['25년이상', '역세권', '1층', '주차가능']",37.539434,126.944795
2521622234,일반상가,월세,1/15,483,"6,800",251,115,남서향,20250422,"['25년이상', '융자금없는', '역세권', '1층']",37.539434,126.944795
2521091513,일반상가,월세,B1/3,60,500,48,48,,20250421,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.536706,126.944695
2521321041,일반상가,월세,1/2,95,"2,000",45,45,남서향,20250421,"['25년이상', '융자금없는', '역세권', '1층']",37.538705,126.946208
2520889824,일반상가,월세,1/4,260,"5,000",93,71,남동향,20250418,"['25년이상', '역세권', '1층', '총4층']",37.538488,126.946148
2520556794,일반상가,매매,1/5,,7억,102,74,남향,20250417,"['25년이내', '역세권', '1층', '총5층']",37.536834,126.944531
2520223097,일반상가,월세,1/18,300,"5,000",144,103,북서향,20250416,"['25년이상', '융자금없는', '역세권', '1층']",37.537911,126.944434
2519850764,단지내상가,매매,B1/3,,12억,362,362,남서향,20250414,"['25년이내', '역세권', '지하층', '주차가능']",37.537102,126.945631
2519326335,단지내상가,매매,B1/3,,12억,328,292,북서향,20250411,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.537102,126.945631
2518753007,일반상가,월세,1/4,260,"5,000",50,49,남서향,20250410,"['25년이상', '융자금없는', '마당', '역세권']",37.538488,126.946148
2518730385,일반상가,월세,1/4,260,"5,000",54,49,동향,20250409,"['25년이상', '역세권', '1층', '주차가능']",37.538488,126.946148
2518730842,일반상가,월세,1/4,300,"5,000",95,82,동향,20250409,"['25년이상', '역세권', '1층', '주차가능']",37.538488,126.946148
