articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524613567,일반상가,월세,1/5,230,"2,500",71,71,남향,20250509,"['4년이내', '역세권', '1층', '주차가능']",37.556573,126.905603
2524638339,일반상가,월세,1/2,270,"4,000",33,33,서향,20250509,"['25년이상', '1층', '총2층', '서향']",37.557678,126.905807
2524613455,일반상가,월세,2/5,365,"4,000",126,126,남향,20250509,"['4년이내', '역세권', '중층', '주차가능']",37.556573,126.905603
2524613731,일반상가,월세,3/5,250,"3,000",106,106,남향,20250509,"['4년이내', '역세권', '중층', '주차가능']",37.556573,126.905603
2524638040,일반상가,월세,1/5,285,"5,000",56,56,남서향,20250509,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.558131,126.904199
2524644895,일반상가,월세,B1/4,250,"3,000",74,74,남동향,20250509,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.560276,126.898976
2524617922,일반상가,월세,1/4,200,"3,000",61,61,남서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.560276,126.898976
2524618555,일반상가,월세,2/4,200,"2,000",74,74,남서향,20250509,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.560276,126.898976
2524610879,일반상가,월세,1/3,100,"1,000",33,33,남향,20250509,"['25년이상', '융자금없는', '1층', '총3층']",37.556304,126.904393
2524626095,일반상가,월세,1/5,80,"1,500",25,25,남동향,20250509,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.560831,126.901966
2524619629,일반상가,월세,4/4,120,"1,500",38,38,남서향,20250509,"['25년이상', '테라스', '고층', '관리비10만원이하']",37.560276,126.898976
2524649450,일반상가,월세,2/5,365,"4,000",126,109,남향,20250509,"['4년이내', '역세권', '중층', '주차가능']",37.556573,126.905603
2524619139,일반상가,월세,3/4,170,"2,000",74,74,남서향,20250509,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.560276,126.898976
2524647063,일반상가,월세,2/4,180,"1,000",54,54,동향,20250509,"['10년이내', '역세권', '중층', '관리비10만원이하']",37.555953,126.907758
2524618620,일반상가,월세,1/5,115,"1,000",30,30,동향,20250509,"['25년이상', '역세권', '1층', '총5층']",37.5571,126.907814
2524637922,일반상가,월세,1/2,150,"2,000",33,33,남향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.554976,126.909416
2524610543,일반상가,월세,1/4,380,"7,000",115,26,북향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.557399,126.905912
2524648518,일반상가,월세,B1/5,380,"6,000",287,287,남서향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.560127,126.902428
2524661109,일반상가,월세,1/6,170,"2,000",59,59,남향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.552881,126.906884
2524658480,일반상가,월세,2/5,225,"2,000",66,66,남향,20250509,"['25년이상', '중층', '관리비10만원이하', '총5층']",37.556357,126.904631
2524608801,일반상가,월세,B1/4,100,"1,000",71,71,북동향,20250509,"['25년이상', '지하층', '총4층', '북동향']",37.556892,126.900528
2524418135,일반상가,월세,1/1,240,"3,000",53,53,남서향,20250508,"['25년이상', '역세권', '1층', '남서향']",37.554263,126.9065
2524319026,일반상가,월세,1/2,150,"2,000",108,33,북향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.554976,126.909416
2524420807,일반상가,월세,2/5,160,"2,000",61,61,남동향,20250508,"['4년이내', '역세권', '중층', '관리비20만원이하']",37.556976,126.907044
2524411954,일반상가,월세,2/5,400,"6,000",199,199,남서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.560127,126.902428
2524337736,일반상가,월세,4/5,180,"2,000",59,59,남향,20250508,"['25년이상', '고층', '관리비10만원이하', '총5층']",37.556357,126.904631
2524384459,일반상가,월세,B1/5,150,"2,000",116,110,북동향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.557644,126.908344
2524305782,일반상가,월세,1/3,120,"1,500",42,42,북서향,20250508,"['10년이내', '1층', '총3층', '북서향']",37.552642,126.904668
2524337259,일반상가,월세,1/5,160,"3,000",25,25,북동향,20250508,"['2년이내', '역세권', '1층', '관리비10만원이하']",37.56198,126.902748
2524438652,일반상가,월세,1/5,230,"4,000",40,40,서향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.555494,126.909844
2524615184,일반상가,월세,4/4,70,500,17,17,북서향,20250508,"['10년이내', '역세권', '고층', '관리비10만원이하']",37.556729,126.908361
2524334647,일반상가,월세,1/4,330,"5,000",49,49,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.557425,126.904556
2524335401,일반상가,월세,1/2,160,"2,000",41,41,남동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.556744,126.908172
2524334583,일반상가,월세,1/2,450,"6,000",63,63,동향,20250508,"['25년이상', '1층', '총2층', '동향']",37.556472,126.904596
2524359082,일반상가,월세,1/5,220,"3,000",64,64,동향,20250508,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.55329,126.907773
2524579273,일반상가,월세,1/5,600,"7,000",133,133,남동향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.560944,126.902244
2524337873,일반상가,월세,2/6,190,"2,000",130,130,남향,20250508,"['25년이내', '지상층(1층제외)', '관리비10만원이하', '주차가능']",37.558913,126.90006
2524382603,일반상가,월세,1/5,140,"1,500",23,23,남동향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.554125,126.910796
2524343936,일반상가,월세,1/5,280,"4,000",99,99,북동향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.560127,126.902428
2524335900,일반상가,월세,1/5,95,"1,000",19,19,북향,20250508,"['10년이내', '1층', '관리비10만원이하', '총5층']",37.557782,126.904935
2524439479,일반상가,월세,1/4,230,"3,000",54,40,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.554679,126.904399
2524302081,일반상가,월세,1/5,80,"1,000",26,26,북서향,20250508,"['25년이내', '1층', '관리비10만원이하', '엘리베이터']",37.559101,126.903517
2524589084,일반상가,월세,1/4,300,"5,000",76,76,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.559917,126.902359
2524482657,일반상가,월세,1/4,210,"3,000",39,39,북향,20250508,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.554717,126.905031
2524476209,일반상가,월세,3/5,180,"3,000",73,42,남서향,20250508,"['10년이내', '중층', '관리비20만원이하', '엘리베이터']",37.556667,126.90479
2524473668,일반상가,월세,3/5,150,"2,000",61,58,남향,20250508,"['4년이내', '역세권', '중층', '관리비10만원이하']",37.556976,126.907044
2524336328,일반상가,월세,2/5,180,"4,000",63,63,북동향,20250508,"['10년이내', '역세권', '중층', '총5층']",37.555839,126.909242
2524380083,일반상가,월세,1/4,300,"5,000",76,52,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.559917,126.902359
2524316270,일반상가,월세,1/5,105,"2,000",43,43,동향,20250508,"['10년이내', '1층', '주차가능', '총5층']",37.555203,126.901712
2524317234,일반상가,월세,1/5,200,"2,000",77,77,남향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.553932,126.910117
2524304875,일반상가,월세,1/4,210,"3,000",66,66,남향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.552924,126.907014
2524306032,일반상가,월세,1/4,280,"3,000",122,122,남향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.560354,126.905467
2524301418,일반상가,월세,2/5,210,"2,000",68,68,남동향,20250508,"['10년이내', '역세권', '중층', '관리비10만원이하']",37.561096,126.904951
2524307111,일반상가,월세,1/3,300,"3,000",33,33,동향,20250508,"['25년이상', '1층', '총3층', '동향']",37.555676,126.904851
2524304552,일반상가,월세,B1/3,168,"3,000",36,36,남서향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.555151,126.910154
2524337160,일반상가,월세,1/5,250,"2,000",59,59,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.557214,126.90356
2524335306,일반상가,월세,1/2,160,"3,000",58,58,남동향,20250508,"['25년이상', '마당', '1층', '총2층']",37.555343,126.900564
2524369874,일반상가,월세,B1/4,180,"2,000",99,99,북동향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.562129,126.90434
2524358933,일반상가,월세,2/4,250,"2,000",107,92,남동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.555244,126.909777
2524334231,일반상가,월세,1/5,280,"5,000",51,51,남서향,20250508,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.558131,126.904199
2524337500,일반상가,월세,1/2,140,"2,000",42,42,북서향,20250508,"['25년이상', '1층', '총2층', '북서향']",37.553586,126.903804
2524306800,일반상가,월세,1/3,220,"3,000",22,22,동향,20250508,"['25년이상', '1층', '총3층', '동향']",37.555676,126.904851
2524336921,일반상가,월세,1/6,450,"5,000",56,56,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.555372,126.908141
2524563913,일반상가,월세,1/2,390,"5,000",89,89,서향,20250508,"['25년이상', '1층', '총2층', '서향']",37.554021,126.905689
