articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524624232,일반상가,월세,1/3,170,"2,000",26,26,북서향,20250509,"['25년이상', '테라스', '역세권', '1층']",37.54873,126.921422
2524624766,일반상가,월세,1/4,230,"3,000",75,74,북향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.548654,126.92167
2524640910,단지내상가,월세,1/1,170,"2,000",30,30,남향,20250509,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.546646,126.927224
2524662498,일반상가,월세,5/5,350,"5,000",77,77,북향,20250509,"['2년이내', '역세권', '고층', '관리비20만원이하']",37.548448,126.920876
2524612289,일반상가,월세,3/3,110,"1,500",23,23,서향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.548719,126.922437
2524654310,일반상가,월세,2/2,250,"3,000",76,76,남향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.547986,126.920731
2524640819,일반상가,월세,1/1,600,1억,199,167,남서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.54857,126.922154
2524617868,일반상가,월세,1/5,300,"5,000",59,59,서향,20250509,"['4년이내', '테라스', '역세권', '1층']",37.548222,126.923191
2524411848,일반상가,전세,1/5,,"5,000",59,59,서향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.548229,126.920948
2524425717,일반상가,월세,3/5,550,1억,244,244,남동향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.547508,126.923207
2524336705,일반상가,월세,5/5,300,"2,000",92,92,남동향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.545067,126.92553
2524431539,일반상가,월세,4/4,200,"2,000",60,60,북향,20250508,"['25년이상', '테라스', '역세권', '고층']",37.548571,126.922279
2524360026,일반상가,월세,4/4,"1,100","1억 3,000",259,259,남향,20250508,"['4년이내', '역세권', '고층', '주차가능']",37.545533,126.922036
2524522795,일반상가,월세,1/2,120,"2,000",33,33,남서향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.548275,126.922351
2524541257,단지내상가,월세,2/7,800,1억,257,257,동향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.547568,126.921906
2524546795,일반상가,월세,1/1,300,"5,000",71,69,남향,20250508,"['25년이상', '역세권', '1층', '남향']",37.54792,126.922594
2524415346,일반상가,월세,1/5,350,"5,000",64,64,남서향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.548144,126.921044
2524324176,일반상가,월세,2/5,400,"5,000",80,80,북서향,20250508,"['2년이내', '역세권', '중층', '관리비20만원이하']",37.548448,126.920876
2524377762,일반상가,월세,1/3,280,"5,000",26,26,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.54909,126.922828
