articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524635686,일반상가,월세,1/14,770,"1억 5,000",99,99,남향,20250509,"['15년이내', '1층', '주차가능', '엘리베이터']",37.581175,126.890786
2524630886,단지내상가,월세,2/2,170,"4,000",50,50,동향,20250509,"['15년이내', '융자금적은', '고층', '관리비20만원이하']",37.585428,126.882157
2524635420,일반상가,월세,B1/18,130,"2,000",22,22,서향,20250509,"['10년이내', '지하층', '주차가능', '엘리베이터']",37.581985,126.889231
2524637300,일반상가,월세,2/15,"1,332","1억 2,000",652,342,동향,20250509,"['10년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.582378,126.888443
2524637038,일반상가,매매,1/20,,5억,49,25,남향,20250509,"['25년이내', '1층', '주차가능', '천장에어컨']",37.580069,126.889006
2524642790,복합상가,매매,1/32,,18억,121,57,북동향,20250509,"['25년이내', '1층', '주차가능', '엘리베이터']",37.577085,126.891393
2524631691,일반상가,월세,1/5,200,"4,000",55,44,북동향,20250509,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.584447,126.879514
2524634120,일반상가,월세,1/24,220,"2,000",17,17,동향,20250509,"['25년이내', '1층', '주차가능', '엘리베이터']",37.580069,126.889006
2524639092,복합상가,매매,3/24,,"32억 6,900",466,308,남서향,20250509,"['25년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.580069,126.889006
2524636375,일반상가,월세,B1/16,170,"2,000",48,48,북동향,20250509,"['10년이내', '지하층', '주차가능', '엘리베이터']",37.581344,126.888569
2524637781,일반상가,월세,1/3,250,"4,000",66,66,남향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.578198,126.895476
2524635634,일반상가,월세,1/7,200,"3,000",80,48,북동향,20250509,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.576351,126.893158
2524629593,복합상가,월세,1/32,409,"4,000",161,72,남동향,20250509,"['25년이내', '1층', '주차가능', '엘리베이터']",37.577554,126.890632
2524635536,일반상가,월세,2/3,150,"2,000",27,27,서향,20250509,"['4년이내', '융자금없는', '역세권', '중층']",37.577529,126.895094
2524610473,일반상가,월세,1/7,400,"5,000",82,82,북서향,20250509,"['4년이내', '역세권', '1층', '주차가능']",37.577864,126.895075
2524634533,일반상가,월세,B1/3,350,"5,000",75,75,동향,20250509,"['25년이상', '역세권', '지하층', '총3층']",37.577515,126.894534
2524636803,일반상가,매매,B1/22,,"4억 5,000",77,32,남향,20250509,"['25년이내', '지하층', '주차가능', '엘리베이터']",37.579413,126.890424
2524674769,일반상가,월세,2/5,200,"3,000",71,71,북서향,20250509,"['10년이내', '역세권', '중층', '관리비20만원이하']",37.577036,126.895057
2524636709,일반상가,월세,2/5,200,"4,000",90,90,북동향,20250509,"['15년이내', '융자금없는', '역세권', '중층']",37.578997,126.895121
2524636009,일반상가,월세,8/8,340,"5,000",81,81,남향,20250509,"['4년이내', '역세권', '고층', '주차가능']",37.575186,126.897581
2524633537,복합상가,월세,B1/22,335,"5,000",301,128,남서향,20250509,"['25년이내', '지하층', '주차가능', '엘리베이터']",37.579413,126.890424
2524480771,복합상가,월세,B1/16,640,1억,231,231,북서향,20250508,"['10년이내', '지하층', '주차가능', '엘리베이터']",37.581344,126.888569
2524339380,일반상가,월세,1/6,400,"5,000",117,117,동향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.577892,126.89568
2524522347,복합상가,월세,B1/22,220,"4,000",49,49,,20250508,"['25년이내', '지하층', '주차가능']",37.579413,126.890424
2524507769,복합상가,월세,2/16,250,"3,000",55,55,,20250508,"['10년이내', '지상층(1층제외)', '주차가능']",37.581344,126.888569
2524337304,일반상가,월세,B1/8,370,"5,000",107,83,남서향,20250508,"['4년이내', '융자금없는', '역세권', '지하층']",37.575186,126.897581
2524338164,일반상가,월세,1/8,"1,200","1억 5,000",116,116,동향,20250508,"['2년이내', '테라스', '역세권', '1층']",37.578132,126.894843
2524440594,일반상가,월세,1/4,500,"5,000",153,153,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.576656,126.89488
2524511035,일반상가,월세,1/5,600,"7,200",125,115,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.57696,126.893204
2524513214,일반상가,월세,1/4,150,"2,000",38,33,서향,20250508,"['4년이내', '역세권', '1층', '총4층']",37.577321,126.8936
