articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524624027,일반상가,월세,4/4,180,"3,000",66,66,동향,20250509,"['25년이내', '융자금없는', '역세권', '고층']",37.550491,126.91957
2524616136,일반상가,월세,2/4,180,"3,000",50,50,북동향,20250509,"['10년이내', '역세권', '중층', '관리비10만원이하']",37.554971,126.931065
2524634682,일반상가,월세,1/5,"1,100","1억 3,000",183,183,남향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.550338,126.920732
2524633416,일반상가,월세,1/1,250,"3,000",82,82,남서향,20250509,"['25년이상', '테라스', '역세권', '1층']",37.549257,126.915489
2524605833,일반상가,월세,2/5,"3,000",4억,366,330,남동향,20250509,"['4년이내', '융자금없는', '역세권', '중층']",37.554309,126.923296
2524619084,일반상가,월세,1/12,250,"5,000",71,71,남서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.55255,126.912652
2524528764,일반상가,월세,B1/4,300,"4,000",164,143,서향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.549804,126.921782
2524635402,일반상가,월세,B1/5,190,"2,000",119,119,남서향,20250509,"['25년이내', '역세권', '지하층', '관리비10만원이하']",37.549311,126.919669
2524634698,일반상가,월세,4/5,350,"5,000",214,214,남향,20250509,"['25년이내', '역세권', '고층', '주차가능']",37.550338,126.920732
2524615490,일반상가,월세,B1/6,280,"5,000",150,150,남향,20250509,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.552476,126.921106
2524614822,일반상가,월세,4/4,150,"2,000",59,59,북서향,20250509,"['25년이내', '역세권', '고층', '관리비10만원이하']",37.549619,126.919746
2524624057,일반상가,월세,1/6,"1,200","1억 5,000",102,102,서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.549946,126.921243
2524619372,일반상가,월세,1/7,400,"5,000",112,80,북동향,20250509,"['10년이내', '융자금없는', '1층', '주차가능']",37.555422,126.91509
2524610868,일반상가,월세,B1/3,140,"2,000",103,33,북서향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.554683,126.928302
2524609847,일반상가,월세,1/9,550,"8,000",269,153,북향,20250509,"['15년이내', '테라스', '역세권', '1층']",37.551401,126.915496
2524649540,일반상가,월세,1/5,420,"5,000",44,44,북향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.548955,126.9199
2524644569,일반상가,월세,B1/15,700,1억,373,238,남동향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.55065,126.914878
2524661819,일반상가,월세,3/5,400,"5,000",94,94,남서향,20250509,"['2년이내', '역세권', '중층', '총5층']",37.548508,126.919239
2524650791,일반상가,월세,2/5,700,1억,143,143,서향,20250509,"['15년이내', '역세권', '중층', '주차가능']",37.550077,126.92239
2524661659,일반상가,월세,1/3,180,"2,000",33,33,동향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.549363,126.915731
