articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524630199,일반상가,월세,1/7,145,"2,000",25,20,남동향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.561618,126.906029
2524658604,일반상가,월세,B1/6,500,"5,000",174,174,북향,20250509,"['2년이내', '테라스', '역세권', '지하층']",37.558088,126.909359
2524664675,일반상가,월세,1/7,110,"1,000",44,31,북서향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.559187,126.914697
2524611044,일반상가,월세,1/3,80,"1,000",33,33,북동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.567695,126.912772
2524638557,일반상가,월세,6/6,"3,300","3억 5,000",835,835,북향,20250509,"['2년이내', '역세권', '고층', '주차가능']",37.558088,126.909359
2524313589,단지내상가,매매,1/2,,"5억 5,000",52,38,남향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.569358,126.908252
2524377890,일반상가,매매,1/17,,"5억 5,000",83,75,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.564502,126.910259
2524479046,일반상가,매매,1/15,,14억,184,130,북동향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.564649,126.903573
2524573272,일반상가,월세,1/5,110,"1,000",30,26,남동향,20250508,"['2년이내', '1층', '관리비10만원이하', '주차가능']",37.561524,126.917121
2524537710,일반상가,월세,2/3,140,"1,500",66,66,남향,20250508,"['25년이상', '중층', '관리비10만원이하', '총3층']",37.558997,126.917212
2524497157,일반상가,월세,1/2,240,"4,000",100,100,남향,20250508,"['25년이상', '마당', '1층', '주차가능']",37.562747,126.915636
2524555128,일반상가,월세,1/2,550,"5,500",199,199,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.560088,126.907376
2524576161,일반상가,월세,5/11,"1,400",3억,375,273,남서향,20250508,"['2년이내', '융자금없는', '역세권', '중층']",37.564999,126.902574
2524440431,일반상가,월세,1/12,300,"5,000",69,40,북서향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.566259,126.903395
2524323790,일반상가,월세,2/10,"1,738",2억,693,693,북향,20250508,"['25년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.564845,126.91178
2524578797,일반상가,월세,1/4,150,"3,000",50,49,동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.564381,126.904016
2524521639,일반상가,월세,1/3,160,"1,500",28,28,남향,20250508,"['25년이상', '융자금없는', '1층', '총3층']",37.568122,126.908404
2524313283,단지내상가,매매,1/2,,"5억 5,000",38,38,남동향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.569358,126.908252
2524323364,일반상가,월세,1/3,"3,500",5억,674,674,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.561987,126.905228
2524506442,일반상가,월세,1/5,125,"1,000",44,44,북향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.558522,126.911292
2524577735,일반상가,월세,B1/5,180,"3,000",208,208,서향,20250508,"['25년이상', '지하층', '주차가능', '총5층']",37.568289,126.905709
2524538568,단지내상가,매매,1/2,,8억,45,28,남향,20250508,"['25년이상', '1층', '총2층', '남향']",37.572127,126.901911
2524578828,일반상가,월세,1/2,160,"4,000",49,38,남서향,20250508,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.569358,126.908252
2524516633,일반상가,월세,1/4,315,"7,000",62,62,남서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.55874,126.907984
2524308309,일반상가,월세,1/4,250,"2,000",39,39,북서향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.55973,126.917391
2524365669,일반상가,월세,2/3,370,"3,000",179,179,북동향,20250508,"['25년이상', '융자금없는', '중층', '주차가능']",37.560318,126.915952
2524303312,일반상가,월세,1/5,220,"2,000",49,49,남서향,20250508,"['25년이상', '1층', '관리비20만원이하', '총5층']",37.558545,126.913084
2524310528,복합상가,월세,1/15,800,1억,890,465,북서향,20250508,"['15년이내', '융자금없는', '역세권', '1층']",37.56597,126.90303
2524310687,복합상가,월세,2/15,230,"3,000",162,67,북서향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.565714,126.903295
