articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524634463,일반상가,월세,1/4,300,"3,500",65,65,북서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.544841,126.954427
2524374877,일반상가,월세,1/1,570,"1억 2,000",209,200,,20250508,"['25년이상', '1층', '주차가능', '관리비40만원이하']",37.547827,126.956941
2524517669,일반상가,월세,1/5,570,"1억 2,000",209,209,북서향,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.547827,126.956941
2524549410,일반상가,월세,1/5,570,"1억 2,000",209,200,북서향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.547827,126.956941
2524482286,일반상가,월세,1/20,160,"3,000",41,23,북서향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.543386,126.954129
2524020549,일반상가,월세,2/5,250,"4,000",115,115,남향,20250507,"['25년이상', '중층', '주차가능', '총5층']",37.547827,126.956941
2524014878,일반상가,월세,5/9,500,1억,173,170,북서향,20250507,"['25년이내', '융자금없는', '역세권', '중층']",37.544709,126.954281
2523896751,단지내상가,월세,B2/20,160,"3,000",35,23,서향,20250507,"['15년이내', '역세권', '지하층', '관리비20만원이하']",37.543386,126.954129
2524274677,일반상가,월세,2/3,200,"3,000",107,107,북서향,20250507,"['25년이상', '역세권', '중층', '총3층']",37.546069,126.955632
2523435205,일반상가,월세,1/4,420,"5,000",115,115,동향,20250502,"['25년이상', '융자금없는', '1층', '주차가능']",37.544869,126.957795
2523536561,일반상가,월세,5/7,350,"7,000",133,97,서향,20250502,"['25년이내', '융자금없는', '역세권', '고층']",37.544298,126.954929
2523592407,일반상가,월세,전체층/6,"3,000",3억,935,802,남동향,20250502,"['25년이상', '역세권', '주차가능', '남동향']",37.544836,126.954718
2523349264,일반상가,월세,3/7,"2,400",3억,962,802,남동향,20250501,"['25년이상', '융자금없는', '역세권', '중층']",37.54502,126.955024
2523162701,일반상가,월세,B1/3,80,"1,500",88,88,서향,20250430,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.546069,126.955632
2522775579,일반상가,월세,2/6,"3,000",3억,962,802,남동향,20250429,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.544836,126.954718
2522880924,일반상가,월세,1/4,300,"3,500",70,66,,20250429,"['25년이상', '역세권', '1층', '총4층']",37.544841,126.954427
2522933547,일반상가,월세,전체층/6,"2,400",3억,828,694,남동향,20250429,"['25년이상', '역세권', '주차가능', '남동향']",37.544836,126.954718
2522945088,일반상가,월세,4/6,500,"8,000",401,396,북서향,20250429,"['25년이상', '역세권', '중층', '주차가능']",37.544836,126.954718
2522843313,단지내상가,월세,1/30,400,"5,000",93,48,,20250429,"['25년이내', '역세권', '1층', '주차가능']",37.543508,126.952879
2522920242,일반상가,월세,2/6,"2,400",3억,961,661,북서향,20250429,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.544836,126.954718
2522831494,일반상가,월세,전체층/6,"3,000",3억,961,961,남동향,20250429,"['25년이상', '융자금적은', '역세권', '주차가능']",37.544836,126.954718
2522534747,복합상가,월세,3/9,500,1억,173,148,남동향,20250428,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.544709,126.954281
2522767062,단지내상가,월세,1/21,160,"3,000",23,23,북서향,20250428,"['15년이내', '역세권', '1층', '주차가능']",37.543386,126.954129
2522509897,단지내상가,월세,1/30,170,"1,900",51,26,남서향,20250428,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.543508,126.952879
2522718105,일반상가,월세,1/30,400,"5,000",90,48,남서향,20250428,"['25년이내', '역세권', '1층', '주차가능']",37.543508,126.952879
2522426153,복합상가,월세,1/31,480,1억,79,43,남향,20250426,"['2년이내', '테라스', '역세권', '1층']",37.543743,126.953064
2522161995,일반상가,월세,5/9,500,1억,173,173,남향,20250425,"['25년이내', '융자금없는', '역세권', '중층']",37.544709,126.954281
2522252600,단지내상가,월세,1/2,90,"2,000",31,31,,20250425,"['25년이내', '1층', '총2층']",37.54638,126.958037
2522198969,단지내상가,월세,1/2,99,"2,000",40,31,북서향,20250425,"['10년이내', '융자금없는', '1층', '관리비10만원이하']",37.54638,126.958037
2522145918,일반상가,월세,B1/4,150,"2,000",144,144,서향,20250425,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.547629,126.956735
2522162453,일반상가,월세,3/9,500,1억,173,173,남향,20250425,"['25년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.544709,126.954281
2522065637,일반상가,월세,1/5,60,"1,000",16,16,북향,20250424,"['15년이내', '융자금없는', '마당', '1층']",37.54773,126.956801
2521965005,일반상가,월세,B2/20,160,"3,000",50,22,북서향,20250424,"['15년이내', '역세권', '지하층', '북서향']",37.543386,126.954129
2521823501,일반상가,월세,1/4,300,"3,500",66,66,북서향,20250424,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.544841,126.954427
2521803154,단지내상가,매매,1/4,,8억,34,23,서향,20250423,"['25년이내', '1층', '주차가능', '총4층']",37.543483,126.955749
2521626389,단지내상가,월세,1/31,500,"5,000",84,38,북서향,20250423,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.542857,126.952476
2521684665,단지내상가,월세,1/24,190,"4,000",68,37,,20250423,"['15년이내', '역세권', '1층', '주차가능']",37.544676,126.956051
2521617784,일반상가,월세,B1/20,160,"3,000",50,23,서향,20250422,"['25년이내', '융자금없는', '역세권', '지하층']",37.543386,126.954129
2521518934,복합상가,월세,1/22,160,"3,000",46,23,북서향,20250422,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.543386,126.954129
2521172488,일반상가,월세,2/5,200,"3,000",85,85,북서향,20250421,"['25년이상', '융자금없는', '역세권', '중층']",37.545301,126.954945
2521054792,일반상가,월세,2/5,250,"4,000",165,115,서향,20250419,"['25년이상', '융자금없는', '중층', '주차가능']",37.547827,126.956941
2520899320,일반상가,월세,2/20,"2,905","3억 4,868",960,516,북서향,20250418,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.543743,126.953064
2520529831,일반상가,월세,1/22,240,"4,000",200,111,서향,20250417,"['15년이내', '테라스', '역세권', '1층']",37.543386,126.954129
2520531367,복합상가,매매,B1/30,,"2억 1,000",73,36,남서향,20250417,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.543508,126.952879
2520508397,일반상가,월세,2/5,250,"4,000",16528,115,,20250417,"['25년이상', '중층', '주차가능', '총5층']",37.547827,126.956941
2520330935,일반상가,월세,2/31,700,1억,171,94,남동향,20250416,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.543743,126.953064
2520283052,단지내상가,월세,1/31,800,1억,117,64,서향,20250416,"['2년이내', '테라스', '역세권', '1층']",37.543743,126.953064
2520332520,일반상가,월세,2/31,"1,550",2억,328,180,남서향,20250416,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.543743,126.953064
2519741187,일반상가,월세,1/9,750,"1억 2,000",99,99,북서향,20250414,"['25년이내', '역세권', '1층', '주차가능']",37.544709,126.954281
2519841079,단지내상가,월세,1/31,250,"5,000",42,23,남동향,20250414,"['2년이내', '테라스', '역세권', '1층']",37.543743,126.953064
2519775972,일반상가,월세,1/1,130,"2,000",37,37,남서향,20250414,"['15년이내', '역세권', '1층', '남서향']",37.545328,126.955134
2519779189,일반상가,월세,1/4,300,"3,500",70,70,북서향,20250414,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.544841,126.954427
2519804479,복합상가,월세,1/31,350,"7,000",67,36,남동향,20250414,"['2년이내', '테라스', '역세권', '1층']",37.543743,126.953064
2519375361,일반상가,월세,3/8,"1,500",3억,515,512,남동향,20250411,"['25년이내', '역세권', '중층', '남동향']",37.544709,126.954281
2518921089,일반상가,월세,4/5,350,"5,000",192,192,서향,20250410,"['25년이상', '고층', '주차가능', '총5층']",37.547827,126.956941
2518940992,일반상가,월세,3/8,"1,500",3억,521,521,북서향,20250410,"['25년이내', '융자금없는', '역세권', '중층']",37.544709,126.954281
2518938034,일반상가,월세,5/8,500,1억,173,173,북서향,20250410,"['25년이내', '융자금없는', '역세권', '중층']",37.544709,126.954281
2519057356,일반상가,월세,1/9,300,"7,000",60,59,북서향,20250410,"['25년이내', '역세권', '1층', '주차가능']",37.544709,126.954281
2518690340,일반상가,월세,3/5,130,"2,000",99,79,,20250409,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.547404,126.956534
2518653866,단지내상가,매매,1/4,,8억,23,23,서향,20250409,"['25년이내', '역세권', '1층', '총4층']",37.543483,126.955749
