articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524569077,일반상가,월세,1/3,160,"3,000",45,38,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.557011,126.959673
2524345260,일반상가,월세,5/5,200,"3,000",76,76,남향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.556881,126.951394
2524543035,일반상가,월세,1/3,160,"3,000",38,38,북서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.557011,126.959673
2524398945,일반상가,월세,1/4,220,"3,000",33,33,,20250508,"['25년이상', '역세권', '1층', '총4층']",37.554159,126.956693
2524333697,일반상가,월세,1/5,235,"5,000",53,53,남향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.556865,126.951163
2524389320,일반상가,매매,1/5,,17억,96,51,동향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.551009,126.953602
2524394344,복합상가,월세,1/14,180,"2,000",22,20,북향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.557018,126.953744
2524421424,복합상가,월세,2/14,580,"5,000",152,137,북향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.557018,126.953744
2524440223,일반상가,월세,2/2,199,"3,000",98,98,서향,20250508,"['25년이상', '역세권', '고층', '총2층']",37.556594,126.952204
2524339548,일반상가,월세,3/8,420,"5,000",149,116,북향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.556816,126.95075
2523866953,일반상가,월세,5/6,500,"1억 5,000",298,264,남향,20250507,"['25년이내', '융자금없는', '고층', '주차가능']",37.551551,126.961792
2524211310,단지내상가,월세,1/2,120,"3,000",48,28,서향,20250507,"['10년이내', '융자금없는', '역세권', '1층']",37.555562,126.959271
2524134616,단지내상가,매매,1/3,,6억,52,25,동향,20250507,"['15년이내', '1층', '주차가능', '천장에어컨']",37.552749,126.952863
2524230842,복합상가,월세,1/3,80,"2,000",30,24,남향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.556394,126.955061
2523846416,일반상가,월세,1/2,160,"2,000",28,28,서향,20250507,"['4년이내', '역세권', '1층', '총2층']",37.555991,126.954746
2524237581,일반상가,전세,1/1,,1억,35,33,남향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.55662,126.955263
2524233530,단지내상가,월세,1/1,300,"4,000",70,70,남향,20250507,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.555597,126.953657
2523905702,일반상가,월세,3/5,230,"3,000",76,62,서향,20250507,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.556881,126.951394
2524020723,일반상가,월세,1/3,160,"3,000",20,20,북향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.557011,126.959673
2523909600,복합상가,월세,1/5,250,"5,000",67,67,서향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.555919,126.955449
2524008137,단지내상가,매매,2/22,,8억,108,70,동향,20250507,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.552182,126.955507
2524063818,일반상가,월세,5/8,400,"5,000",144,111,북향,20250507,"['2년이내', '역세권', '중층', '주차가능']",37.556875,126.950913
2524131375,일반상가,월세,1/2,130,"1,500",37,37,남서향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.555546,126.955095
2524195459,일반상가,월세,1/4,110,"2,000",32,32,북향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.556721,126.951935
2524064525,일반상가,월세,3/5,250,"3,000",84,84,북향,20250507,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.556865,126.951163
2524277323,일반상가,월세,1/5,600,"5,000",411,350,북서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.551301,126.956702
2524029882,일반상가,월세,5/5,200,"3,000",76,62,서향,20250507,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.556881,126.951394
2523919148,일반상가,월세,1/7,670,1억,225,208,남향,20250507,"['25년이상', '1층', '주차가능', '엘리베이터']",37.551674,126.962128
2524163959,복합상가,월세,1/6,70,"1,000",85,11,북향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.556927,126.952146
2524064077,일반상가,월세,1/8,450,"5,000",113,74,북향,20250507,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.556875,126.950913
