articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524636672,일반상가,월세,2/5,250,"4,000",82,56,남향,20250509,"['10년이내', '역세권', '중층', '관리비10만원이하']",37.561299,126.924723
2524658187,일반상가,월세,1/4,300,"3,000",75,75,북향,20250509,"['10년이내', '1층', '관리비10만원이하', '총4층']",37.562257,126.925545
2524648233,일반상가,월세,1/3,150,"2,000",66,33,서향,20250509,"['25년이상', '1층', '총3층', '서향']",37.560837,126.920682
2524611492,일반상가,월세,1/5,400,"4,000",66,66,남동향,20250509,"['2년이내', '1층', '관리비10만원이하', '주차가능']",37.563951,126.922334
2524634723,일반상가,월세,B1/5,530,"7,000",158,158,남서향,20250509,"['25년이상', '역세권', '지하층', '총5층']",37.561717,126.926864
2524637035,일반상가,월세,B1/2,155,"2,000",43,43,북향,20250509,"['25년이상', '역세권', '지하층', '총2층']",37.560927,126.924949
2524644596,일반상가,월세,1/3,230,"2,000",66,61,서향,20250509,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.562278,126.925378
2524641299,일반상가,월세,1/4,265,"3,000",36,36,북동향,20250509,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.561085,126.925686
2524641852,일반상가,월세,1/4,800,1억,153,153,북서향,20250509,"['25년이내', '1층', '관리비10만원이하', '총4층']",37.562702,126.924956
2524634345,일반상가,월세,B1/5,200,"3,000",101,101,서향,20250509,"['2년이내', '지하층', '관리비10만원이하', '주차가능']",37.559967,126.918788
2524634806,일반상가,월세,1/2,400,"4,000",54,54,북동향,20250509,"['25년이상', '1층', '관리비10만원이하', '천장에어컨']",37.564158,126.924623
2524612517,일반상가,월세,1/3,140,"2,000",33,33,남서향,20250509,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.560837,126.920682
2524631550,일반상가,월세,B1/2,180,"2,000",59,49,남동향,20250509,"['25년이상', '지하층', '총2층', '남동향']",37.561586,126.91812
2524611172,일반상가,월세,1/5,130,"2,000",47,47,남동향,20250509,"['10년이내', '1층', '관리비10만원이하', '총5층']",37.564386,126.918003
2524655851,일반상가,월세,3/3,160,"2,000",41,41,북서향,20250509,"['25년이상', '테라스', '역세권', '고층']",37.561824,126.926045
2524636312,일반상가,월세,4/6,320,"3,000",141,141,북서향,20250509,"['25년이내', '중층', '주차가능', '북서향']",37.559467,126.92045
2524642359,일반상가,월세,1/5,500,1억,198,198,남서향,20250509,"['25년이상', '1층', '총5층', '남서향']",37.562922,126.92673
2524637233,일반상가,월세,2/6,200,"5,000",116,116,남동향,20250509,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.560378,126.922681
2524659826,일반상가,월세,1/3,690,"7,000",163,163,남서향,20250509,"['25년이상', '1층', '총3층', '남서향']",37.564913,126.922922
2524643094,일반상가,월세,B1/6,450,"7,000",145,145,서향,20250509,"['10년이내', '지하층', '주차가능', '서향']",37.563267,126.926217
2524635568,일반상가,월세,1/3,370,"5,000",55,55,북동향,20250509,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.562146,126.926359
2524635492,일반상가,월세,1/4,500,"5,000",61,51,남동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.561256,126.926173
2524636570,일반상가,월세,2/4,275,"3,000",56,56,동향,20250509,"['10년이내', '역세권', '중층', '관리비10만원이하']",37.561559,126.925483
2524657181,일반상가,월세,1/5,330,"4,000",84,84,남동향,20250509,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.564635,126.924771
2524656058,일반상가,월세,2/3,180,"2,500",57,57,북서향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.561824,126.926045
2524661954,단지내상가,월세,B1/3,250,"3,000",36,36,서향,20250509,"['25년이상', '지하층', '관리비10만원이하', '총3층']",37.561976,126.926352
2524645128,일반상가,월세,4/4,150,"2,000",25,21,남동향,20250509,"['4년이내', '테라스', '역세권', '고층']",37.561169,126.926094
2524611996,일반상가,월세,1/5,400,"5,000",158,112,남동향,20250509,"['15년이내', '1층', '주차가능', '총5층']",37.562186,126.919063
2524644925,일반상가,월세,3/3,230,"3,000",53,53,서향,20250509,"['25년이상', '고층', '관리비10만원이하', '총3층']",37.561878,126.926345
2524661991,일반상가,월세,2/4,450,"5,000",163,163,북서향,20250509,"['25년이상', '중층', '주차가능', '총4층']",37.563286,126.925673
2524632938,일반상가,월세,B1/6,240,"3,000",114,114,북서향,20250509,"['25년이상', '지하층', '주차가능', '북서향']",37.563653,126.922317
2524647749,일반상가,월세,B1/5,200,"2,000",91,33,북서향,20250509,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.561568,126.92616
2524660992,일반상가,월세,3/3,190,"3,000",34,34,남향,20250509,"['25년이상', '융자금없는', '역세권', '고층']",37.560609,126.925422
2524659997,일반상가,월세,2/2,220,"3,000",47,47,남향,20250509,"['25년이상', '역세권', '고층', '총2층']",37.560965,126.925299
2524642489,일반상가,월세,B1/5,200,"2,000",45,35,북서향,20250509,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.561568,126.92616
2524642114,일반상가,월세,2/2,300,"5,000",74,74,북동향,20250509,"['25년이상', '고층', '관리비20만원이하', '총2층']",37.563958,126.924972
2524646048,일반상가,월세,1/3,375,"5,000",78,78,북향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.5617,126.926563
2524658710,일반상가,월세,2/4,300,"3,000",68,55,남동향,20250509,"['10년이내', '역세권', '중층', '관리비10만원이하']",37.561872,126.92657
2524641201,일반상가,월세,4/5,300,"5,000",68,68,동향,20250509,"['2년이내', '역세권', '고층', '관리비20만원이하']",37.561491,126.924122
2524642407,일반상가,월세,1/2,180,"1,700",39,39,남동향,20250509,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.560149,126.922275
2524661634,일반상가,월세,2/3,270,"3,000",62,62,남서향,20250509,"['25년이상', '중층', '관리비20만원이하', '총3층']",37.564913,126.922922
2524642450,일반상가,월세,1/6,450,"5,000",33,33,남향,20250509,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.561325,126.925601
2524661687,일반상가,월세,1/3,350,"5,000",146,146,,20250509,"['25년이상', '1층', '관리비20만원이하', '총3층']",37.558927,126.917992
2524640437,일반상가,월세,2/4,250,"3,000",82,82,북향,20250509,"['10년이내', '중층', '관리비10만원이하', '총4층']",37.562268,126.924838
2524598911,일반상가,월세,2/4,240,"3,000",26,26,동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.560687,126.923595
2524569845,일반상가,월세,B1/5,150,"3,000",85,62,북서향,20250508,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.561615,126.922195
2524588000,일반상가,월세,1/3,360,"4,000",82,82,남동향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.561362,126.92608
2524588101,일반상가,월세,2/5,300,"3,000",72,72,남서향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.560629,126.923491
2524581544,일반상가,월세,2/5,150,"3,000",49,49,북동향,20250508,"['4년이내', '역세권', '중층', '관리비20만원이하']",37.560563,126.925083
2524583051,일반상가,월세,B1/3,250,"3,000",46,46,북향,20250508,"['25년이내', '지하층', '관리비10만원이하', '총3층']",37.562255,126.925107
2524579897,일반상가,월세,2/4,170,"2,000",39,35,,20250508,"['10년이내', '중층', '관리비10만원이하', '총4층']",37.564384,126.923157
2524540382,일반상가,월세,1/4,450,"5,000",66,66,남향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.561538,126.924691
2524567573,일반상가,월세,2/3,210,"3,000",49,49,북동향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.56162,126.925672
2524538368,일반상가,월세,1/3,180,"3,000",33,33,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.561856,126.926786
2524557356,일반상가,월세,1/4,500,"5,000",175,175,북동향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.565089,126.923774
2524545136,일반상가,월세,1/2,180,"1,800",39,33,남동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.560149,126.922275
2524536223,일반상가,월세,3/4,180,"2,000",60,60,북동향,20250508,"['25년이내', '고층', '관리비10만원이하', '총4층']",37.562922,126.925313
2524564615,일반상가,월세,1/4,330,"3,300",55,55,북동향,20250508,"['25년이내', '1층', '관리비10만원이하', '총4층']",37.562922,126.925313
2524579998,일반상가,월세,B1/4,180,"3,000",58,58,동향,20250508,"['25년이상', '지하층', '관리비10만원이하', '총4층']",37.565734,126.922985
2524577862,일반상가,월세,2/5,170,"2,500",55,55,북동향,20250508,"['25년이상', '중층', '관리비10만원이하', '총5층']",37.56326,126.925803
2524553085,일반상가,월세,1/2,580,"8,000",130,107,동향,20250508,"['25년이상', '마당', '1층', '주차가능']",37.565098,126.921776
2524535992,일반상가,월세,1/5,120,"1,000",26,26,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.561207,126.920014
2524473445,일반상가,월세,1/4,130,"2,000",33,28,서향,20250508,"['4년이내', '1층', '관리비10만원이하', '총4층']",37.566276,126.920562
2524504194,일반상가,월세,1/4,350,"4,000",54,54,북향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.560691,126.924788
2524586430,일반상가,월세,2/2,560,"7,000",95,95,남서향,20250508,"['25년이상', '고층', '관리비20만원이하', '천장에어컨']",37.56511,126.923098
2524594824,일반상가,월세,B1/4,300,"4,000",81,81,북동향,20250508,"['10년이내', '테라스', '지하층', '관리비10만원이하']",37.563093,126.925582
2524579822,일반상가,월세,1/4,250,"3,000",57,56,남향,20250508,"['25년이상', '1층', '총4층', '남향']",37.564961,126.923009
2524595026,일반상가,월세,3/3,250,"3,000",68,68,남동향,20250508,"['15년이내', '고층', '총3층', '남동향']",37.562763,126.925724
2524589164,일반상가,월세,B1/4,150,"3,000",88,39,북동향,20250508,"['4년이내', '지하층', '관리비10만원이하', '총4층']",37.562922,126.92574
2524595444,일반상가,월세,2/5,300,"3,000",68,68,북서향,20250508,"['25년이상', '중층', '관리비10만원이하', '총5층']",37.562881,126.92516
2524588358,일반상가,월세,1/2,"1,000","1억 5,000",293,293,북서향,20250508,"['25년이상', '1층', '총2층', '북서향']",37.564206,126.923403
2524596723,일반상가,월세,1/4,130,"1,500",33,21,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '천장에어컨']",37.562053,126.921427
2524419622,일반상가,월세,3/3,270,"3,000",52,52,,20250508,"['25년이상', '테라스', '역세권', '고층']",37.561434,126.925918
2524428997,일반상가,월세,2/3,230,"4,000",90,42,북동향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.560609,126.925422
2524481917,일반상가,월세,B1/4,400,"5,000",87,87,북동향,20250508,"['25년이상', '테라스', '지하층', '관리비10만원이하']",37.562554,126.925288
2524474108,일반상가,월세,1/1,250,"5,000",29,28,북향,20250508,"['25년이상', '1층', '북향']",37.566455,126.919822
2524420838,일반상가,월세,2/3,280,"3,000",74,74,남동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.562398,126.924747
2524502645,일반상가,월세,1/3,190,"2,000",21,21,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '천장에어컨']",37.562159,126.926715
2524432617,일반상가,월세,1/4,250,"3,000",40,40,북동향,20250508,"['4년이내', '1층', '관리비20만원이하', '천장에어컨']",37.562922,126.92574
2524535358,일반상가,월세,2/4,220,"3,000",59,59,북동향,20250508,"['25년이내', '중층', '관리비10만원이하', '총4층']",37.562922,126.925313
2524533959,일반상가,월세,3/3,200,"3,000",57,57,서향,20250508,"['25년이상', '고층', '관리비10만원이하', '천장에어컨']",37.562146,126.926359
2524566167,일반상가,월세,1/3,900,1억,234,234,북서향,20250508,"['25년이상', '1층', '총3층', '북서향']",37.563904,126.924893
2524515404,일반상가,월세,2/2,300,"5,000",82,66,남서향,20250508,"['25년이상', '고층', '관리비20만원이하', '총2층']",37.563958,126.924972
2524566508,일반상가,월세,전체층/2,580,"8,000",107,107,남동향,20250508,"['25년이상', '주차가능', '총2층', '남동향']",37.565098,126.921776
2524565136,일반상가,월세,1/2,220,"3,000",86,33,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.560965,126.925299
2524378623,일반상가,월세,2/3,400,"4,000",110,110,동향,20250508,"['25년이상', '테라스', '역세권', '중층']",37.561467,126.926452
2524348589,일반상가,월세,1/1,680,"8,000",132,132,동향,20250508,"['25년이상', '테라스', '1층', '동향']",37.564093,126.924794
2524389088,일반상가,월세,B1/5,200,"2,000",60,43,남서향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.561568,126.92616
2524375109,일반상가,월세,2/2,150,"2,000",94,39,남동향,20250508,"['25년이상', '역세권', '고층', '총2층']",37.560965,126.925299
2524377203,일반상가,월세,4/4,110,"1,000",24,24,서향,20250508,"['10년이내', '역세권', '고층', '관리비10만원이하']",37.561609,126.926497
2524349585,일반상가,월세,1/3,380,"4,000",83,83,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.562396,126.92563
2524349049,일반상가,월세,3/4,150,"2,000",37,37,남향,20250508,"['10년이내', '역세권', '고층', '관리비10만원이하']",37.56083,126.924748
2524497989,일반상가,월세,1/4,130,"2,000",33,33,북서향,20250508,"['4년이내', '1층', '관리비10만원이하', '풀옵']",37.566276,126.920562
2524510992,일반상가,월세,2/3,160,"1,900",77,33,북동향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.56162,126.925672
2524481259,일반상가,월세,1/6,450,"5,000",54,54,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.561325,126.925601
2524432631,일반상가,월세,2/4,300,"3,000",68,59,남동향,20250508,"['10년이내', '역세권', '중층', '관리비10만원이하']",37.561872,126.92657
2524441772,일반상가,월세,B1/7,150,"3,000",85,62,남동향,20250508,"['10년이내', '융자금없는', '역세권', '지하층']",37.561615,126.922195
2524459907,일반상가,월세,1/3,500,"5,000",61,51,남동향,20250508,"['25년이내', '역세권', '1층', '총3층']",37.561256,126.926173
2524417991,일반상가,월세,1/4,350,"2,000",71,71,북동향,20250508,"['15년이내', '1층', '관리비10만원이하', '총4층']",37.563786,126.924019
2524510458,일반상가,월세,1/4,530,"5,300",39,39,서향,20250508,"['2년이내', '역세권', '1층', '총4층']",37.56142,126.92447
2524545643,일반상가,월세,2/5,330,"3,000",93,93,남동향,20250508,"['10년이내', '중층', '관리비20만원이하', '주차가능']",37.560631,126.920559
2524515281,일반상가,월세,B1/4,250,"3,000",57,57,북서향,20250508,"['25년이상', '테라스', '지하층', '총4층']",37.564961,126.923009
2524552532,일반상가,월세,2/5,160,"1,000",91,91,북향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.562116,126.924055
2524564886,일반상가,월세,1/5,450,"5,000",127,125,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.55922,126.920872
2524587690,일반상가,월세,2/2,280,"3,500",95,46,남서향,20250508,"['25년이상', '고층', '관리비10만원이하', '총2층']",37.56511,126.923098
2524307476,일반상가,월세,3/3,230,"3,000",62,62,북서향,20250508,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.562396,126.92563
2524373565,복합상가,월세,B1/4,160,"2,000",54,54,북향,20250508,"['15년이내', '지하층', '관리비10만원이하', '천장에어컨']",37.562922,126.925578
2524413204,일반상가,월세,1/5,150,"2,000",76,40,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.566719,126.916851
2524317203,일반상가,월세,1/5,100,"1,000",29,29,서향,20250508,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.56672,126.917706
2524417442,일반상가,월세,2/3,450,"6,000",83,83,,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.561434,126.925918
2524385199,일반상가,월세,1/3,180,"2,000",46,46,북서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.561856,126.926786
2524416726,일반상가,월세,1/3,550,"7,000",83,83,,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.561434,126.925918
2524579667,일반상가,월세,B1/3,210,"2,000",50,50,남동향,20250508,"['25년이상', '지하층', '관리비10만원이하', '총3층']",37.564913,126.922922
2524457497,일반상가,월세,B1/4,160,"2,000",23,23,북동향,20250508,"['10년이내', '융자금없는', '지하층', '관리비10만원이하']",37.563009,126.925659
2524578149,일반상가,월세,1/3,450,"5,000",75,75,북동향,20250508,"['25년이상', '1층', '관리비20만원이하', '총3층']",37.562528,126.924938
2524577307,일반상가,월세,1/3,165,"3,000",55,45,남향,20250508,"['25년이상', '테라스', '1층', '관리비10만원이하']",37.563471,126.926993
2524595300,일반상가,월세,2/2,530,"5,000",92,92,남서향,20250508,"['25년이상', '고층', '총2층', '남서향']",37.565327,126.922203
2524344626,일반상가,월세,1/2,210,"3,000",34,34,서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.562365,126.924581
2524303221,일반상가,월세,1/1,250,"5,000",29,29,북동향,20250508,"['25년이상', '1층', '북동향']",37.566455,126.919822
2524303796,일반상가,월세,2/4,95,"1,000",33,29,남서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.560474,126.922822
2524347165,일반상가,월세,3/3,180,"2,000",42,42,남동향,20250508,"['25년이상', '테라스', '역세권', '고층']",37.5614,126.926362
2524542069,일반상가,월세,3/3,230,"3,000",54,54,서향,20250508,"['25년이상', '테라스', '고층', '관리비10만원이하']",37.561878,126.926345
2524528841,일반상가,월세,3/4,150,"2,000",28,28,남동향,20250508,"['4년이내', '역세권', '고층', '관리비10만원이하']",37.561169,126.926094
2524576739,일반상가,월세,B1/5,325,"3,500",89,89,동향,20250508,"['10년이내', '지하층', '관리비20만원이하', '총5층']",37.564635,126.924771
2524529654,일반상가,월세,4/4,150,"2,000",21,21,남동향,20250508,"['4년이내', '테라스', '역세권', '고층']",37.561169,126.926094
2524563904,일반상가,월세,1/5,250,"3,000",74,74,북서향,20250508,"['2년이내', '1층', '주차가능', '천장에어컨']",37.559659,126.919339
2524530488,일반상가,월세,2/4,250,"3,000",33,33,남동향,20250508,"['4년이내', '역세권', '중층', '관리비10만원이하']",37.561169,126.926094
2524372154,일반상가,월세,1/4,160,"2,000",171,66,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '천장에어컨']",37.559113,126.919916
2524305118,일반상가,월세,1/4,220,"3,000",64,64,동향,20250508,"['25년이상', '1층', '총4층', '동향']",37.561607,126.919654
2524304700,일반상가,월세,1/5,400,"5,000",158,158,남동향,20250508,"['15년이내', '1층', '주차가능', '천장에어컨']",37.562186,126.919063
2524394955,일반상가,월세,1/4,160,"2,000",56,56,,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.559113,126.919916
2524377629,일반상가,월세,1/2,300,"4,000",72,66,남서향,20250508,"['25년이상', '마당', '1층', '관리비10만원이하']",37.565796,126.921259
2524378649,일반상가,월세,1/4,550,"6,000",97,88,남동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.561891,126.925847
2524315890,일반상가,월세,1/4,136,"1,500",77,23,북서향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.562053,126.921427
2524369267,일반상가,매매,1/4,,"2억 5,000",26,26,북향,20250508,"['15년이내', '1층', '총4층', '북향']",37.56538,126.918039
2524395634,일반상가,월세,1/5,500,"6,000",98,98,남동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.55927,126.921055
2524375171,일반상가,월세,B1/4,500,"5,000",84,71,남동향,20250508,"['4년이내', '역세권', '지하층', '관리비10만원이하']",37.561169,126.926094
2524376481,일반상가,월세,3/4,450,"4,000",155,155,남서향,20250508,"['25년이내', '고층', '관리비20만원이하', '주차가능']",37.563516,126.92487
2524371708,일반상가,월세,3/5,140,"2,000",88,44,동향,20250508,"['10년이내', '테라스', '역세권', '중층']",37.56152,126.925741
2524315837,일반상가,월세,4/4,230,"3,000",54,54,북서향,20250508,"['25년이상', '고층', '관리비10만원이하', '총4층']",37.561878,126.926345
2524362254,일반상가,월세,4/7,850,1억,131,131,남동향,20250508,"['15년이내', '역세권', '중층', '주차가능']",37.560966,126.924026
2524386571,일반상가,월세,B1/2,330,"4,000",74,74,남서향,20250508,"['25년이상', '지하층', '총2층', '남서향']",37.565416,126.922115
