articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524436823,단지내상가,월세,1/5,310,"3,500",67,40,남향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.542316,126.944642
2524479707,단지내상가,매매,1/2,,8억,76,40,서향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.552979,126.947721
2524480540,단지내상가,매매,1/1,,"6억 5,000",60,39,서향,20250508,"['10년이내', '역세권', '1층', '서향']",37.552979,126.947721
2524584605,일반상가,월세,2/5,670,1억,156,116,남향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.546569,126.945505
2524352452,일반상가,월세,1/3,200,"3,000",51,51,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.54649,126.946336
2524480710,단지내상가,매매,1/1,,8억,81,43,,20250508,"['10년이내', '역세권', '1층']",37.552979,126.947721
2524581635,일반상가,월세,2/4,120,"1,500",82,82,북향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.55645,126.946734
2524369804,일반상가,월세,3/4,135,"1,000",75,66,,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.547139,126.943985
2524352970,일반상가,월세,1/3,250,"3,500",77,77,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.54649,126.946336
2524569199,일반상가,월세,6/7,200,"1,500",59,59,북동향,20250508,"['25년이상', '역세권', '고층', '북동향']",37.545843,126.945797
2524405436,일반상가,월세,2/2,55,"1,000",19,19,,20250508,"['25년이상', '역세권', '고층', '총2층']",37.546685,126.945558
2524464394,일반상가,월세,1/4,115,"2,000",43,42,남향,20250508,"['25년이상', '1층', '총4층', '남향']",37.548952,126.949126
2524410670,일반상가,월세,B1/3,40,500,72,72,,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.555917,126.94674
2524412728,일반상가,월세,1/3,60,"1,500",23,23,,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.556407,126.946634
2524411868,일반상가,월세,1/4,70,"1,000",26,26,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.556024,126.946635
2524043681,일반상가,월세,2/5,670,1억,138,116,남향,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.546569,126.945505
2523907948,일반상가,월세,2/4,120,"1,500",43,43,북향,20250507,"['25년이상', '역세권', '중층', '총4층']",37.55645,126.946734
2524069184,단지내상가,매매,1/2,,"5억 7,000",46,21,서향,20250507,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.550813,126.948524
