articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524632291,일반상가,월세,1/6,180,"3,000",29,29,북향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.541275,126.941288
2524631825,일반상가,월세,3/4,300,"5,000",122,122,남서향,20250509,"['25년이상', '역세권', '고층', '총4층']",37.539879,126.943966
2524631698,일반상가,매매,1/2,,55억,303,180,남동향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.541562,126.943718
2524632781,일반상가,월세,1/7,315,"5,000",109,109,서향,20250509,"['25년이상', '융자금없는', '1층', '주차가능']",37.543155,126.937991
2524632549,일반상가,월세,4/5,"1,300",2억,289,234,남향,20250509,"['10년이내', '역세권', '고층', '엘리베이터']",37.541576,126.945094
2524632232,일반상가,월세,3/6,830,"1억 3,000",311,247,남향,20250509,"['10년이내', '역세권', '중층', '주차가능']",37.539377,126.943765
2524632198,일반상가,월세,2/6,950,"1억 5,000",406,267,남향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.539377,126.943765
2524632737,일반상가,월세,1/4,420,"4,500",122,122,북동향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.541936,126.94031
2524632403,일반상가,월세,2/3,300,"5,000",175,175,동향,20250509,"['25년이상', '중층', '총3층', '동향']",37.541746,126.940581
2524465164,일반상가,월세,1/3,400,"4,000",121,121,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.543574,126.93962
2524542967,일반상가,월세,B1/1,230,"2,000",88,52,남서향,20250508,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.541562,126.943718
2524503344,일반상가,월세,전체층/3,800,"1억 5,000",248,248,남향,20250508,"['25년이상', '융자금없는', '역세권', '천장에어컨']",37.541332,126.944862
2524333243,일반상가,월세,B1/3,400,"4,000",121,121,북향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.543574,126.93962
2524333169,일반상가,월세,2/3,250,"3,000",132,132,북향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.543574,126.93962
2524333149,일반상가,월세,B1/3,150,"1,500",112,112,북향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.543574,126.93962
2524333459,일반상가,월세,2/5,450,"5,000",71,71,남동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.540572,126.942101
2524372824,일반상가,월세,1/3,400,"5,000",74,74,남서향,20250508,"['25년이상', '1층', '총3층', '남서향']",37.542234,126.940565
2524464431,일반상가,월세,1/4,220,"2,000",49,49,남서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.540405,126.943185
2524333119,일반상가,월세,2/5,240,"3,000",65,65,남서향,20250508,"['25년이상', '역세권', '중층', '총5층']",37.540082,126.943655
2524333489,일반상가,월세,B1/4,515,"3,000",279,279,남향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.539366,126.943937
2524308558,일반상가,월세,1/6,250,"5,000",76,76,남서향,20250508,"['25년이내', '1층', '주차가능', '남서향']",37.542472,126.940304
2524334168,일반상가,월세,1/4,420,"4,500",122,22,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.541936,126.94031
2524349416,일반상가,매매,B1/1,,55억,303,180,남동향,20250508,"['10년이내', '역세권', '급매', '지하층']",37.541562,126.943718
2524333913,일반상가,월세,1/3,150,"3,000",46,46,남향,20250508,"['2년이내', '1층', '주차가능', '총3층']",37.543887,126.939542
2524067747,일반상가,월세,1/8,"1,430",1억,287,214,동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.53993,126.943028
2524276430,일반상가,월세,3/8,185,"6,000",117,91,북동향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.539366,126.943937
2524064202,단지내상가,매매,1/3,,8억,42,24,남동향,20250507,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.543379,126.941281
2523883400,일반상가,월세,1/2,230,"2,000",88,52,남서향,20250507,"['10년이내', '역세권', '1층', '총2층']",37.541562,126.943718
2524208201,일반상가,월세,1/3,400,"5,000",91,82,남서향,20250507,"['25년이상', '1층', '총3층', '남서향']",37.542234,126.940565
2524153232,일반상가,월세,1/1,250,"3,000",49,49,남동향,20250507,"['25년이상', '역세권', '1층', '남동향']",37.541104,126.941519
2524193408,일반상가,월세,1/3,400,"5,000",91,91,남서향,20250507,"['25년이상', '1층', '주차가능', '총3층']",37.542234,126.940565
