articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524622666,일반상가,매매,3/4,,5억,105,57,북동향,20250509,"['25년이상', '고층', '주차가능', '총4층']",37.570173,126.903857
2524622989,일반상가,월세,3/4,60,"1,000",72,39,북동향,20250509,"['25년이상', '고층', '주차가능', '총4층']",37.570173,126.903857
2524387393,일반상가,월세,1/3,75,"1,000",35,35,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.573313,126.902037
2524394530,일반상가,매매,1/4,,"9,600",15,10,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.570173,126.903857
2524392571,일반상가,월세,1/4,35,500,12,7,남서향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.570173,126.903857
2524565226,일반상가,월세,1/4,140,"2,000",49,49,동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.567945,126.910822
2524402736,일반상가,월세,3/5,80,"1,000",56,32,남동향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.56901,126.911163
2523971832,단지내상가,월세,2/3,50,500,37,23,남서향,20250506,"['25년이내', '융자금적은', '중층', '관리비10만원이하']",37.571769,126.906088
2523754180,일반상가,월세,1/4,140,"3,000",63,63,동향,20250503,"['25년이상', '융자금없는', '마당', '역세권']",37.567945,126.910822
2523682106,일반상가,월세,1/4,260,"5,000",36,36,남서향,20250503,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.570358,126.903417
2523800712,단지내상가,월세,1/2,50,500,23,23,남동향,20250503,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.571152,126.906896
2523390886,단지내상가,월세,2/3,80,"2,000",55,43,동향,20250502,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.57406,126.9019
2523639208,단지내상가,월세,1/3,105,"1,000",40,30,남서향,20250502,"['25년이내', '융자금적은', '1층', '관리비10만원이하']",37.570898,126.905379
2523122923,일반상가,월세,1/3,70,"1,000",32,32,,20250430,"['25년이상', '역세권', '1층', '총3층']",37.573313,126.902037
2523186319,일반상가,월세,2/5,120,"2,000",52,45,남동향,20250430,"['25년이상', '융자금없는', '역세권', '중층']",37.568144,126.910901
2522997243,단지내상가,매매,1/2,,11억,34,34,남향,20250429,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.571814,126.905164
2522910484,일반상가,월세,1/6,200,"3,000",88,88,동향,20250429,"['25년이내', '융자금없는', '역세권', '1층']",37.568089,126.911706
2521655028,일반상가,월세,1/4,140,200,60,60,남동향,20250423,"['25년이상', '융자금없는', '역세권', '1층']",37.567945,126.910822
2521520029,일반상가,월세,2/5,120,"2,000",103,88,남서향,20250422,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.568144,126.910901
2520923169,일반상가,월세,4/4,110,"3,000",105,58,남서향,20250419,"['25년이상', '융자금없는', '고층', '관리비20만원이하']",37.570173,126.903857
2521004325,일반상가,월세,1/4,140,"2,000",79,79,북향,20250419,"['25년이내', '융자금없는', '역세권', '1층']",37.56916,126.911456
2521047890,일반상가,월세,1/4,320,"8,000",263,46,남서향,20250419,"['25년이상', '1층', '급매', '관리비20만원이하']",37.570358,126.903417
2520449747,일반상가,월세,B1/5,140,"3,000",1682,198,남동향,20250417,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.568928,126.911083
2520100403,일반상가,매매,B1/6,,"3억 4,000",111,79,남서향,20250415,"['10년이내', '지하층', '관리비10만원이하', '주차가능']",37.569711,126.909189
2519851449,일반상가,월세,1/4,140,"2,000",42,42,동향,20250414,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.567945,126.910822
2519765666,단지내상가,매매,2/3,,"9억 7,000",190,141,남향,20250414,"['25년이내', '중층', '주차가능', '총3층']",37.570501,126.905948
2519187084,단지내상가,월세,2/3,80,"2,000",57,43,남서향,20250411,"['25년이상', '융자금없는', '역세권', '중층']",37.57406,126.9019
2518902609,일반상가,월세,1/5,85,"2,500",45,34,남서향,20250410,"['25년이상', '융자금없는', '테라스', '역세권']",37.573165,126.902239
2519110411,일반상가,월세,1/4,350,"8,000",46,46,남서향,20250410,"['25년이상', '1층', '관리비20만원이하', '총4층']",37.570358,126.903417
