articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524606643,일반상가,월세,2/6,170,"2,000",93,93,남동향,20250509,"['25년이상', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.553825,126.931761
2524660626,단지내상가,매매,2/2,,"4억 5,000",49,49,동향,20250509,"['25년이내', '역세권', '고층', '관리비20만원이하']",37.548369,126.929448
2524575996,일반상가,월세,3/4,400,"5,000",84,80,남향,20250508,"['15년이내', '역세권', '고층', '관리비20만원이하']",37.554314,126.932103
2524587255,일반상가,월세,1/4,85,"1,000",66,26,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.55348,126.932674
2524541346,일반상가,월세,1/6,320,"4,000",86,86,북향,20250508,"['25년이상', '1층', '주차가능', '북향']",37.553125,126.925887
2524412099,단지내상가,매매,2/2,,"6억 5,000",90,70,동향,20250508,"['25년이내', '역세권', '고층', '관리비20만원이하']",37.548369,126.929448
2524409024,단지내상가,매매,1/2,,"5억 5,000",33,33,동향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.548369,126.929448
2524576073,일반상가,월세,2/4,600,1억,142,112,남향,20250508,"['15년이내', '역세권', '중층', '총4층']",37.554314,126.932103
2524413003,단지내상가,매매,1/2,,12억,50,50,동향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.548369,126.929448
2524597518,일반상가,월세,2/3,90,"2,000",59,23,남동향,20250508,"['25년이상', '중층', '관리비10만원이하', '총3층']",37.553174,126.929667
2524454196,일반상가,월세,2/2,110,"2,000",30,30,북서향,20250508,"['25년이상', '역세권', '고층', '총2층']",37.547751,126.930154
2524542004,일반상가,월세,2/4,600,1억,142,142,동향,20250508,"['15년이내', '융자금없는', '역세권', '중층']",37.554314,126.932103
2524491882,일반상가,월세,1/3,185,"3,000",49,49,서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.548176,126.930465
2524306737,일반상가,월세,1/3,600,1억,128,125,남향,20250508,"['10년이내', '융자금적은', '역세권', '1층']",37.553925,126.932597
2524406359,단지내상가,매매,1/1,,"23억 4,135",86,86,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.55413,126.932371
2524453638,일반상가,월세,1/7,350,"3,000",148,148,북동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.554549,126.930761
2524406320,일반상가,월세,1/4,"1,500",2억,468,468,남서향,20250508,"['2년이내', '1층', '주차가능', '총4층']",37.552975,126.926278
2524180226,일반상가,월세,6/7,580,"5,000",264,264,북서향,20250507,"['25년이내', '고층', '주차가능', '북서향']",37.553761,126.92924
