articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524631884,단지내상가,월세,2/2,500,1억,212,132,남향,20250509,"['25년이내', '융자금없는', '고층', '주차가능']",37.575982,126.915663
2524631260,일반상가,월세,B1/3,60,500,53,53,남동향,20250509,"['25년이상', '지하층', '총3층', '남동향']",37.575064,126.922981
2524542848,일반상가,월세,2/3,250,"5,000",122,122,북서향,20250508,"['25년이상', '중층', '총3층', '북서향']",37.579275,126.923817
2524364208,일반상가,월세,B1/2,50,"1,000",56,56,남동향,20250508,"['25년이상', '지하층', '총2층', '남동향']",37.573877,126.919882
2524446630,일반상가,월세,1/2,85,"1,000",34,34,동향,20250508,"['25년이상', '1층', '총2층', '동향']",37.583317,126.923148
2524447395,일반상가,월세,2/3,310,"4,500",140,140,북서향,20250508,"['25년이상', '중층', '총3층', '북서향']",37.579356,126.923935
2524387310,단지내상가,월세,1/3,90,"3,000",26,22,남향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.572343,126.91345
2524443956,일반상가,월세,1/4,190,"3,000",61,61,남향,20250508,"['25년이내', '융자금없는', '1층', '주차가능']",37.579034,126.924285
2524444226,일반상가,월세,1/2,67,"3,000",227,33,북서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.569289,126.9156
2524456682,일반상가,월세,2/4,250,"3,000",231,231,남서향,20250508,"['25년이상', '중층', '주차가능', '총4층']",37.577124,126.924825
2524539058,단지내상가,월세,B2/3,150,"3,000",25,25,남향,20250508,"['15년이내', '지하층', '관리비10만원이하', '주차가능']",37.575982,126.915663
2524489671,일반상가,월세,1/4,90,"1,500",30,30,남서향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.57911,126.923994
2524512493,일반상가,월세,1/1,800,"1억 5,000",61,61,남동향,20250508,"['25년이상', '역세권', '1층', '남동향']",37.569377,126.91543
2524530582,일반상가,월세,2/4,220,"5,000",142,142,남동향,20250508,"['25년이상', '중층', '주차가능', '총4층']",37.57719,126.923683
2524491304,일반상가,월세,1/2,70,"1,000",32,32,북향,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.578193,126.922573
2524459207,일반상가,월세,B1/3,40,"1,000",66,65,북서향,20250508,"['25년이상', '융자금없는', '지하층', '총3층']",37.576488,126.923808
2524487784,일반상가,월세,1/3,90,"1,000",33,33,남동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.578771,126.92389
2524522042,일반상가,월세,1/4,180,"3,000",63,63,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.576859,126.921579
2524418562,일반상가,월세,1/2,170,"4,000",43,43,북서향,20250508,"['25년이상', '1층', '총2층', '북서향']",37.578109,126.922114
2524413339,일반상가,월세,1/3,180,"3,000",29,29,북서향,20250508,"['25년이상', '융자금없는', '1층', '총3층']",37.579779,126.92453
