articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524352597,일반상가,월세,1/2,280,"5,000",56,56,남향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.567388,126.964691
2524512094,일반상가,월세,1/3,285,"5,000",56,56,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.567388,126.964691
2524439319,단지내상가,월세,2/3,100,"1,000",69,62,동향,20250508,"['25년이내', '중층', '관리비10만원이하', '주차가능']",37.566604,126.960022
2524436935,단지내상가,월세,2/3,50,500,13,13,동향,20250508,"['25년이내', '중층', '관리비10만원이하', '주차가능']",37.566604,126.960022
2524384717,일반상가,월세,1/2,180,"2,300",39,39,남향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.567298,126.964847
2524443842,단지내상가,월세,2/4,180,"3,000",65,65,북향,20250508,"['15년이내', '역세권', '중층', '관리비10만원이하']",37.566841,126.96388
2524358901,일반상가,월세,1/5,270,"3,000",92,92,북동향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.567526,126.964627
2524442054,일반상가,월세,1/3,135,"3,000",33,33,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.567274,126.964557
2524351479,일반상가,월세,1/4,135,"3,000",33,33,남향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.567274,126.964557
2524188735,일반상가,월세,2/4,170,"3,000",44,44,서향,20250507,"['25년이상', '역세권', '중층', '총4층']",37.566689,126.964494
2524297766,일반상가,월세,1/4,120,"3,500",25,25,남향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.567285,126.96434
2523896689,단지내상가,월세,2/4,200,"4,000",128,65,동향,20250507,"['15년이내', '역세권', '중층', '주차가능']",37.566841,126.96388
2524029472,일반상가,월세,1/3,250,"4,000",32,32,북동향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.566747,126.965323
2524161997,일반상가,월세,1/1,120,"2,000",13,13,동향,20250507,"['25년이상', '역세권', '1층', '동향']",37.568934,126.963376
2524056299,일반상가,월세,1/1,400,1억,85,85,남동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.566645,126.964845
2523516318,단지내상가,월세,1/4,137,"3,000",67,30,북동향,20250502,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.566841,126.96388
2523149040,일반상가,월세,1/4,230,"3,500",57,57,남서향,20250430,"['25년이상', '역세권', '1층', '총4층']",37.567635,126.964506
2523167165,일반상가,월세,1/4,137,"3,000",44,30,북향,20250430,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.566841,126.96388
2522657101,일반상가,월세,1/2,180,"2,300",39,39,남향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.567388,126.964691
2522634356,일반상가,월세,1/6,265,"3,000",64,64,북동향,20250428,"['25년이상', '역세권', '1층', '북동향']",37.567526,126.964627
2522725346,일반상가,월세,1/2,150,"1,500",44,44,남향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.566999,126.963435
2521821644,일반상가,월세,4/6,280,"5,000",140,140,동향,20250423,"['25년이내', '역세권', '중층', '관리비20만원이하']",37.56659,126.964636
2521423629,단지내상가,월세,1/2,50,500,16,13,동향,20250422,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.566604,126.960022
2521391122,일반상가,월세,1/5,130,"1,000",42,42,북동향,20250422,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.567382,126.963712
2521499498,일반상가,월세,1/3,253,"3,500",60,56,동향,20250422,"['25년이상', '융자금없는', '역세권', '1층']",37.567635,126.964506
2520991342,일반상가,월세,4/7,280,"5,000",140,140,북서향,20250419,"['25년이내', '역세권', '중층', '관리비20만원이하']",37.56659,126.964636
2520279938,일반상가,월세,1/1,100,"2,000",23,23,북동향,20250416,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.56786,126.96437
2519997038,일반상가,월세,1/3,230,"3,000",33,33,남동향,20250415,"['25년이상', '융자금없는', '역세권', '1층']",37.566747,126.965323
2519762448,일반상가,월세,2/5,130,"2,000",79,79,북동향,20250414,"['25년이상', '융자금없는', '역세권', '중층']",37.568052,126.964089
2519497194,일반상가,월세,1/1,90,"1,500",11,11,동향,20250412,"['25년이상', '역세권', '1층', '동향']",37.568934,126.963376
2519316840,일반상가,월세,1/8,230,"3,000",73,73,남향,20250411,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.567349,126.964157
2519261151,단지내상가,월세,2/4,180,"3,000",84,65,남동향,20250411,"['15년이내', '역세권', '중층', '관리비20만원이하']",37.566841,126.96388
2519270527,일반상가,월세,1/2,90,"1,500",22,22,동향,20250411,"['25년이상', '역세권', '1층', '총2층']",37.568934,126.963376
