articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524617601,단지내상가,월세,1/1,120,"2,000",41,26,동향,20250509,"['10년이내', '융자금없는', '역세권', '1층']",37.557105,126.944543
2524616285,일반상가,월세,1/5,530,"8,000",130,130,남향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.559316,126.94429
2524616141,일반상가,월세,1/5,200,"3,000",51,51,북향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.55945,126.944268
2524614074,일반상가,월세,3/7,450,"5,000",201,201,북서향,20250509,"['25년이상', '역세권', '중층', '북서향']",37.558874,126.943343
2524604830,일반상가,월세,2/4,120,"2,000",50,50,동향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.558515,126.942209
2524599672,일반상가,월세,1/15,80,"1,000",24,12,서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.55804,126.94316
2524558291,복합상가,월세,1/3,170,"3,000",39,39,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.558276,126.944962
2524587846,일반상가,월세,1/4,140,"3,000",36,33,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.557136,126.947523
2524338263,일반상가,월세,1/10,"1,000",1억,80,80,,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.559052,126.943998
2524355374,복합상가,매매,1/20,,"7억 6,000",79,52,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.558266,126.942417
2524481060,일반상가,월세,2/3,150,"5,000",96,96,남향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.559472,126.944977
2524480188,일반상가,월세,3/4,120,"2,500",83,83,남향,20250508,"['25년이상', '융자금적은', '역세권', '고층']",37.559345,126.94477
2524480580,일반상가,월세,1/3,78,"1,000",25,23,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.55934,126.944995
2524582369,일반상가,월세,2/3,170,"3,000",66,66,북향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.558276,126.944962
2524480756,일반상가,월세,1/3,80,"1,000",20,20,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.559339,126.944883
2524396991,일반상가,월세,4/4,105,"1,000",52,52,남향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.558515,126.942209
2524412687,일반상가,월세,5/5,250,"3,000",108,108,북동향,20250508,"['4년이내', '역세권', '고층', '주차가능']",37.558406,126.942054
2523846843,일반상가,월세,1/4,95,"1,500",13,13,,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.559435,126.94412
2523861060,일반상가,월세,1/2,170,"5,000",12,12,남향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.559273,126.94512
2523967469,일반상가,월세,3/6,"1,000","1억 7,000",370,185,남향,20250507,"['25년이내', '역세권', '중층', '주차가능']",37.557081,126.946422
2523849025,일반상가,월세,1/4,47,"1,000",13,13,동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.559478,126.943781
2523847857,일반상가,월세,B1/4,150,"1,500",59,59,북향,20250507,"['25년이상', '융자금없는', '역세권', '지하층']",37.559435,126.94412
2523848153,일반상가,월세,1/3,150,"1,500",39,39,남동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.557279,126.943388
