articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524533039,일반상가,월세,1/19,"1,030",1억 300,220,109,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.56484,126.966395
2524470007,일반상가,월세,1/2,160,"2,000",49,49,서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.562561,126.966597
2524442782,단지내상가,월세,1/7,230,"3,000",40,40,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.56306,126.968468
2523720534,복합상가,월세,1/19,825,1억,109,109,남서향,20250503,"['15년이내', '역세권', '1층', '주차가능']",37.56484,126.966395
2523717910,복합상가,월세,1/19,"1,328","1억 5,945",175,175,남서향,20250503,"['15년이내', '역세권', '1층', '주차가능']",37.56484,126.966395
2522931337,일반상가,월세,1/19,"1,021","1억 2,252",355,175,서향,20250429,"['15년이내', '역세권', '1층', '주차가능']",37.56484,126.966395
2521919945,일반상가,월세,1/2,110,"1,500",30,30,남서향,20250424,"['25년이상', '역세권', '1층', '총2층']",37.562561,126.966597
2522043770,일반상가,월세,1/2,110,"1,500",39,31,남서향,20250424,"['25년이상', '역세권', '1층', '총2층']",37.562558,126.966766
2521976111,일반상가,월세,1/19,"1,030",1억 300,218,109,북서향,20250424,"['15년이내', '역세권', '1층', '주차가능']",37.56484,126.966395
2520335709,복합상가,월세,1/19,707,"8,500",93,93,서향,20250416,"['15년이내', '융자금없는', '역세권', '1층']",37.56484,126.966395
2520045616,일반상가,월세,1/5,260,"3,000",167,167,남향,20250415,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.563045,126.967186
2519079577,일반상가,월세,1/3,110,"1,500",30,30,남향,20250410,"['25년이상', '융자금적은', '역세권', '1층']",37.562561,126.966597
