articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524649620,단지내상가,월세,B1/4,50,"1,000",50,25,서향,20250509,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.575902,126.909108
2524654701,일반상가,월세,2/3,130,"2,000",71,71,동향,20250509,"['25년이상', '융자금없는', '중층', '주차가능']",37.577451,126.909035
2524631328,일반상가,월세,2/4,130,"2,000",71,71,남동향,20250509,"['25년이상', '중층', '주차가능', '총4층']",37.577451,126.909035
2524432778,복합상가,월세,4/4,100,1억,152,152,남동향,20250508,"['25년이상', '고층', '관리비20만원이하', '주차가능']",37.580805,126.911697
2524347787,일반상가,월세,1/4,150,"2,500",66,66,북동향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.580805,126.911697
2524434355,일반상가,월세,1/1,280,"4,000",124,75,북동향,20250508,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.574534,126.911816
2524575420,일반상가,월세,1/3,100,"1,000",29,29,남서향,20250508,"['25년이상', '1층', '총3층', '남서향']",37.575907,126.912453
2524306392,복합상가,매매,1/6,,"7억 5,000",75,37,남동향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.570878,126.91296
2524493947,일반상가,월세,1/2,240,"5,000",170,170,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.581601,126.908591
2524303159,일반상가,월세,1/4,100,"2,000",34,34,서향,20250508,"['25년이상', '1층', '총4층', '서향']",37.585156,126.915388
2524458054,일반상가,매매,1/6,,"2억 6,000",32,29,동향,20250508,"['10년이내', '1층', '동향']",37.579641,126.911774
2523763598,일반상가,월세,2/4,65,"1,000",40,40,남동향,20250508,"['25년이상', '중층', '주차가능', '총4층']",37.581919,126.918518
2524460066,단지내상가,월세,1/2,90,"2,000",28,28,북동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.581319,126.910798
2524394033,일반상가,월세,1/5,100,"1,000",27,22,북동향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.581135,126.911124
2524413141,일반상가,월세,1/5,100,"2,000",39,39,남향,20250508,"['25년이내', '융자금없는', '1층', '총5층']",37.579881,126.906967
2524462980,일반상가,월세,B1/3,55,500,43,43,남향,20250508,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.57975,126.916203
2524574533,일반상가,월세,1/2,180,"3,000",70,70,남향,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.579099,126.908122
2524587868,일반상가,월세,1/4,80,"1,000",40,33,북서향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.582638,126.910446
2523849891,일반상가,월세,1/4,160,"3,000",26,26,남서향,20250507,"['25년이상', '1층', '총4층', '남서향']",37.578114,126.909607
2524022171,복합상가,월세,1/3,250,"3,000",56,56,북동향,20250507,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.583633,126.911123
2524319421,단지내상가,매매,1/2,,3억,42,30,남향,20250507,"['25년이내', '1층', '주차가능', '총2층']",37.577514,126.91191
2523865253,일반상가,월세,1/5,220,"3,000",58,49,북서향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.583586,126.910674
2523997867,단지내상가,월세,1/10,250,"3,000",56,56,북향,20250507,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.583633,126.911123
2523861980,일반상가,월세,1/3,98,"1,000",42,39,남동향,20250507,"['25년이상', '1층', '총3층', '남동향']",37.577307,126.908908
2523915980,일반상가,월세,1/3,180,"2,000",60,60,북서향,20250507,"['25년이상', '1층', '관리비20만원이하', '총3층']",37.583557,126.914292
2523916135,일반상가,월세,1/3,180,"1,500",79,79,북서향,20250507,"['25년이상', '1층', '관리비20만원이하', '총3층']",37.583557,126.914292
2523986096,일반상가,월세,1/5,80,"1,000",38,38,남서향,20250507,"['25년이상', '1층', '주차가능', '총5층']",37.580572,126.915848
2523916977,일반상가,매매,1/5,,"2억 6,000",29,29,북동향,20250507,"['4년이내', '1층', '주차가능', '엘리베이터']",37.579741,126.911845
2523865500,일반상가,월세,1/3,150,"2,000",45,43,북서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.582689,126.913699
2524029254,단지내상가,월세,B1/4,25,500,25,13,남동향,20250507,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.575902,126.909108
2524124841,일반상가,월세,1/3,90,"1,000",27,27,남동향,20250507,"['25년이상', '1층', '주차가능', '총3층']",37.584987,126.914715
2524110534,복합상가,월세,1/5,160,"2,000",94,81,북서향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.584924,126.91209
2524273133,일반상가,월세,1/4,200,"4,000",66,66,서향,20250507,"['25년이상', '1층', '총4층', '서향']",37.585156,126.915388
2524216675,일반상가,월세,1/3,700,1억,151,151,남동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.584143,126.913938
2524225035,일반상가,월세,2/3,400,"5,000",151,151,남동향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.584143,126.913938
2524219573,일반상가,월세,1/3,"1,200",2억,453,453,남동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.584143,126.913938
2524259440,일반상가,월세,1/4,65,"1,000",35,35,남동향,20250507,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.581919,126.918518
2523959761,일반상가,월세,1/5,220,"3,000",49,49,서향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.583586,126.910674
2524096104,단지내상가,월세,1/3,35,500,14,14,남서향,20250507,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.575902,126.909108
2524051671,단지내상가,월세,2/3,150,"3,000",85,47,남향,20250507,"['25년이내', '융자금없는', '중층', '관리비10만원이하']",37.5764,126.914523
2524092582,단지내상가,월세,1/1,220,"4,000",96,55,,20250507,"['15년이내', '융자금없는', '1층', '관리비20만원이하']",37.572665,126.910562
2524262250,일반상가,월세,1/4,500,"8,000",183,183,북서향,20250507,"['15년이내', '1층', '주차가능', '총4층']",37.57534,126.907478
2524118636,단지내상가,매매,1/1,,"14억 9,000",119,70,,20250507,"['15년이내', '1층', '천장에어컨']",37.572665,126.910562
2524044950,단지내상가,매매,1/2,,"1억 8,000",32,23,남향,20250506,"['25년이내', '1층', '주차가능', '총2층']",37.577514,126.91191
2523904797,일반상가,월세,1/5,100,"2,000",47,39,남향,20250505,"['25년이내', '융자금없는', '1층', '주차가능']",37.579881,126.906967
2523861220,일반상가,월세,1/5,70,"1,000",30,23,북향,20250505,"['25년이상', '융자금없는', '역세권', '1층']",37.575996,126.905025
2523892791,일반상가,월세,1/3,270,"5,000",193,193,남서향,20250505,"['25년이상', '역세권', '1층', '주차가능']",37.581932,126.913217
2523753322,일반상가,월세,1/3,70,"1,000",24,24,북서향,20250503,"['25년이상', '1층', '총3층', '북서향']",37.580018,126.911737
2523809254,단지내상가,매매,B1/1,,"7억 4,000",92,53,남서향,20250503,"['15년이내', '지하층', '관리비20만원이하', '주차가능']",37.57694,126.910159
2523713405,단지내상가,매매,1/1,,"2억 2,000",41,41,북향,20250503,"['25년이내', '1층', '주차가능', '북향']",37.576811,126.90795
2523597246,일반상가,매매,1/5,,3억,33,33,북서향,20250502,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.580734,126.909796
2523357872,복합상가,월세,1/3,137,"2,500",40,30,남서향,20250502,"['15년이내', '융자금없는', '역세권', '1층']",37.571264,126.912257
2523451853,일반상가,월세,1/2,90,"1,000",26,26,남향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.581653,126.913966
2523346136,일반상가,월세,1/4,90,"3,500",33,33,남서향,20250502,"['25년이상', '1층', '주차가능', '총4층']",37.575481,126.913393
2523398878,일반상가,월세,1/3,150,"3,000",37,37,남서향,20250502,"['25년이상', '융자금없는', '1층', '총3층']",37.576592,126.911581
2523325061,일반상가,월세,1/4,200,"2,000",66,66,남동향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.582246,126.91277
2523357738,복합상가,매매,4/6,,17억,397,197,남서향,20250502,"['15년이내', '역세권', '중층', '엘리베이터']",37.570878,126.91296
2523224034,일반상가,월세,1/4,140,"3,000",23,23,남서향,20250502,"['25년이상', '1층', '총4층', '남서향']",37.578114,126.909607
2523357495,복합상가,매매,1/6,,4억,58,28,남서향,20250502,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.570878,126.91296
2523450309,일반상가,월세,1/2,70,"1,000",25,25,북동향,20250502,"['25년이상', '1층', '총2층', '북동향']",37.581035,126.914711
2523346339,일반상가,월세,1/2,90,"1,000",36,36,북동향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.581841,126.913752
2523212721,복합상가,월세,1/1,80,"1,000",28,28,북서향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.585829,126.912992
2523324255,일반상가,월세,1/3,110,"2,000",36,36,남서향,20250502,"['25년이상', '1층', '주차가능', '총3층']",37.577079,126.910974
2523343502,일반상가,월세,B1/8,360,"5,000",353,254,북서향,20250502,"['10년이내', '지하층', '주차가능', '북서향']",37.579644,126.911453
2523357632,복합상가,매매,2/3,,"3억 8,000",73,48,남향,20250502,"['15년이내', '역세권', '급매', '중층']",37.571264,126.912257
2523640443,일반상가,월세,1/3,120,"2,000",35,35,남서향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.574775,126.90586
2523342948,일반상가,월세,1/2,150,"2,000",35,35,북서향,20250501,"['25년이상', '1층', '총2층', '북서향']",37.579155,126.911088
2523088726,단지내상가,월세,1/1,280,"5,000",95,57,북동향,20250430,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.572665,126.910562
2523116890,일반상가,월세,2/6,440,"1억 6,000",247,247,남서향,20250430,"['25년이상', '지상층(1층제외)', '주차가능', '남서향']",37.5779,126.910241
2523108151,일반상가,매매,B1/6,,12억,636,304,북동향,20250430,"['15년이내', '역세권', '지하층', '주차가능']",37.570878,126.91296
2523232875,일반상가,월세,1/3,500,"5,000",189,189,동향,20250430,"['25년이상', '융자금없는', '1층', '주차가능']",37.578935,126.910254
2523035684,일반상가,월세,2/3,85,"1,500",174,85,북향,20250430,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.584102,126.91314
2522786723,일반상가,월세,B1/4,50,"1,000",90,90,남서향,20250429,"['25년이상', '지하층', '관리비10만원이하', '총4층']",37.578114,126.909607
2522921320,일반상가,월세,1/6,75,"2,000",31,29,북향,20250429,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.579741,126.911845
2522857484,일반상가,월세,1/4,160,"2,000",80,80,남서향,20250429,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.581157,126.915122
2522926968,일반상가,월세,1/6,110,"2,000",32,31,,20250429,"['4년이내', '1층', '주차가능']",37.579741,126.911845
2522872429,일반상가,월세,1/3,245,"5,000",107,107,남서향,20250429,"['25년이상', '역세권', '1층', '주차가능']",37.581932,126.913217
2522990689,단지내상가,월세,B1/1,184,"4,000",69,55,서향,20250429,"['15년이내', '지하층', '주차가능', '서향']",37.572665,126.910562
2522825343,일반상가,월세,1/3,100,"2,000",33,33,남서향,20250429,"['25년이상', '융자금없는', '역세권', '1층']",37.581843,126.910356
2522880919,일반상가,월세,1/3,120,"2,000",45,45,남서향,20250429,"['25년이상', '융자금없는', '역세권', '1층']",37.574775,126.90586
2522893948,일반상가,월세,1/4,70,"2,000",28,20,남동향,20250429,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.577792,126.91059
2522791609,일반상가,월세,1/5,200,"3,000",113,99,북동향,20250429,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.580858,126.914917
2522787526,단지내상가,월세,1/5,270,"3,500",207,138,북동향,20250429,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.580741,126.915094
2522714236,단지내상가,월세,B1/1,250,"7,000",58,58,북동향,20250428,"['15년이내', '지하층', '주차가능', '북동향']",37.572665,126.910562
2522754058,일반상가,월세,1/3,100,"2,000",32,32,남서향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.581843,126.910356
2522708264,일반상가,월세,5/6,320,"4,000",172,172,북서향,20250428,"['25년이상', '고층', '주차가능', '북서향']",37.5779,126.910241
2522725744,복합상가,월세,1/4,95,"2,000",46,38,남서향,20250428,"['25년이내', '1층', '주차가능', '총4층']",37.583104,126.919652
2522657222,일반상가,매매,1/5,,5억,73,61,남동향,20250428,"['4년이내', '1층', '총5층', '남동향']",37.579915,126.910426
2522691303,단지내상가,월세,1/10,220,"4,000",55,55,북동향,20250428,"['15년이내', '융자금없는', '1층', '관리비20만원이하']",37.572665,126.910562
2522728268,일반상가,월세,1/4,250,"3,000",15,15,남서향,20250428,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.578114,126.909607
2522692915,복합상가,매매,B1/6,,6억,333,166,북향,20250428,"['15년이내', '역세권', '지하층', '주차가능']",37.570878,126.91296
2522499205,단지내상가,월세,B1/10,200,"3,000",99,53,북서향,20250428,"['15년이내', '융자금없는', '지하층', '관리비20만원이하']",37.572665,126.910562
2522754430,일반상가,월세,1/3,190,"3,000",42,42,남서향,20250428,"['25년이상', '1층', '총3층', '남서향']",37.578247,126.909417
2522730074,일반상가,월세,1/4,155,"2,200",26,26,남동향,20250428,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.580805,126.911697
2522721081,일반상가,월세,1/4,190,"3,000",71,71,남동향,20250428,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.577451,126.909035
2522754553,일반상가,월세,1/3,100,"2,000",21,21,서향,20250428,"['25년이상', '융자금없는', '1층', '총3층']",37.578247,126.909417
2522690779,단지내상가,매매,1/10,,7억,57,57,북동향,20250428,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.572665,126.910562
2522690508,복합상가,매매,B1/6,,12억,608,304,북동향,20250428,"['15년이내', '역세권', '지하층', '주차가능']",37.570878,126.91296
2522718256,일반상가,월세,1/2,90,"2,000",27,27,북동향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.581319,126.910798
2522674627,일반상가,월세,3/3,100,"1,000",78,72,서향,20250428,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.578977,126.910926
2522603705,단지내상가,월세,1/2,130,"3,000",39,39,남동향,20250428,"['15년이내', '융자금없는', '1층', '주차가능']",37.572665,126.910562
2522584003,일반상가,월세,1/2,115,"2,000",39,39,서향,20250428,"['25년이상', '1층', '총2층', '서향']",37.582991,126.919686
2522633104,일반상가,월세,1/6,120,"3,000",42,33,남동향,20250428,"['10년이내', '융자금없는', '1층', '관리비10만원이하']",37.582846,126.91903
2522538860,일반상가,월세,1/4,100,"2,000",49,49,북서향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.58467,126.911832
2522632472,일반상가,월세,1/6,80,"2,000",30,23,남향,20250428,"['10년이내', '융자금없는', '1층', '관리비10만원이하']",37.582846,126.91903
2522635519,일반상가,월세,1/3,180,"2,000",99,99,서향,20250428,"['25년이상', '융자금없는', '1층', '총3층']",37.583557,126.914292
2522673816,일반상가,매매,1/6,,"3억 9,000",35,31,동향,20250428,"['4년이내', '1층', '주차가능', '인터폰']",37.579741,126.911845
2522631862,일반상가,월세,1/2,55,500,28,26,동향,20250428,"['25년이상', '융자금없는', '1층', '총2층']",37.580925,126.916695
2522698832,일반상가,월세,2/5,200,"2,000",114,114,북향,20250428,"['25년이내', '중층', '주차가능', '총5층']",37.580858,126.914917
2522511918,일반상가,월세,1/3,240,"5,000",70,70,,20250428,"['25년이상', '융자금적은', '역세권', '1층']",37.583276,126.911791
2522694938,일반상가,월세,1/2,70,"1,000",30,30,북향,20250428,"['25년이상', '1층', '총2층', '북향']",37.581035,126.914711
2522684877,일반상가,월세,1/3,110,"2,000",40,40,남서향,20250428,"['25년이상', '1층', '총3층', '남서향']",37.577079,126.910974
2522675555,단지내상가,매매,1/6,,4억,28,28,남서향,20250428,"['15년이내', '역세권', '1층', '급매']",37.570878,126.91296
2522661533,일반상가,월세,1/2,150,"2,000",30,30,북서향,20250428,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.579155,126.911088
2522713040,단지내상가,월세,1/1,750,2억,174,174,북동향,20250428,"['15년이내', '1층', '주차가능', '북동향']",37.572665,126.910562
2522535582,일반상가,월세,2/4,180,"5,000",124,124,북향,20250428,"['25년이상', '중층', '주차가능', '총4층']",37.582115,126.919942
2522795377,일반상가,매매,1/1,,"5억 7,000",89,49,서향,20250428,"['15년이내', '1층', '급매', '주차가능']",37.57694,126.910159
2522731365,일반상가,월세,1/6,110,"2,000",45,45,북향,20250428,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.582498,126.919314
2522590955,단지내상가,월세,1/1,200,"3,000",53,53,북동향,20250428,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.572665,126.910562
2522732101,일반상가,월세,1/2,140,"2,000",24,24,북동향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.581653,126.913966
2522717528,일반상가,월세,1/3,100,"2,000",18,18,남동향,20250428,"['25년이상', '1층', '주차가능', '총3층']",37.578247,126.909417
2522364995,일반상가,월세,B1/2,55,500,42,42,남향,20250426,"['25년이상', '융자금없는', '지하층', '총2층']",37.57975,126.916203
2522398920,일반상가,월세,1/4,350,"4,000",66,66,남향,20250426,"['25년이상', '1층', '총4층', '남향']",37.578114,126.909607
2522367027,일반상가,월세,2/3,180,"2,000",140,135,북서향,20250426,"['25년이상', '중층', '총3층', '북서향']",37.583557,126.914292
2522416728,일반상가,월세,1/3,180,"2,000",59,59,북서향,20250426,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.583557,126.914292
2522366045,단지내상가,월세,1/3,180,"2,000",60,59,북서향,20250426,"['25년이상', '1층', '총3층', '북서향']",37.583557,126.914292
2522209904,일반상가,월세,1/3,80,"1,000",28,28,북향,20250425,"['25년이상', '융자금없는', '1층', '총3층']",37.578068,126.909168
2522207335,일반상가,월세,B1/4,100,"1,000",139,139,북동향,20250425,"['25년이상', '지하층', '관리비10만원이하', '총4층']",37.581103,126.911938
2522210589,일반상가,월세,2/3,350,"4,000",163,163,북동향,20250425,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.575433,126.904357
2522129093,일반상가,월세,1/2,100,"2,000",42,39,북향,20250425,"['25년이상', '역세권', '1층', '총2층']",37.584396,126.912511
2522319872,단지내상가,매매,1/2,,"2억 7,000",80,57,남향,20250425,"['25년이내', '1층', '주차가능', '총2층']",37.577514,126.91191
2522319299,일반상가,월세,1/2,100,"2,000",45,45,북동향,20250425,"['25년이상', '융자금적은', '역세권', '1층']",37.584396,126.912511
2522322507,단지내상가,매매,B1/1,,"7억 7,000",108,51,남서향,20250425,"['15년이내', '지하층', '관리비20만원이하', '주차가능']",37.57694,126.910159
2522289700,일반상가,월세,1/4,250,"3,000",16,16,남향,20250425,"['25년이상', '1층', '총4층', '남향']",37.578114,126.909607
2522290031,일반상가,월세,1/4,120,"1,500",139,33,남향,20250425,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.582981,126.919185
2522190302,일반상가,매매,1/16,,100억,2127,1400,남향,20250425,"['25년이상', '1층', '주차가능', '남향']",37.572928,126.908386
2522191408,일반상가,월세,1/3,270,"5,000",195,195,남서향,20250425,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.581932,126.913217
2521941676,일반상가,월세,1/4,60,"1,500",31,31,남동향,20250424,"['25년이상', '융자금없는', '1층', '주차가능']",37.581793,126.920753
2521877188,일반상가,월세,1/3,200,"3,000",130,66,북서향,20250424,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.580764,126.912344
2521971694,일반상가,월세,4/5,200,"3,000",162,162,남동향,20250424,"['25년이내', '고층', '주차가능', '총5층']",37.575625,126.907123
2521872797,일반상가,월세,1/3,110,"1,000",204,33,북서향,20250424,"['25년이상', '1층', '총3층', '북서향']",37.580018,126.911737
2522011974,일반상가,월세,1/2,90,"2,000",30,30,북동향,20250424,"['25년이상', '역세권', '1층', '주차가능']",37.581653,126.913966
2522026470,단지내상가,월세,1/2,70,"1,000",73,24,남동향,20250424,"['25년이상', '융자금없는', '1층', '총2층']",37.581357,126.913093
2521892312,일반상가,월세,3/3,300,"5,000",151,151,남동향,20250424,"['25년이상', '역세권', '고층', '주차가능']",37.584143,126.913938
2521936954,일반상가,월세,1/4,150,"3,000",34,28,북동향,20250424,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.583848,126.911016
2522021285,일반상가,월세,1/5,120,"2,000",31,31,북동향,20250424,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.581248,126.910946
2521900659,일반상가,월세,1/1,250,"5,000",57,57,북동향,20250424,"['15년이내', '융자금없는', '1층', '주차가능']",37.574534,126.911816
2521872116,단지내상가,월세,2/3,150,"3,000",80,47,남향,20250424,"['25년이내', '중층', '주차가능', '총3층']",37.5764,126.914523
2521968813,단지내상가,월세,1/3,135,"2,000",42,42,북동향,20250424,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.581773,126.912444
2521975717,단지내상가,월세,1/1,280,"3,000",57,57,남동향,20250424,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.572665,126.910562
2522020232,단지내상가,월세,5/5,770,1억,375,375,남향,20250424,"['25년이상', '융자금없는', '고층', '주차가능']",37.576504,126.913168
2522029526,일반상가,월세,1/2,55,"1,000",33,33,북동향,20250424,"['25년이상', '1층', '총2층', '북동향']",37.581035,126.914711
2521650466,일반상가,월세,1/5,150,"2,000",64,64,남향,20250423,"['25년이내', '융자금없는', '1층', '주차가능']",37.57558,126.913178
2521784815,일반상가,월세,1/2,90,"1,500",29,29,남향,20250423,"['25년이상', '1층', '총2층', '남향']",37.575596,126.912984
2521700530,단지내상가,월세,1/3,40,500,26,14,남서향,20250423,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.575902,126.909108
2521472697,일반상가,월세,1/2,90,"1,500",35,25,남서향,20250422,"['25년이상', '융자금없는', '1층', '총2층']",37.575596,126.912984
