articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524627569,일반상가,월세,1/8,126,"3,000",30,30,남향,20250509,"['25년이상', '역세권', '1층', '남향']",37.557208,126.949929
2524627572,일반상가,월세,3/8,280,"3,000",155,155,남향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.557208,126.949929
2524609944,단지내상가,매매,1/2,,17억,139,52,동향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.558267,126.955864
2524627586,일반상가,월세,5/5,130,"3,000",202,202,남향,20250509,"['25년이상', '역세권', '고층', '주차가능']",37.557456,126.951496
2524627596,일반상가,월세,2/4,150,"2,000",86,86,북향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.557706,126.953876
2524627355,복합상가,월세,B1/4,100,"1,000",48,48,남동향,20250509,"['25년이상', '지하층', '관리비10만원이하', '총4층']",37.563327,126.954608
2524386813,일반상가,월세,1/4,80,"2,000",33,33,남동향,20250508,"['25년이상', '1층', '총4층', '남동향']",37.564597,126.959053
2524403218,일반상가,월세,2/3,300,"4,000",134,107,남향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.557559,126.95512
2524440048,단지내상가,월세,1/2,160,"3,000",41,25,남향,20250508,"['2년이내', '1층', '주차가능', '총2층']",37.562218,126.950998
2524473680,단지내상가,월세,1/1,250,"3,000",139,75,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.558163,126.950052
2524323883,일반상가,월세,2/5,200,"3,000",115,99,북향,20250508,"['25년이내', '역세권', '중층', '관리비20만원이하']",37.557687,126.953089
2524591952,단지내상가,월세,1/1,130,"2,000",63,32,동향,20250508,"['10년이내', '융자금없는', '1층', '관리비20만원이하']",37.560221,126.952102
2524473206,단지내상가,매매,B1/1,,7억,139,75,남향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.558163,126.950052
2524592186,단지내상가,월세,1/1,140,"2,000",59,31,서향,20250508,"['10년이내', '1층', '주차가능', '서향']",37.560306,126.953497
2524408803,복합상가,월세,3/3,160,"2,000",67,67,남향,20250508,"['25년이상', '역세권', '고층', '총3층']",37.557559,126.95512
2524403911,복합상가,월세,2/3,210,"3,000",67,67,남향,20250508,"['25년이상', '역세권', '중층', '엘리베이터']",37.557559,126.95512
