articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524638768,일반상가,월세,B1/5,170,"2,000",106,106,북동향,20250509,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.568856,126.931711
2524642318,단지내상가,매매,2/3,,"3억 5,000",71,71,서향,20250509,"['25년이상', '중층', '주차가능', '총3층']",37.575427,126.936239
2524638800,일반상가,월세,3/5,280,"5,000",117,117,북동향,20250509,"['25년이상', '중층', '관리비20만원이하', '총5층']",37.568856,126.931711
2524659586,일반상가,월세,1/4,750,"1억 5,000",110,110,북서향,20250509,"['2년이내', '1층', '주차가능', '총4층']",37.566292,126.929367
2524646489,일반상가,월세,B1/3,200,"4,500",114,114,남서향,20250509,"['25년이상', '지하층', '총3층', '남서향']",37.564115,126.933208
2524633381,일반상가,월세,1/8,430,"6,000",102,102,북서향,20250509,"['10년이내', '1층', '주차가능', '북서향']",37.565704,126.928484
2524533878,일반상가,월세,1/5,280,"5,000",127,66,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.566734,126.922664
2524579040,일반상가,월세,1/3,130,"2,000",36,36,남서향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.569848,126.931384
2524546473,일반상가,월세,2/5,330,"5,000",146,146,북동향,20250508,"['25년이상', '중층', '관리비20만원이하', '주차가능']",37.568856,126.931711
2524361594,일반상가,월세,1/2,300,"3,000",90,90,남서향,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.567376,126.928881
2524370010,일반상가,월세,2/3,200,"2,500",70,70,남동향,20250508,"['25년이상', '중층', '주차가능', '총3층']",37.566145,126.928512
2524442319,일반상가,월세,2/2,120,"3,000",99,99,북서향,20250508,"['25년이상', '고층', '총2층', '현관보안']",37.565916,126.93041
2524390739,일반상가,월세,1/7,270,"3,000",147,121,서향,20250508,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.574064,126.935792
2524384787,일반상가,월세,B1/7,150,"2,000",188,152,북서향,20250508,"['25년이내', '지하층', '주차가능', '북서향']",37.567621,126.930765
