articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524247772,일반상가,월세,1/6,120,"2,500",54,45,남서향,20250507,"['25년이상', '1층', '주차가능', '남서향']",37.570117,126.960705
2523449078,일반상가,월세,2/6,150,"3,000",82,82,동향,20250502,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.570254,126.96005
2522779039,일반상가,월세,2/3,400,"5,000",106,106,북동향,20250429,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.571272,126.960948
2522775805,일반상가,월세,3/3,300,"5,000",106,106,북동향,20250428,"['25년이상', '역세권', '고층', '총3층']",37.571272,126.960948
2522432036,일반상가,월세,1/5,120,"2,000",45,45,남서향,20250426,"['25년이상', '1층', '총5층', '남서향']",37.570117,126.960705
2521408099,일반상가,월세,2/4,300,"5,000",94,94,동향,20250422,"['25년이상', '역세권', '중층', '총4층']",37.570977,126.961204
2521060766,일반상가,월세,2/4,180,"4,000",95,95,북동향,20250419,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.570225,126.961984
2519946394,일반상가,월세,1/3,200,"3,000",30,30,북동향,20250415,"['25년이상', '역세권', '1층', '총3층']",37.571132,126.961091
2519925947,일반상가,월세,3/3,95,"1,500",56,56,북동향,20250414,"['25년이상', '역세권', '고층', '총3층']",37.571198,126.960984
2519659761,일반상가,월세,2/3,400,"5,000",106,106,북동향,20250414,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.571167,126.960809
2519661373,일반상가,월세,3/3,300,"5,000",106,106,북동향,20250414,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.571167,126.960809
2519316632,일반상가,월세,2/3,210,"3,000",125,125,북동향,20250411,"['25년이상', '역세권', '중층', '총3층']",37.571198,126.960984
