articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524657711,일반상가,월세,1/4,420,1억,89,89,남향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.559059,126.936298
2524635797,일반상가,월세,1/4,630,"9,000",62,62,동향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.558336,126.936746
2524635733,일반상가,월세,1/5,600,"2억 7,000",96,96,동향,20250509,"['25년이상', '역세권', '1층', '총5층']",37.558051,126.936729
2524649366,일반상가,월세,7/11,500,"7,000",173,173,남동향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.556582,126.935435
2524611770,일반상가,월세,1/1,150,"3,000",26,26,북동향,20250509,"['25년이상', '역세권', '1층', '북동향']",37.556814,126.933554
2524612212,일반상가,월세,1/1,120,"2,000",19,19,북동향,20250509,"['25년이상', '역세권', '1층', '북동향']",37.556814,126.933554
2524651901,일반상가,월세,1/4,160,"2,500",36,36,북향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.558956,126.941041
2524603828,일반상가,월세,B1/5,350,"7,000",116,116,동향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.557986,126.936679
2524628120,일반상가,월세,B1/7,950,1억,385,330,북향,20250509,"['25년이내', '융자금적은', '역세권', '지하층']",37.558832,126.94028
2524610439,일반상가,월세,1/4,150,"2,000",29,29,서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.561411,126.927173
2524636280,일반상가,월세,1/4,430,"5,000",44,44,서향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.557779,126.935065
2524615863,일반상가,월세,3/4,280,"5,000",118,118,서향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.555753,126.936272
2524616505,일반상가,월세,1/1,"1,500",5억,80,80,남동향,20250509,"['25년이내', '역세권', '1층', '남동향']",37.557292,126.936584
2524669838,일반상가,월세,B1/5,100,"3,000",99,99,북향,20250509,"['25년이상', '역세권', '지하층', '총5층']",37.557215,126.935755
2524653874,일반상가,월세,1/2,800,"8,000",142,82,남향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.556279,126.939609
2524305586,일반상가,월세,2/4,400,"9,000",118,118,서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.555753,126.936272
2524435440,일반상가,월세,2/5,400,1억,76,76,동향,20250508,"['25년이상', '역세권', '중층', '총5층']",37.557986,126.936679
2524586433,일반상가,월세,1/12,300,"5,000",59,59,남동향,20250508,"['10년이내', '역세권', '1층', '남동향']",37.556646,126.933305
2524371936,일반상가,월세,3/3,200,"3,000",142,137,남동향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.556037,126.938962
2524477930,일반상가,월세,1/4,110,"2,000",61,39,동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.557894,126.933081
2524441307,일반상가,월세,2/5,230,"3,000",100,99,북동향,20250508,"['4년이내', '중층', '관리비10만원이하', '주차가능']",37.558293,126.93415
2524480088,일반상가,월세,1/4,200,"2,000",73,46,남향,20250508,"['15년이내', '테라스', '역세권', '1층']",37.558634,126.936013
2524480908,일반상가,월세,1/4,120,"3,000",16,14,동향,20250508,"['25년이상', '1층', '총4층', '현관보안']",37.559059,126.934397
2524516658,일반상가,월세,1/4,320,"5,000",42,42,북서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.555921,126.937784
2524542793,일반상가,월세,1/4,125,"2,000",53,52,북동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.557305,126.932311
2524424907,일반상가,월세,2/5,180,"2,000",44,29,북향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.558953,126.938736
2524479673,일반상가,월세,B1/4,180,"4,000",174,148,서향,20250508,"['25년이상', '역세권', '지하층', '총4층']",37.55787,126.936452
2524431035,일반상가,월세,1/4,630,"9,000",117,62,동향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.558336,126.936746
2524541136,일반상가,월세,4/15,"1,200",3억,452,452,서향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.556671,126.93712
2524412156,일반상가,월세,2/4,100,"2,000",49,49,남향,20250508,"['25년이상', '역세권', '중층', '총4층']",37.557779,126.935065
2524431798,복합상가,월세,2/20,550,"5,496",197,121,남향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.55672,126.933225
2524597425,일반상가,월세,B1/2,210,"3,000",71,52,서향,20250508,"['25년이상', '역세권', '지하층', '총2층']",37.558272,126.936064
2524500290,일반상가,월세,2/4,450,"5,000",138,138,남향,20250508,"['25년이상', '역세권', '중층', '총4층']",37.55847,126.928308
2524499033,일반상가,월세,1/4,300,"5,000",34,34,남향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.55847,126.928308
2524500166,일반상가,월세,3/4,400,"5,000",138,138,남향,20250508,"['25년이상', '역세권', '고층', '총4층']",37.55847,126.928308
2524540258,일반상가,월세,B1/5,250,"3,000",207,207,남향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.559276,126.940103
2524533638,일반상가,월세,1/4,260,"5,000",52,52,북서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.558044,126.93507
2524402248,일반상가,월세,1/8,"1,950","1억 9,500",347,119,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.55634,126.934806
