articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524635831,일반상가,월세,1/6,120,"1,000",52,40,서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.563506,126.962675
2524450114,일반상가,월세,1/2,157,"4,000",60,46,남서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.565589,126.965264
2524447243,일반상가,월세,2/2,90,"2,500",33,33,남향,20250508,"['25년이상', '역세권', '고층', '천장에어컨']",37.56505,126.965692
2524375684,일반상가,월세,1/3,152,"1,600",20,19,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.56505,126.965692
2524440296,일반상가,월세,1/2,160,"4,750",29,29,남향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.56505,126.965692
2524296662,일반상가,월세,B1/5,200,"2,000",115,115,서향,20250507,"['25년이상', '융자금없는', '역세권', '지하층']",37.565973,126.965587
2524143172,일반상가,월세,B1/5,150,"3,000",161,161,서향,20250507,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.565598,126.965042
2524277197,일반상가,월세,1/2,300,"4,000",93,93,남동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.565737,126.96584
2523829922,일반상가,월세,B1/5,150,"3,000",172,161,서향,20250507,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.565598,126.965042
2523567811,일반상가,월세,4/7,700,1억,411,392,서향,20250502,"['25년이상', '역세권', '중층', '주차가능']",37.565948,126.964804
2523286232,일반상가,월세,B1/4,150,"3,000",59,59,남향,20250502,"['25년이상', '융자금없는', '역세권', '지하층']",37.564544,126.964111
2523149991,일반상가,월세,1/5,157,"4,000",153,46,북서향,20250430,"['25년이상', '역세권', '1층', '총5층']",37.565589,126.965264
2522777623,일반상가,월세,1/1,200,"3,000",36,36,동향,20250429,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.564605,126.965259
2522764933,일반상가,월세,7/7,300,"5,000",155,135,북서향,20250428,"['25년이상', '융자금없는', '역세권', '고층']",37.565948,126.964804
2522596559,일반상가,월세,B1/15,85,"1,500",50,50,북동향,20250428,"['25년이상', '역세권', '지하층', '주차가능']",37.566397,126.965518
2521859199,일반상가,월세,1/4,220,"3,000",70,40,남서향,20250424,"['10년이내', '융자금없는', '역세권', '1층']",37.565892,126.964385
2521855884,복합상가,월세,1/7,150,"3,500",94,66,동향,20250424,"['25년이상', '역세권', '1층', '동향']",37.564368,126.963353
2521536090,일반상가,월세,1/2,209,"2,000",68,68,북서향,20250422,"['25년이상', '융자금없는', '역세권', '1층']",37.565512,126.965656
2521297115,일반상가,월세,B1/20,85,"1,500",49,49,남향,20250421,"['25년이상', '역세권', '지하층', '주차가능']",37.566397,126.965518
2520000510,일반상가,월세,1/3,200,"3,000",43,43,남동향,20250415,"['25년이상', '융자금없는', '역세권', '1층']",37.565737,126.96584
2520102883,일반상가,월세,2/4,60,"1,000",23,23,남동향,20250415,"['25년이상', '역세권', '중층', '총4층']",37.565589,126.965264
2520002690,일반상가,월세,1/2,150,"2,500",33,33,남동향,20250415,"['25년이상', '융자금없는', '역세권', '1층']",37.56505,126.965692
2519658924,일반상가,월세,B1/3,150,"2,000",95,85,남향,20250414,"['25년이상', '역세권', '지하층', '총3층']",37.566244,126.964151
2519336744,일반상가,월세,2/2,35,300,33,33,남향,20250411,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.564495,126.964346
