articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524353905,일반상가,월세,1/3,80,"1,000",49,49,남향,20250508,"['25년이내', '융자금없는', '1층', '총3층']",37.594998,126.946397
2524499541,일반상가,월세,1/3,480,"5,000",178,178,남동향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.580959,126.92577
2524442285,일반상가,월세,1/4,110,"1,000",54,54,남동향,20250508,"['10년이내', '1층', '주차가능', '총4층']",37.580105,126.925915
2524399517,일반상가,월세,1/5,300,"1억 5,000",192,192,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.580523,126.928297
2524430405,일반상가,월세,1/4,160,"2,000",83,83,남서향,20250508,"['25년이상', '융자금없는', '1층', '총4층']",37.579966,126.925244
2524482764,일반상가,월세,1/3,200,"3,500",115,115,북서향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.58113,126.926457
2524602772,일반상가,월세,1/5,300,"1억 5,000",198,192,남향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.580523,126.928297
2524309957,일반상가,월세,1/4,120,"1,000",80,80,남동향,20250508,"['25년이내', '융자금없는', '1층', '주차가능']",37.580846,126.92652
2524424018,일반상가,월세,1/5,150,"3,000",63,63,남서향,20250508,"['10년이내', '1층', '주차가능', '총5층']",37.57919,126.925566
2524447214,일반상가,월세,1/3,130,"2,000",39,33,남향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.583008,126.92571
2524443839,일반상가,월세,1/2,105,"2,000",31,31,북서향,20250508,"['25년이상', '1층', '총2층', '북서향']",37.580493,126.925548
2524476433,일반상가,월세,1/3,80,"2,000",23,23,남서향,20250508,"['25년이상', '융자금없는', '1층', '총3층']",37.579666,126.925587
2524452928,일반상가,월세,1/3,200,"2,000",98,79,서향,20250508,"['25년이상', '1층', '총3층', '서향']",37.581659,126.925246
2524340558,일반상가,월세,3/5,170,"2,000",72,66,서향,20250508,"['10년이내', '중층', '주차가능', '천장에어컨']",37.581231,126.926121
2524269395,일반상가,월세,1/4,220,"3,000",56,56,남동향,20250507,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.581098,126.925883
2524020215,일반상가,월세,1/2,100,"2,000",39,39,남서향,20250507,"['25년이상', '융자금없는', '1층', '총2층']",37.594758,126.946273
2523836006,일반상가,월세,4/5,130,"3,000",121,121,서향,20250507,"['25년이상', '융자금없는', '고층', '총5층']",37.594543,126.946144
2524125669,일반상가,월세,2/5,137,"2,000",154,154,남동향,20250507,"['15년이내', '중층', '주차가능', '총5층']",37.58098,126.92547
2524147350,단지내상가,매매,1/2,,"5억 2,000",70,37,동향,20250507,"['10년이내', '1층', '관리비20만원이하', '총2층']",37.59803,126.94545
2524217519,일반상가,월세,1/5,130,"2,000",49,49,남동향,20250507,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.581343,126.927501
2524039734,단지내상가,월세,4/6,150,"2,000",136,136,남서향,20250507,"['25년이내', '중층', '관리비20만원이하', '주차가능']",37.581574,126.9272
2523859242,단지내상가,월세,1/3,50,500,81,57,남동향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.602631,126.95087
2524253705,일반상가,월세,1/4,90,"1,500",26,26,남동향,20250507,"['25년이상', '1층', '총4층', '남동향']",37.599407,126.948651
2524103015,일반상가,월세,1/3,80,"1,000",49,49,남향,20250507,"['25년이상', '융자금없는', '1층', '주차가능']",37.581174,126.934812
2523993605,일반상가,월세,1/5,70,"1,000",19,17,북서향,20250506,"['10년이내', '1층', '관리비10만원이하', '총5층']",37.581802,126.925241
2524003002,일반상가,월세,1/2,60,"1,000",40,35,남서향,20250506,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.584633,126.923253
2523853656,단지내상가,매매,2/3,,"1억 7,000",80,58,남동향,20250505,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.602631,126.95087
2523860305,일반상가,월세,1/3,30,500,23,23,서향,20250505,"['25년이상', '1층', '총3층', '서향']",37.602806,126.950308
2523863130,일반상가,월세,1/3,50,"1,000",26,26,남향,20250505,"['25년이상', '융자금없는', '1층', '총3층']",37.598971,126.947883
2523860045,일반상가,월세,B1/3,35,500,73,73,동향,20250505,"['25년이상', '융자금없는', '지하층', '총3층']",37.598709,126.949269
2523855350,단지내상가,매매,B1/3,,"6,000",48,34,남동향,20250505,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.602631,126.95087
2523851859,단지내상가,매매,B1/3,,"3,500",24,17,남동향,20250505,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.602631,126.95087
2523854335,단지내상가,매매,1/3,,"1억 4,500",58,40,남동향,20250505,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.602631,126.95087
2523855029,단지내상가,매매,1/3,,"4억 5,000",256,180,남동향,20250505,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.602631,126.95087
2523738366,일반상가,월세,5/6,100,"2,000",217,115,남서향,20250503,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.580625,126.928197
2523739446,일반상가,월세,5/5,150,"3,000",149,149,남서향,20250503,"['25년이상', '고층', '관리비20만원이하', '주차가능']",37.580726,126.928098
2523801225,일반상가,월세,1/3,50,500,15,15,동향,20250503,"['25년이상', '1층', '총3층', '동향']",37.599459,126.949208
2523718879,일반상가,월세,2/2,100,"2,000",39,39,남동향,20250503,"['25년이상', '고층', '총2층', '남동향']",37.5935,126.944577
2523744152,일반상가,월세,B1/3,40,500,63,63,동향,20250503,"['25년이상', '융자금없는', '지하층', '총3층']",37.599459,126.949208
2523343060,일반상가,월세,1/3,80,"1,000",35,35,남동향,20250502,"['25년이상', '1층', '총3층', '남동향']",37.601127,126.948952
2523323686,일반상가,월세,1/3,110,"1,500",26,26,서향,20250502,"['25년이상', '1층', '총3층', '서향']",37.580557,126.925157
2523479621,단지내상가,월세,B2/17,110,"1,600",72,37,남서향,20250502,"['15년이내', '지하층', '관리비20만원이하', '주차가능']",37.595187,126.940758
2523361067,단지내상가,월세,1/2,90,"1,000",40,24,북향,20250502,"['25년이상', '융자금없는', '1층', '주차가능']",37.597513,126.94467
2523495606,일반상가,월세,3/4,150,"3,000",132,132,남서향,20250502,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.582867,126.925912
2523577022,일반상가,월세,1/2,100,"1,000",33,33,남동향,20250502,"['25년이상', '1층', '관리비10만원이하', '총2층']",37.581323,126.926255
2523478567,단지내상가,월세,B2/16,300,"3,500",122,63,남서향,20250502,"['15년이내', '지하층', '주차가능', '천장에어컨']",37.595187,126.940758
2523479098,단지내상가,월세,B2/16,110,"1,575",53,27,남서향,20250502,"['15년이내', '지하층', '관리비20만원이하', '주차가능']",37.595187,126.940758
2523480026,단지내상가,월세,B2/16,90,"1,100",46,24,남서향,20250502,"['15년이내', '지하층', '관리비20만원이하', '주차가능']",37.595187,126.940758
2523303945,일반상가,월세,1/2,70,"1,000",26,26,북서향,20250502,"['25년이상', '1층', '총2층', '북서향']",37.580553,126.925727
2523343608,일반상가,월세,1/5,100,"3,000",33,33,서향,20250502,"['25년이상', '1층', '주차가능', '총5층']",37.580828,126.925122
2523513130,일반상가,월세,1/5,130,"3,000",39,39,동향,20250502,"['25년이내', '융자금없는', '1층', '주차가능']",37.595526,126.946643
2523421451,단지내상가,월세,1/1,150,"2,000",88,50,북동향,20250502,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.594627,126.939945
2523421145,단지내상가,월세,1/1,150,"2,000",91,52,북동향,20250502,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.594627,126.939945
2523343360,일반상가,월세,1/14,250,"3,000",265,174,북동향,20250502,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.579032,126.928961
2523256391,일반상가,월세,1/3,100,"3,000",36,36,남서향,20250502,"['25년이상', '융자금없는', '1층', '총3층']",37.593952,126.945806
2523429256,일반상가,월세,1/3,50,500,29,29,,20250502,"['25년이상', '융자금없는', '1층', '총3층']",37.592537,126.943499
