articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524604657,일반상가,월세,1/2,150,"3,000",46,46,북향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.591875,126.945765
2524621074,일반상가,월세,1/5,175,"3,000",60,60,동향,20250509,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.591174,126.945107
2524618272,단지내상가,월세,2/3,80,"1,000",33,33,남향,20250509,"['25년이내', '중층', '주차가능', '총3층']",37.587668,126.9496
2524626082,일반상가,월세,6/10,410,"1억 1,000",250,179,북동향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.588708,126.943941
2524646560,일반상가,월세,1/5,150,"2,000",64,64,서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.591404,126.94716
2524612482,일반상가,월세,B1/4,250,"3,000",78,78,남서향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.588947,126.945247
2524626092,일반상가,월세,4/13,"1,261",2억,273,273,남서향,20250509,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.588534,126.944935
2524626042,일반상가,월세,6/9,500,1억,277,132,북동향,20250509,"['25년이내', '역세권', '중층', '주차가능']",37.587596,126.945097
2524626047,일반상가,월세,9/9,"1,000",2억,277,264,북동향,20250509,"['25년이내', '역세권', '고층', '주차가능']",37.587596,126.945097
2524626087,일반상가,월세,11/13,700,"1억 5,000",253,253,남서향,20250509,"['15년이내', '역세권', '고층', '주차가능']",37.588534,126.944935
2524626025,일반상가,월세,1/7,"1,000",2억,112,112,북서향,20250509,"['4년이내', '역세권', '1층', '주차가능']",37.588318,126.945516
2524456301,일반상가,월세,3/4,100,"2,500",115,100,북서향,20250508,"['25년이상', '융자금없는', '고층', '주차가능']",37.593942,126.948208
2524570180,단지내상가,월세,1/2,50,"1,000",32,21,남향,20250508,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.587668,126.9496
2524544569,단지내상가,매매,1/2,,"7억 3,000",99,50,북동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.589719,126.947474
2524398030,일반상가,월세,1/3,150,"1,500",72,72,북동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.585805,126.947074
2524511429,일반상가,월세,9/10,300,1억,191,137,북동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.588708,126.943941
2524535235,일반상가,월세,1/7,35,300,30,30,남서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.583456,126.951857
2524391330,일반상가,월세,2/3,220,"2,000",93,88,,20250508,"['25년이상', '역세권', '중층', '총3층']",37.585973,126.946771
2524584897,일반상가,월세,3/5,185,"7,000",197,197,북서향,20250508,"['25년이상', '중층', '주차가능', '총5층']",37.593375,126.947996
2524318679,단지내상가,월세,2/18,110,"3,000",74,34,동향,20250508,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.581261,126.950606
2524453097,일반상가,월세,7/13,"1,820",3억,506,506,남서향,20250508,"['15년이내', '역세권', '중층', '주차가능']",37.588534,126.944935
2524461823,일반상가,월세,1/5,145,"2,000",50,50,남동향,20250508,"['25년이상', '융자금적은', '1층', '총5층']",37.592772,126.946883
2524621681,일반상가,월세,1/3,170,"5,000",45,40,남서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.586222,126.947321
2524556862,단지내상가,월세,1/2,220,"3,000",38,38,서향,20250508,"['4년이내', '융자금없는', '역세권', '1층']",37.589719,126.947474
2524547631,일반상가,월세,2/7,"1,000",2억,217,217,북서향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.588318,126.945516
2524347666,일반상가,월세,1/4,140,"2,000",56,28,,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.581619,126.951002
2524571840,일반상가,월세,1/3,120,"1,000",25,21,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.584049,126.948843
2524592600,일반상가,월세,1/3,550,"1억 5,000",80,80,남서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.587965,126.945592
2524331049,일반상가,월세,1/4,"1,500",3억,33,33,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.588367,126.945092
2524318786,일반상가,월세,2/3,230,"4,000",163,163,동향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.583527,126.949311
2524425877,일반상가,월세,1/5,300,"6,000",113,113,남동향,20250508,"['15년이내', '1층', '주차가능', '총5층']",37.596196,126.948832
2524330799,일반상가,월세,2/6,150,"2,000",38,38,남향,20250508,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.583762,126.949172
2524226094,단지내상가,월세,2/2,100,"2,000",13,13,남향,20250507,"['25년이내', '융자금없는', '고층', '주차가능']",37.587668,126.9496
2524168674,일반상가,월세,3/5,250,"2,000",86,86,남동향,20250507,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.588124,126.94556
2524084455,일반상가,월세,2/6,300,"4,000",174,174,남향,20250507,"['10년이내', '역세권', '지상층(1층제외)', '엘리베이터']",37.586839,126.94743
2524227119,일반상가,월세,1/2,60,"1,200",24,24,동향,20250507,"['25년이상', '융자금없는', '1층', '총2층']",37.596802,126.948862
2524092468,일반상가,월세,1/2,200,"2,000",104,104,남동향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.58748,126.947015
2524104192,일반상가,매매,2/2,,7억,142,142,남서향,20250507,"['25년이상', '고층', '총2층', '남서향']",37.592396,126.947101
2523936788,복합상가,월세,B4/15,200,"3,000",30,30,동향,20250507,"['25년이내', '융자금없는', '역세권', '지하층']",37.585229,126.947367
2524113783,일반상가,월세,1/7,"1,367",5억,950,402,북동향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.586189,126.946408
2523853306,일반상가,월세,1/2,100,"2,000",26,26,동향,20250507,"['25년이상', '융자금없는', '1층', '총2층']",37.592429,126.946299
2524275889,단지내상가,월세,1/17,280,"5,000",133,61,동향,20250507,"['4년이내', '융자금없는', '테라스', '역세권']",37.580817,126.951107
2523935304,복합상가,월세,B4/15,140,"3,000",21,21,동향,20250507,"['25년이내', '융자금없는', '역세권', '지하층']",37.585229,126.947367
2524242602,일반상가,월세,1/7,"1,733",5억,950,396,북동향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.586189,126.946408
2524225193,일반상가,월세,10/13,"1,500",3억,253,201,서향,20250507,"['15년이내', '역세권', '고층', '주차가능']",37.588534,126.944935
2524250102,일반상가,월세,1/7,"3,500",10억,950,950,동향,20250507,"['25년이내', '융자금적은', '역세권', '1층']",37.586189,126.946408
2524007753,일반상가,월세,2/4,95,"2,000",104,100,남동향,20250507,"['25년이상', '중층', '주차가능', '총4층']",37.583686,126.93851
2524282621,일반상가,월세,2/6,570,"8,000",358,358,남향,20250507,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.586839,126.94743
2524161132,일반상가,월세,5/5,60,"2,000",52,52,남동향,20250507,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.588124,126.94556
2524274327,단지내상가,월세,1/2,220,"3,000",75,38,북서향,20250507,"['4년이내', '1층', '관리비20만원이하', '총2층']",37.590033,126.94857
2524199951,일반상가,월세,3/3,"2,100","1억 4,000",311,311,남서향,20250507,"['15년이내', '융자금없는', '마당', '역세권']",37.585571,126.944221
2523935007,복합상가,월세,B4/15,240,"5,000",72,72,동향,20250507,"['25년이내', '융자금없는', '역세권', '지하층']",37.585229,126.947367
2524002015,단지내상가,매매,2/2,,"8,000",22,13,남향,20250507,"['25년이내', '고층', '총2층', '남향']",37.587668,126.9496
2524225089,일반상가,월세,11/13,700,"1억 5,000",253,201,서향,20250507,"['15년이내', '역세권', '고층', '주차가능']",37.588534,126.944935
2523977656,단지내상가,월세,2/2,230,"3,000",128,65,북서향,20250507,"['2년이내', '융자금없는', '역세권', '고층']",37.589719,126.947474
2523823916,일반상가,월세,5/7,361,"5,700",167,132,동향,20250507,"['25년이내', '융자금없는', '역세권', '고층']",37.586189,126.946408
2524019572,단지내상가,매매,2/2,,"5억 4,000",84,42,북서향,20250507,"['4년이내', '역세권', '고층', '관리비20만원이하']",37.589719,126.947474
2524058251,일반상가,월세,1/3,100,"1,500",33,33,남동향,20250507,"['25년이상', '융자금없는', '1층', '총3층']",37.592581,126.946569
2523931922,단지내상가,월세,1/16,350,1억,139,64,동향,20250507,"['4년이내', '융자금없는', '역세권', '1층']",37.580955,126.950267
