articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524543369,단지내상가,월세,1/2,250,"3,000",50,50,남향,20250508,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.452313,127.063741
2523276469,단지내상가,매매,1/2,,10억,62,45,북향,20250501,"['15년이내', '1층', '주차가능', '총2층']",37.452313,127.063741
2523206011,일반상가,월세,1/2,"1,000",2억,344,232,남동향,20250430,"['25년이내', '테라스', '마당', '1층']",37.455464,127.067117
2521462045,일반상가,월세,1/1,300,2억,65,65,남향,20250422,"['15년이내', '1층', '주차가능', '남향']",37.465213,127.087651
2521001079,일반상가,매매,6/7,,4억,85,60,동향,20250419,"['15년이내', '고층', '관리비10만원이하', '주차가능']",37.456704,127.059913
2521000750,일반상가,매매,B1/7,,"3억 6,000",88,58,남동향,20250419,"['15년이내', '지하층', '관리비10만원이하', '주차가능']",37.456704,127.059913
2520944872,일반상가,월세,1/1,300,2억,82,80,남향,20250419,"['25년이내', '융자금없는', '1층', '주차가능']",37.465213,127.087651
2520837558,일반상가,월세,1/1,200,2억,148,65,남향,20250418,"['25년이내', '1층', '주차가능', '남향']",37.465213,127.087651
2519976302,일반상가,매매,3/7,,"5억 8,000",99,70,동향,20250415,"['10년이내', '중층', '주차가능', '엘리베이터']",37.456704,127.059913
2519671607,일반상가,월세,1/7,180,"2,000",73,49,남향,20250414,"['15년이내', '1층', '주차가능', '남향']",37.456704,127.059913
2518937728,일반상가,월세,1/1,"1,500",10억,247,240,남향,20250410,"['25년이내', '1층', '주차가능', '남향']",37.465213,127.087651
