articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524672300,일반상가,월세,B1/5,470,"8,000",194,194,남향,20250509,"['15년이내', '융자금없는', '지하층', '관리비20만원이하']",37.49814,127.002019
2524617169,일반상가,매매,1/5,,"4억 4,000",31,9,남동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.501759,126.987134
2524617267,단지내상가,월세,B1/5,530,"7,000",111,45,남향,20250509,"['2년이내', '융자금없는', '역세권', '지하층']",37.504933,126.999509
2524322937,일반상가,월세,1/5,230,"2,000",50,37,북향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.51025,127.019282
2524634210,단지내상가,월세,3/8,50,500,25,8,서향,20250509,"['25년이내', '융자금없는', '역세권', '중층']",37.504888,127.002109
2524672861,일반상가,월세,2/7,550,1억,196,196,서향,20250509,"['10년이내', '지상층(1층제외)', '주차가능', '서향']",37.499222,126.997811
2524672258,일반상가,월세,6/6,180,"5,000",95,95,동향,20250509,"['25년이내', '고층', '주차가능', '동향']",37.499019,126.997555
2524576681,단지내상가,매매,5/5,,17억,122,54,남향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.504933,126.999509
2524406502,일반상가,월세,B1/5,260,"3,000",140,135,북서향,20250508,"['10년이내', '융자금적은', '역세권', '지하층']",37.505315,127.022973
2524577215,단지내상가,매매,1/5,,16억,49,22,북향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.504933,126.999509
2524486487,일반상가,월세,B1/5,540,"6,000",362,191,북동향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.505603,127.022841
2524407680,일반상가,월세,1/5,520,"5,000",122,94,서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.505581,127.02244
2524394587,단지내상가,월세,1/9,"6,000",10억,673,623,동향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.508232,127.022182
2524432360,일반상가,월세,1/4,"2,700",3억,297,297,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.506576,127.023065
2524415349,일반상가,월세,B1/6,350,"7,000",220,220,북향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.510112,127.020276
2524367299,일반상가,월세,B1/4,180,"5,000",137,137,서향,20250508,"['25년이내', '지하층', '관리비20만원이하', '주차가능']",37.498944,126.997903
2524431117,복합상가,월세,B1/3,110,"1,500",67,67,동향,20250508,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.507185,127.021338
2524416116,일반상가,월세,1/3,220,"5,000",45,42,동향,20250508,"['25년이상', '테라스', '1층', '관리비20만원이하']",37.498137,126.997574
2524472571,일반상가,월세,1/4,500,"4,000",165,165,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.505008,127.022648
2524455376,일반상가,월세,4/6,520,"7,000",148,148,남동향,20250508,"['2년이내', '중층', '주차가능', '남동향']",37.502186,127.010403
2524501966,일반상가,월세,8/16,"6,727","6억 7,274",915,772,동향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.509364,127.021733
2524522053,일반상가,월세,1/4,200,"2,500",49,49,서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.503805,127.021221
2524517936,일반상가,월세,3/4,"3,000",3억,1088,991,남동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.506576,127.023065
2524535932,단지내상가,매매,B1/2,,"9억 5,000",32,19,남서향,20250508,"['25년이상', '지하층', '주차가능', '총2층']",37.501352,127.008797
2524517757,일반상가,월세,3/3,200,"2,000",62,43,동향,20250508,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.508027,127.022339
2524522825,복합상가,월세,1/5,360,"8,000",50,22,동향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.504933,126.999509
2524519719,일반상가,월세,1/3,150,"1,500",33,33,북서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.506237,127.022537
2524529158,복합상가,월세,B1/5,250,"5,000",138,132,동향,20250508,"['25년이상', '지하층', '주차가능', '엘리베이터']",37.498782,126.998168
2524533972,일반상가,월세,3/6,600,"8,000",178,171,서향,20250508,"['25년이내', '중층', '주차가능', '서향']",37.495634,126.998259
2524493944,단지내상가,월세,2/5,500,"5,000",90,40,,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.504933,126.999509
2524537653,단지내상가,매매,1/2,,11억,19,11,남서향,20250508,"['25년이상', '1층', '주차가능', '총2층']",37.501352,127.008797
2524517224,일반상가,월세,3/4,"1,500","1억 5,000",544,495,남동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.506576,127.023065
2524499168,일반상가,월세,1/9,"6,000",10억,703,623,동향,20250508,"['4년이내', '융자금없는', '역세권', '1층']",37.508232,127.022182
2524556222,단지내상가,월세,1/5,400,1억,48,21,북향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.504933,126.999509
2524588661,단지내상가,월세,B1/5,600,1억,120,48,남향,20250508,"['2년이내', '융자금없는', '역세권', '지하층']",37.504933,126.999509
2524551420,일반상가,월세,B1/5,250,"5,000",131,131,동향,20250508,"['25년이상', '융자금적은', '지하층', '주차가능']",37.498782,126.998168
2524546448,일반상가,매매,B1/6,,"13억 5,000",199,153,동향,20250508,"['10년이내', '지하층', '관리비20만원이하', '주차가능']",37.499969,126.999703
2524588689,복합상가,월세,1/5,180,"3,000",33,33,남향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.504825,127.020714
2524596163,단지내상가,월세,1/2,100,"1,000",26,15,동향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.501598,127.013255
2524551960,일반상가,월세,전체층/3,"1,100","1억 5,000",344,330,서향,20250508,"['25년이상', '주차가능', '총3층', '서향']",37.502662,127.010329
2524598226,단지내상가,월세,B1/5,400,1억,86,35,서향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.504933,126.999509
2524556931,일반상가,매매,1/3,,"16억 2,000",39,24,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.505426,126.994565
2524569065,일반상가,월세,B1/6,25,500,28,8,북향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.502114,126.986955
2524551864,일반상가,월세,1/3,"1,000",2억,153,153,서향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.502662,127.010329
2524555375,일반상가,매매,3/3,,"11억 5,000",69,46,남향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.505426,126.994565
2524554774,단지내상가,매매,1/5,,25억,64,28,남향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.504933,126.999509
2524562252,일반상가,월세,1/3,93,"1,000",37,33,남향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.504722,127.020229
2524500437,일반상가,월세,5/15,620,"8,000",134,132,남향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.508945,127.021931
2524539527,단지내상가,매매,1/2,,16억,15,15,남서향,20250508,"['25년이상', '1층', '주차가능', '총2층']",37.501352,127.008797
2524548344,일반상가,월세,B1/4,110,"1,000",62,62,남동향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.508043,127.021776
2524491284,일반상가,매매,1/6,,"5억 5,000",35,9,북서향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.502114,126.986955
2524501727,일반상가,월세,9/16,"3,343","3억 3,437",455,383,동향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.509236,127.021288
2524500668,일반상가,매매,2/5,,37억,364,192,북향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.502427,127.011917
2524346052,일반상가,월세,3/6,500,"6,000",93,93,동향,20250508,"['25년이내', '중층', '동향']",37.498863,126.997488
2524429805,복합상가,월세,1/3,170,"2,000",85,85,남서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.505901,127.022224
2524311645,일반상가,월세,1/4,182,"2,000",49,46,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.504826,127.023218
2524358433,일반상가,월세,전체층/5,550,1억,129,57,남서향,20250508,"['2년이내', '역세권', '관리비20만원이하', '주차가능']",37.504933,126.999509
2524312860,일반상가,월세,B1/5,250,"3,000",144,138,서향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.505651,127.021292
2524394144,단지내상가,월세,1/5,127,"2,000",10,10,남향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.506677,127.013964
2524362528,일반상가,월세,1/5,160,"2,000",102,26,남향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.505954,127.021918
2524432908,일반상가,월세,1/5,95,"2,000",40,20,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.508946,127.019263
2524432964,일반상가,월세,1/3,150,"1,000",29,29,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.506237,127.022537
2524500728,일반상가,월세,10/15,600,"8,000",134,132,남향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.508945,127.021931
2524488700,일반상가,월세,1/5,250,"3,000",83,83,북동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.505315,127.022973
