articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524667175,일반상가,월세,B1/6,400,"5,000",254,254,남향,20250509,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.482487,126.996266
2524650280,일반상가,월세,1/5,450,"6,000",183,149,남서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.480606,126.984174
2524603957,일반상가,월세,2/2,180,"2,000",57,49,북향,20250509,"['25년이상', '역세권', '고층', '총2층']",37.485483,126.984715
2524668242,일반상가,월세,1/3,200,"2,000",66,66,남향,20250509,"['25년이상', '1층', '주차가능', '총3층']",37.47695,126.987191
2524674237,일반상가,월세,1/5,230,"3,000",93,75,남동향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.481721,126.985364
2524665566,일반상가,월세,B1/4,150,"3,000",76,54,남동향,20250509,"['2년이내', '역세권', '지하층', '관리비20만원이하']",37.481319,126.994435
2524675387,일반상가,월세,1/3,110,"2,000",50,33,남향,20250509,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.492205,126.987449
2524648845,일반상가,월세,B1/4,100,"3,000",52,50,남향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.481942,126.983246
2524610405,단지내상가,월세,4/6,420,1억,201,201,서향,20250509,"['25년이상', '역세권', '중층', '엘리베이터']",37.482656,126.982305
2524628509,일반상가,월세,1/3,115,"1,000",32,32,남향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.489618,126.983175
2524623919,일반상가,월세,1/3,140,"1,000",33,33,남동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.482649,126.994662
2524604640,일반상가,월세,2/13,630,1억,148,148,북향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.48537,126.984227
2524653693,일반상가,월세,1/3,260,"6,000",39,39,서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.483586,126.996565
