articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524326228,일반상가,매매,2/5,,"3억 7,000",65,32,남동향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.447942,127.055784
2524516912,단지내상가,매매,1/1,,"8억 9,000",92,81,북동향,20250508,"['15년이내', '1층', '주차가능', '화재경보기']",37.454788,127.058939
2524540237,일반상가,월세,1/3,200,"2,000",55,46,남서향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.446274,127.057327
2524468523,단지내상가,매매,B1/9,,7억,82,69,남서향,20250508,"['15년이내', '지하층', '관리비10만원이하', '주차가능']",37.456116,127.057266
2524280634,단지내상가,월세,1/1,230,"3,000",58,51,북동향,20250507,"['15년이내', '융자금없는', '1층', '관리비10만원이하']",37.454788,127.058939
2524249016,단지내상가,매매,1/1,,4억,53,46,남동향,20250507,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.454788,127.058939
2524123286,복합상가,월세,1/3,150,"2,000",38,36,남서향,20250507,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.446274,127.057327
2523912566,복합상가,매매,1/5,,"7억 2,000",100,50,남향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.447942,127.055784
2523991638,단지내상가,매매,1/5,,6억,72,30,남향,20250506,"['10년이내', '1층', '주차가능', '총5층']",37.457041,127.058666
2523955376,일반상가,월세,1/3,180,"2,000",43,43,남서향,20250506,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.446274,127.057327
2523898948,일반상가,월세,1/5,400,"6,000",140,80,북서향,20250505,"['10년이내', '역세권', '1층', '주차가능']",37.448318,127.055413
2523789774,단지내상가,매매,1/1,,7억,69,69,,20250503,"['15년이내', '1층', '주차가능']",37.456116,127.057266
2523790329,일반상가,매매,2/5,,"7억 8,000",97,97,남동향,20250503,"['15년이내', '역세권', '중층', '주차가능']",37.447942,127.055784
2523260987,일반상가,월세,1/2,800,1억,277,247,남향,20250502,"['25년이내', '역세권', '1층', '주차가능']",37.444754,127.057992
2523273378,일반상가,월세,1/5,220,"3,000",79,42,북서향,20250502,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.448318,127.055413
2523261542,일반상가,월세,1/5,180,"3,000",71,38,남향,20250502,"['10년이내', '역세권', '1층', '주차가능']",37.44734,127.056298
2523261154,일반상가,월세,1/3,181,"2,000",77,72,남향,20250502,"['10년이내', '역세권', '1층', '주차가능']",37.446274,127.057327
2523333035,일반상가,월세,1/3,250,"3,000",72,72,,20250502,"['10년이내', '융자금없는', '역세권', '1층']",37.446274,127.057327
2522943093,일반상가,월세,1/2,280,"5,000",110,110,남서향,20250429,"['4년이내', '마당', '1층', '관리비10만원이하']",37.45489,127.053052
2522697029,일반상가,월세,2/2,500,"7,000",179,179,서향,20250428,"['25년이내', '역세권', '고층', '주차가능']",37.444754,127.057992
2522498550,단지내상가,매매,1/1,,"8억 9,000",82,81,북동향,20250428,"['15년이내', '1층', '주차가능', '북동향']",37.454788,127.058939
2522263919,일반상가,월세,B1/2,400,1억,102,102,,20250425,"['2년이내', '융자금적은', '역세권', '지하층']",37.4482,127.058699
2521720385,단지내상가,매매,1/2,,"7억 2,000",88,67,동향,20250423,"['15년이내', '1층', '급매', '주차가능']",37.451711,127.057117
2521513149,일반상가,매매,1/5,,"6억 2,000",44,44,남동향,20250422,"['10년이내', '역세권', '1층', '급매']",37.447942,127.055784
2521169174,단지내상가,매매,B1/1,,"6억 1,000",104,85,남서향,20250421,"['15년이내', '지하층', '주차가능', '남서향']",37.456116,127.057266
2521228430,일반상가,매매,2/5,,10억,181,98,남동향,20250421,"['10년이내', '역세권', '중층', '주차가능']",37.44734,127.056298
2521168203,단지내상가,월세,B1/1,200,"3,000",85,85,남서향,20250421,"['15년이내', '융자금없는', '지하층', '주차가능']",37.456116,127.057266
2521018683,일반상가,매매,1/5,,"8억 5,000",85,44,동향,20250419,"['10년이내', '마당', '역세권', '1층']",37.447942,127.055784
2520478312,단지내상가,매매,1/1,,4억,46,46,남서향,20250417,"['15년이내', '1층', '급매', '주차가능']",37.454788,127.058939
2520404660,일반상가,월세,2/2,550,"6,000",169,142,남동향,20250417,"['4년이내', '테라스', '역세권', '고층']",37.444951,127.058034
2520088411,복합상가,매매,1/5,,11억 300,89,46,남서향,20250415,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.44813,127.055599
2520087558,복합상가,매매,1/5,,"8억 7,000",73,38,남서향,20250415,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.44813,127.055599
2520075914,일반상가,매매,4/5,,"5억 5,000",120,64,남동향,20250415,"['10년이내', '역세권', '고층', '주차가능']",37.44734,127.056298
2520076891,일반상가,월세,1/3,280,"3,000",140,78,남서향,20250415,"['15년이내', '역세권', '1층', '주차가능']",37.446274,127.057327
2519673239,일반상가,매매,2/7,,"7억 8,000",121,97,남서향,20250414,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.447942,127.055784
2519813761,일반상가,월세,1/5,400,"6,000",145,80,북서향,20250414,"['10년이내', '역세권', '1층', '주차가능']",37.448318,127.055413
2519549142,일반상가,월세,1/1,180,"2,000",67,55,남동향,20250412,"['15년이내', '융자금없는', '1층', '관리비10만원이하']",37.456116,127.057266
2519251739,단지내상가,매매,전체층/4,,21억,121,97,남서향,20250411,"['10년이내', '역세권', '주차가능', '총4층']",37.447942,127.055784
2519011124,일반상가,월세,1/5,220,"3,000",30,30,남서향,20250410,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.448318,127.055413
