articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524655524,일반상가,월세,3/5,280,"4,000",210,181,북동향,20250509,"['25년이상', '중층', '주차가능', '엘리베이터']",37.471552,127.045064
2524618020,일반상가,월세,1/5,200,"6,000",36,36,남서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.469325,127.041198
2524657091,일반상가,월세,B1/3,130,"2,000",125,115,서향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.482199,127.038656
2524656353,일반상가,월세,B1/4,550,"5,000",234,214,동향,20250509,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.47581,127.039172
2524609002,일반상가,월세,1/4,240,"3,000",99,92,북동향,20250509,"['25년이상', '융자금없는', '1층', '주차가능']",37.47951,127.041813
2524658439,일반상가,월세,B1/5,400,"5,000",229,229,북향,20250509,"['25년이상', '융자금없는', '역세권', '지하층']",37.481978,127.038726
2524638335,일반상가,월세,1/4,115,"1,000",33,33,남향,20250509,"['25년이상', '1층', '총4층', '남향']",37.48147,127.041509
2524322209,일반상가,월세,2/5,210,"3,000",86,73,남서향,20250508,"['2년이내', '중층', '주차가능', '엘리베이터']",37.47678,127.040135
2524488398,일반상가,월세,1/9,300,"5,000",147,125,북서향,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.476476,127.036506
2524471144,일반상가,월세,1/4,350,"5,000",85,84,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.480588,127.038638
2524511665,일반상가,월세,1/6,320,"5,000",86,69,남동향,20250508,"['25년이상', '융자금적은', '1층', '주차가능']",37.478784,127.040641
2524509431,일반상가,매매,2/6,,"9억 6,000",123,100,북동향,20250508,"['10년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.481835,127.042174
2524509105,일반상가,월세,1/6,370,"3,000",156,125,남서향,20250508,"['25년이상', '융자금적은', '1층', '주차가능']",37.474189,127.04064
2524406068,일반상가,월세,1/7,400,"7,000",86,62,북서향,20250508,"['4년이내', '융자금없는', '1층', '주차가능']",37.477525,127.037897
2524385172,일반상가,월세,1/5,165,"3,000",49,28,북향,20250508,"['25년이상', '1층', '관리비20만원이하', '엘리베이터']",37.47208,127.046411
2524339151,복합상가,매매,2/15,,15억,150,77,북향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.484166,127.035036
2524457122,일반상가,월세,1/1,120,"3,000",49,39,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.471231,127.044022
2524399119,일반상가,월세,1/9,300,"5,000",98,98,북향,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.476476,127.036506
2524337541,일반상가,월세,B1/3,120,"1,000",82,82,동향,20250508,"['25년이상', '지하층', '총3층', '동향']",37.48147,127.041509
2524312528,일반상가,월세,1/5,130,"2,500",30,19,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.471936,127.04617
2524445112,일반상가,월세,1/5,320,"7,000",59,52,남서향,20250508,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.471634,127.045294
2524366665,일반상가,월세,1/5,320,"4,000",122,99,동향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.479355,127.042086
2524398909,일반상가,월세,1/4,80,"1,000",66,29,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.467646,127.042848
2524493686,일반상가,월세,1/5,150,"4,000",50,50,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.476064,127.045841
2524519672,일반상가,월세,1/5,105,"2,000",25,25,남서향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.471524,127.047988
2524500859,일반상가,월세,1/6,190,"2,000",88,88,남동향,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.461818,127.035374
2524519433,일반상가,월세,1/5,300,"5,000",100,88,동향,20250508,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.479355,127.042086
2524495365,일반상가,매매,2/3,,9억,106,52,북서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.484483,127.036659
2524504491,복합상가,월세,B1/20,45,"1,000",42,20,동향,20250508,"['25년이상', '융자금없는', '지하층', '관리비20만원이하']",37.477256,127.044497
2524559640,일반상가,월세,B1/4,130,"1,500",105,92,북동향,20250508,"['25년이상', '융자금적은', '지하층', '주차가능']",37.47951,127.041813
2524601034,일반상가,월세,1/5,100,"1,000",77,30,북동향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.474023,127.046256
2524415674,일반상가,월세,1/8,240,"3,600",72,72,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.467592,127.042032
2524320081,일반상가,월세,1/6,600,1억,120,119,북향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.484156,127.036833
2524533017,일반상가,월세,1/6,550,1억,188,132,북서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.469757,127.041826
2524461150,일반상가,월세,1/5,280,"3,000",99,76,북향,20250508,"['25년이상', '융자금적은', '1층', '관리비20만원이하']",37.480659,127.041112
2524574427,일반상가,월세,2/4,250,"5,000",121,121,남향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.483556,127.037469
2524534393,일반상가,월세,B1/6,144,"5,600",150,150,서향,20250508,"['25년이상', '지하층', '주차가능', '엘리베이터']",37.479032,127.037332
2524423039,일반상가,월세,1/5,440,"5,000",91,91,,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.476535,127.043507
2524435262,일반상가,월세,1/6,450,"7,000",162,130,남서향,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.4774,127.037752
2524306264,일반상가,월세,1/5,350,"5,000",100,87,북서향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.468275,127.04413
2524312121,일반상가,월세,1/5,165,"3,000",35,35,북향,20250508,"['25년이상', '1층', '천장에어컨', '총5층']",37.47208,127.046411
2524307412,일반상가,월세,1/6,250,"4,000",103,82,남향,20250508,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.474579,127.041527
2524377844,일반상가,월세,1/6,250,"4,000",97,66,남동향,20250508,"['25년이상', '테라스', '1층', '관리비20만원이하']",37.477291,127.037606
2524406151,일반상가,월세,B1/5,400,"5,000",229,214,북향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.481978,127.038726
2524353386,일반상가,월세,1/5,750,"8,000",221,221,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.473312,127.040783
2524464288,일반상가,월세,1/6,250,"4,000",82,56,남향,20250508,"['25년이상', '융자금적은', '테라스', '1층']",37.477291,127.037606
2524504273,일반상가,월세,1/4,240,"3,000",92,82,북동향,20250508,"['25년이상', '융자금적은', '1층', '주차가능']",37.47951,127.041813
2524359394,일반상가,월세,B1/5,150,"2,000",138,138,북서향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.475694,127.043472
2524577006,복합상가,월세,B1/15,30,300,15,10,남향,20250508,"['25년이내', '역세권', '지하층', '관리비10만원이하']",37.484166,127.035036
2524581686,일반상가,월세,1/4,130,"2,000",89,42,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.473582,127.042852
2524605520,일반상가,월세,B1/5,300,"3,000",207,207,남서향,20250508,"['25년이상', '융자금적은', '지하층', '주차가능']",37.473625,127.044566
2524502822,단지내상가,월세,1/6,50,"2,000",38,17,남향,20250508,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.475129,127.03213
2524322320,일반상가,월세,1/4,170,"1,700",49,42,서향,20250508,"['25년이상', '1층', '관리비20만원이하', '총4층']",37.483529,127.041672
2524357374,일반상가,월세,1/5,400,"5,000",91,59,동향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.476535,127.043507
2524409754,일반상가,월세,1/5,280,"3,000",89,76,북서향,20250508,"['25년이상', '융자금적은', '1층', '관리비20만원이하']",37.480659,127.041112
2524338937,단지내상가,월세,2/20,120,"2,000",49,24,북서향,20250508,"['25년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.484483,127.036659
2524442727,일반상가,월세,1/6,480,1억,188,150,북서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.469757,127.041826
2524086049,일반상가,월세,1/1,100,"2,500",50,46,북동향,20250507,"['25년이상', '1층', '주차가능', '북동향']",37.470013,127.043882
2524078115,일반상가,월세,1/5,250,"5,000",236,59,,20250507,"['25년이상', '1층', '주차가능', '총5층']",37.474386,127.044046
2523828082,일반상가,월세,1/5,280,"3,000",76,76,남향,20250507,"['25년이상', '융자금적은', '1층', '관리비20만원이하']",37.480659,127.041112
2523814799,일반상가,월세,1/4,220,"5,000",43,36,남향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.469325,127.041198
2523814792,일반상가,월세,1/5,300,"5,000",100,92,남향,20250507,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.468275,127.04413
2524255418,일반상가,월세,1/6,120,"1,500",55,50,북서향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.477757,127.040007
2524275918,일반상가,월세,2/7,761,"9,975",200,181,서향,20250507,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.481334,127.038001
2523954344,일반상가,월세,1/6,480,"7,000",162,115,북서향,20250507,"['25년이상', '1층', '주차가능', '북서향']",37.4774,127.037752
2524281105,일반상가,월세,1/5,330,"5,000",104,104,북향,20250507,"['25년이상', '융자금적은', '1층', '관리비20만원이하']",37.475122,127.043262
2524279425,일반상가,월세,1/7,280,"5,000",66,66,북서향,20250507,"['25년이내', '1층', '주차가능', '북서향']",37.471813,127.0458
2523814798,일반상가,월세,1/5,150,"3,000",52,52,남향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.469044,127.042288
2524182679,일반상가,월세,B1/5,170,"2,000",141,130,남동향,20250507,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.475122,127.043262
2524240445,일반상가,월세,1/4,130,"2,000",42,42,남동향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.473582,127.042852
2523841158,일반상가,매매,B1/15,,"5,900",20,10,동향,20250507,"['25년이내', '역세권', '지하층', '관리비10만원이하']",37.484166,127.035036
2524003185,일반상가,월세,1/5,110,"2,000",20,20,남서향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.477158,127.039475
2524263793,일반상가,월세,1/7,400,1억,209,132,서향,20250507,"['15년이내', '1층', '주차가능', '엘리베이터']",37.464907,127.034432
2524166198,일반상가,월세,1/2,70,"1,000",23,16,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.483477,127.037964
2523842471,일반상가,월세,2/5,500,"7,000",198,160,북향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.484891,127.038415
2523828079,일반상가,월세,1/4,200,"3,000",49,49,남향,20250507,"['25년이상', '융자금적은', '1층', '관리비20만원이하']",37.479773,127.042647
2524012904,일반상가,월세,1/4,240,"3,000",118,92,동향,20250507,"['25년이상', '1층', '주차가능', '천장에어컨']",37.47951,127.041813
2524126031,일반상가,월세,B1/6,200,"2,000",95,69,남서향,20250507,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.469136,127.040025
2524121990,일반상가,월세,1/3,100,"2,000",50,40,북향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.472374,127.045921
2524071749,일반상가,월세,1/9,300,"5,000",147,99,,20250507,"['25년이상', '1층', '주차가능', '엘리베이터']",37.476476,127.036506
2523828075,일반상가,월세,1/5,220,"2,000",66,66,남향,20250507,"['25년이상', '융자금적은', '1층', '주차가능']",37.479788,127.041854
2524120673,일반상가,월세,2/5,210,"3,000",88,73,남동향,20250507,"['2년이내', '테라스', '중층', '주차가능']",37.47678,127.040135
2524287103,일반상가,월세,1/5,300,"5,000",100,82,북동향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.479355,127.042086
2524237827,일반상가,월세,2/8,960,"1억 1,000",314,214,남서향,20250507,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.482146,127.037112
2523964501,일반상가,월세,1/6,280,"5,000",76,59,동향,20250507,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.476281,127.045615
2524093774,일반상가,월세,2/5,500,"7,000",198,165,북향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.484891,127.038415
2524021489,일반상가,월세,2/5,500,"7,000",198,158,북향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.484891,127.038415
2523876621,일반상가,월세,1/7,400,"7,000",86,64,북서향,20250507,"['4년이내', '1층', '주차가능', '천장에어컨']",37.477525,127.037897
2524146187,일반상가,월세,1/5,250,"2,200",80,80,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.481506,127.038552
2524170339,일반상가,월세,1/1,120,"5,000",39,39,북향,20250507,"['25년이상', '1층', '관리비10만원이하', '북향']",37.471231,127.044022
2524241994,일반상가,월세,1/4,100,"1,000",36,23,남서향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.474137,127.043401
2524212914,일반상가,월세,1/5,200,"3,000",99,82,북동향,20250507,"['25년이상', '1층', '주차가능', '총5층']",37.475784,127.045137
2524169646,일반상가,월세,1/6,250,"4,000",99,89,남향,20250507,"['25년이상', '1층', '주차가능', '남향']",37.474579,127.041527
2524248163,일반상가,월세,1/5,700,1억,266,266,북향,20250507,"['25년이상', '1층', '주차가능', '총5층']",37.478327,127.040041
2524227888,일반상가,월세,B2/4,250,"5,000",146,132,동향,20250507,"['15년이내', '역세권', '지하층', '주차가능']",37.482131,127.038427
2524227513,일반상가,월세,1/6,250,"4,000",181,66,북동향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.477291,127.037606
2524219131,일반상가,월세,1/4,200,"3,000",66,49,남서향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.479773,127.042647
2524129404,일반상가,월세,1/6,280,"5,000",49,49,동향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.476281,127.045615
2524173056,일반상가,월세,1/4,96,"1,000",39,33,남향,20250507,"['25년이상', '1층', '주차가능', '총4층']",37.474123,127.041577
2524181961,일반상가,월세,1/5,280,"4,000",115,105,동향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.475122,127.043262
2523828070,일반상가,월세,1/4,240,"3,000",92,92,남향,20250507,"['25년이상', '융자금적은', '1층', '주차가능']",37.47951,127.041813
2523814797,일반상가,월세,1/6,550,1억,125,125,남향,20250507,"['25년이내', '융자금적은', '역세권', '1층']",37.469757,127.041826
2524307789,일반상가,월세,1/4,100,"2,000",30,29,남서향,20250507,"['25년이상', '역세권', '1층', '급매']",37.468858,127.0425
2523828084,일반상가,월세,1/4,100,"2,000",26,26,남향,20250507,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.48108,127.041501
2523828067,일반상가,월세,1/6,220,"4,400",36,36,남향,20250507,"['25년이상', '융자금적은', '1층', '관리비20만원이하']",37.478935,127.039888
2523840052,일반상가,월세,1/4,250,"3,000",89,89,남향,20250507,"['10년이내', '융자금없는', '1층', '급매']",37.469748,127.043973
2524054144,일반상가,월세,B1/7,800,"1억 1,000",306,240,남서향,20250507,"['2년이내', '융자금없는', '역세권', '지하층']",37.481334,127.038001
2523814801,일반상가,월세,1/5,500,"7,000",84,82,남향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.46936,127.040021
2523814810,일반상가,월세,1/5,195,"3,000",80,72,남향,20250507,"['25년이내', '융자금적은', '1층', '관리비20만원이하']",37.469083,127.045241
2523828061,일반상가,월세,1/3,305,"4,000",104,99,남향,20250507,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.47811,127.041218
2523887417,복합상가,매매,2/15,,"4억 5,000",44,22,서향,20250505,"['25년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.484166,127.035036
2523638366,일반상가,월세,B1/6,350,"6,000",221,158,동향,20250503,"['25년이상', '지하층', '주차가능', '엘리베이터']",37.47827,127.038064
2523740337,일반상가,월세,3/5,310,"3,000",215,215,남향,20250503,"['25년이상', '융자금없는', '중층', '주차가능']",37.466238,127.03524
2523771507,일반상가,월세,2/7,819,"2억 5,860",574,195,서향,20250503,"['25년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.481538,127.037625
2523796712,일반상가,월세,1/4,290,"3,000",84,84,남향,20250503,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.46922,127.042297
2523630879,일반상가,월세,1/6,500,1억,139,99,서향,20250503,"['25년이내', '역세권', '1층', '주차가능']",37.471862,127.039155
2523641151,일반상가,월세,1/5,295,"2,200",96,82,남향,20250503,"['25년이상', '융자금적은', '역세권', '1층']",37.481506,127.038552
2523722200,일반상가,월세,1/1,120,"5,000",36,36,북서향,20250503,"['25년이상', '1층', '주차가능', '화재경보기']",37.471231,127.044022
2523631634,일반상가,월세,1/7,566,"9,020",271,221,북서향,20250503,"['25년이상', '융자금적은', '1층', '주차가능']",37.473365,127.042381
2523672521,일반상가,월세,1/3,"1,200",1억,198,167,남서향,20250503,"['25년이상', '1층', '주차가능', '천장에어컨']",37.466323,127.043136
2523572103,일반상가,월세,1/6,360,"5,000",63,63,동향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.468191,127.042828
2523316435,일반상가,월세,1/7,566,"9,020",271,215,남동향,20250502,"['25년이상', '1층', '주차가능', '남동향']",37.473365,127.042381
2523219828,일반상가,월세,1/7,"1,888",3억,313,313,서향,20250502,"['10년이내', '역세권', '1층', '주차가능']",37.480875,127.03848
2523298947,일반상가,월세,B1/7,140,"2,500",207,181,동향,20250502,"['25년이상', '융자금없는', '지하층', '주차가능']",37.475847,127.046066
2523277395,일반상가,월세,1/5,400,"5,000",118,90,남동향,20250502,"['4년이내', '1층', '주차가능', '엘리베이터']",37.477397,127.03943
2523370144,일반상가,월세,1/6,350,"5,000",124,115,북동향,20250502,"['25년이상', '1층', '주차가능', '북동향']",37.475381,127.044849
2523381725,일반상가,월세,1/5,190,"2,000",75,70,남서향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.472202,127.039894
2523622254,복합상가,매매,3/15,,19억,183,93,남서향,20250502,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.484166,127.035036
2523617853,일반상가,매매,1/7,,5억,59,45,남동향,20250502,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.471722,127.050341
2523328717,일반상가,월세,1/5,400,"5,000",117,117,북동향,20250502,"['25년이상', '역세권', '1층', '총5층']",37.473312,127.040783
2523570546,일반상가,월세,1/4,200,"3,000",33,33,남서향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.482604,127.037366
2523330734,단지내상가,월세,1/6,280,"4,000",50,50,남향,20250502,"['4년이내', '1층', '주차가능', '남향']",37.477612,127.039604
2523536558,일반상가,월세,1/4,170,"2,000",56,39,북동향,20250502,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.474316,127.044461
2523488572,일반상가,월세,B1/6,280,"3,500",212,198,남서향,20250502,"['25년이상', '지하층', '주차가능', '남서향']",37.474871,127.04583
2523393442,일반상가,월세,1/2,130,"1,500",134,45,남향,20250502,"['25년이상', '1층', '주차가능', '총2층']",37.476047,127.043883
2523488139,일반상가,월세,1/2,70,"1,000",16,16,동향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.483477,127.037964
2523487330,일반상가,월세,1/6,250,"4,000",103,89,북서향,20250502,"['25년이상', '1층', '주차가능', '엘리베이터']",37.474579,127.041527
2523377590,일반상가,월세,1/5,195,"3,000",70,70,북서향,20250502,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.469083,127.045241
2523364941,일반상가,월세,1/4,350,"7,000",197,197,남서향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.466895,127.034746
2523611620,일반상가,월세,B1/4,160,"1,500",136,136,남서향,20250502,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.480052,127.042897
2523488961,복합상가,월세,B1/15,60,500,31,15,서향,20250502,"['25년이내', '역세권', '지하층', '주차가능']",37.484166,127.035036
2523331168,일반상가,월세,1/4,200,"3,000",34,34,서향,20250502,"['25년이상', '역세권', '1층', '천장에어컨']",37.482604,127.037366
2523348473,일반상가,월세,B1/5,140,"2,000",113,99,북서향,20250502,"['25년이상', '지하층', '관리비10만원이하', '총5층']",37.469669,127.044273
2523329420,일반상가,월세,1/5,250,"5,000",236,72,남향,20250502,"['25년이상', '1층', '주차가능', '총5층']",37.474386,127.044046
2523486669,일반상가,월세,B1/5,150,"1,000",85,85,북동향,20250502,"['4년이내', '융자금없는', '지하층', '관리비10만원이하']",37.474253,127.042173
2523349550,일반상가,월세,B1/10,200,"5,000",85,52,남동향,20250502,"['4년이내', '역세권', '지하층', '엘리베이터']",37.483042,127.036474
2523303870,일반상가,월세,1/4,260,"2,000",99,83,남향,20250502,"['25년이상', '1층', '총4층', '남향']",37.481305,127.041329
2523307221,일반상가,월세,B1/5,220,"3,000",202,162,남서향,20250502,"['15년이내', '지하층', '주차가능', '총5층']",37.476283,127.043138
2523296355,일반상가,월세,1/5,240,"3,000",129,82,남향,20250502,"['25년이상', '1층', '주차가능', '총5층']",37.475793,127.042839
2523589447,일반상가,월세,1/4,140,"2,000",71,29,남서향,20250502,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.474459,127.043067
2523575687,일반상가,월세,1/5,165,"3,000",30,28,북서향,20250502,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.47208,127.046411
2523292056,일반상가,월세,1/4,80,"1,000",36,36,남서향,20250502,"['25년이상', '1층', '주차가능', '총4층']",37.473854,127.040897
2523275739,일반상가,월세,1/2,70,"1,000",26,16,동향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.483477,127.037964
