articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524516768,단지내상가,매매,1/1,,8억,24,21,북동향,20250508,"['15년이내', '1층', '주차가능', '천장에어컨']",37.462818,127.021714
2523995152,단지내상가,매매,1/4,,"4억 1,000",33,17,북서향,20250507,"['15년이내', '1층', '주차가능', '총4층']",37.464344,127.02534
2524057447,단지내상가,매매,1/9,,"3억 4,500",20,20,남서향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.470858,127.025386
2523896720,일반상가,매매,B1/3,,80억,956,500,남동향,20250505,"['25년이상', '지하층', '주차가능', '총3층']",37.469925,127.025446
2523878478,일반상가,월세,1/2,290,"5,000",210,150,남서향,20250505,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.472444,127.024593
2523284001,단지내상가,월세,1/2,200,"2,000",38,32,남향,20250502,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.46253,127.024835
2523281072,단지내상가,월세,2/2,130,"2,000",41,31,남동향,20250502,"['15년이내', '고층', '관리비10만원이하', '주차가능']",37.464147,127.027724
2523592937,일반상가,월세,1/5,320,"5,000",74,38,북서향,20250502,"['15년이내', '1층', '주차가능', '엘리베이터']",37.464059,127.025031
2523591142,일반상가,월세,1/5,180,"2,000",53,27,남서향,20250502,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.464059,127.025031
2523606293,단지내상가,월세,1/2,180,"2,000",41,27,북동향,20250502,"['15년이내', '1층', '주차가능', '총2층']",37.461831,127.023222
2523108861,단지내상가,매매,1/2,,"13억 5,000",64,42,동향,20250430,"['15년이내', '1층', '총2층', '동향']",37.458655,127.022119
2523115018,복합상가,월세,1/8,90,"2,000",31,27,서향,20250430,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.456774,127.015373
2523069227,단지내상가,월세,1/2,170,"2,000",39,32,동향,20250430,"['15년이내', '융자금없는', '1층', '관리비10만원이하']",37.461461,127.026496
2523089531,일반상가,월세,1/8,108,"7,241",84,57,동향,20250430,"['25년이상', '융자금없는', '1층', '주차가능']",37.470715,127.02494
2522985177,일반상가,매매,1/2,,4억,28,28,북향,20250429,"['25년이상', '1층', '총2층', '북향']",37.472841,127.023019
2522511992,단지내상가,매매,1/1,,"3억 8,000",36,31,북동향,20250428,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.462818,127.021714
2522691073,일반상가,월세,6/9,70,500,51,51,동향,20250428,"['25년이상', '융자금없는', '중층', '주차가능']",37.470858,127.025386
2522422077,단지내상가,매매,2/3,,"2억 5,000",28,24,북향,20250426,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.471364,127.023578
2522340753,단지내상가,매매,1/2,,"5억 5,000",32,32,북서향,20250426,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.461831,127.023222
2522098729,일반상가,매매,B2/4,,"9억 8,000",135,129,남향,20250425,"['15년이내', '지하층', '관리비10만원이하', '주차가능']",37.465454,127.021498
2522177697,단지내상가,월세,1/2,120,"3,000",33,24,동향,20250425,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.471364,127.023578
2522103606,복합상가,매매,B1/9,,"6,000",25,25,남서향,20250425,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.470858,127.025386
2521859874,단지내상가,월세,B1/2,230,"3,000",264,143,남동향,20250424,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.472841,127.023019
2521858835,일반상가,월세,1/9,110,"1,000",52,30,남동향,20250424,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.471095,127.02511
2521931813,일반상가,매매,B1/7,,"3억 5,000",146,92,남향,20250424,"['25년이상', '지하층', '관리비20만원이하', '남향']",37.470422,127.025264
2521628540,단지내상가,월세,1/2,120,"3,000",30,28,남동향,20250423,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.471538,127.025901
2521666099,단지내상가,매매,1/1,,8억,21,21,남향,20250423,"['15년이내', '1층', '남향']",37.462818,127.021714
2521685123,단지내상가,월세,1/1,170,"3,000",63,35,남향,20250423,"['15년이내', '융자금없는', '1층', '관리비10만원이하']",37.457409,127.018074
2521448492,단지내상가,매매,2/2,,"3억 5,000",38,25,동향,20250422,"['15년이내', '고층', '관리비10만원이하', '주차가능']",37.458474,127.023661
2521229658,복합상가,월세,6/7,130,"3,000",102,60,동향,20250421,"['15년이내', '고층', '주차가능', '동향']",37.457141,127.015327
2521226591,단지내상가,매매,2/3,,"2억 5,000",30,24,동향,20250421,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.471364,127.023578
