articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524419527,단지내상가,매매,B1/4,,10억,66,53,남향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.513589,127.009322
2524624010,단지내상가,월세,3/5,400,1억,97,48,북서향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.511653,127.012399
2524608890,단지내상가,월세,2/5,380,"5,000",78,37,북서향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.511653,127.012399
2524633932,일반상가,매매,B1/5,,"4억 9,000",36,31,남향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.505772,127.002277
2524626113,일반상가,월세,1/4,180,"1,500",39,39,남서향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.516938,127.018457
2524634074,일반상가,월세,1/5,200,"3,000",36,29,북향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.506587,127.005291
2524609475,단지내상가,월세,2/5,210,"5,000",41,19,북서향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.511653,127.012399
2524633835,일반상가,매매,2/5,,9억,25,22,북향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.508353,127.006005
2524609767,단지내상가,월세,4/5,350,"5,000",82,39,북서향,20250509,"['2년이내', '역세권', '고층', '주차가능']",37.511653,127.012399
2524608019,단지내상가,월세,2/5,518,"5,000",103,49,북서향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.511653,127.012399
2524626124,일반상가,월세,1/5,180,"2,000",46,46,남향,20250509,"['25년이내', '융자금적은', '역세권', '1층']",37.512445,127.017639
2524604715,단지내상가,월세,4/5,380,"5,000",89,43,북향,20250509,"['2년이내', '역세권', '고층', '주차가능']",37.511653,127.012399
2524511463,단지내상가,월세,4/5,350,1억,88,42,북서향,20250508,"['2년이내', '융자금없는', '역세권', '고층']",37.511653,127.012399
2524403187,일반상가,월세,1/5,280,"3,000",75,75,서향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.51087,127.019151
2524576120,단지내상가,월세,4/5,340,"5,000",88,43,북향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.512089,127.011347
2524534987,일반상가,월세,B1/4,290,"3,000",130,130,남서향,20250508,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.512942,127.017842
2524343346,단지내상가,월세,4/5,400,"5,000",78,38,남향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.511653,127.012399
2524400261,일반상가,월세,B1/7,690,1억,216,198,동향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.516462,127.019075
2524486231,일반상가,월세,B1/4,230,"3,000",151,115,남향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.513824,127.017964
2524533150,단지내상가,월세,4/5,380,"5,000",8907557,43,북향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.511653,127.012399
2524420582,일반상가,월세,1/4,300,"4,000",114,100,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.513835,127.018883
2524602105,일반상가,월세,1/4,110,"1,000",19,16,남서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.512942,127.017842
2524473123,일반상가,월세,전체층/5,150,"2,000",66,43,남향,20250508,"['2년이내', '역세권', '주차가능', '총5층']",37.505673,127.00195
2524345029,일반상가,월세,1/4,750,1억,173,173,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.514998,127.018538
2524493369,단지내상가,월세,2/5,400,1억,105,47,남서향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.514363,127.011643
2524022066,단지내상가,월세,1/5,800,1억,78,33,남서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.514363,127.011643
2524307042,일반상가,월세,1/5,220,"3,000",21,17,남동향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.506122,127.003718
2524395308,복합상가,월세,1/14,"1,200",2억,81,38,동향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.514389,127.019175
2524400046,일반상가,월세,B1/6,920,2억,357,330,남향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.513835,127.018883
2524533637,일반상가,월세,2/4,300,"3,000",111,111,남서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.512942,127.017842
2524468810,일반상가,월세,1/5,500,"5,000",74,37,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.512884,127.010847
2524576660,단지내상가,월세,4/5,340,"5,000",88,43,북향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.511653,127.012399
2524575666,단지내상가,월세,4/5,350,"5,000",88,43,북향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.512529,127.011242
2524563833,단지내상가,월세,4/4,67,"2,000",80,49,동향,20250508,"['25년이상', '고층', '관리비20만원이하', '주차가능']",37.515979,127.010789
2524594137,단지내상가,월세,3/3,120,"2,000",72,47,남향,20250508,"['25년이상', '고층', '주차가능', '총3층']",37.521327,127.015139
2524545566,복합상가,월세,2/14,300,"5,000",58,28,북동향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.514494,127.019559
2524303712,일반상가,월세,1/5,473,"6,000",103,99,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.513907,127.0185
2524545240,복합상가,월세,2/14,280,"5,000",64,30,북동향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.514494,127.019559
2524512463,단지내상가,월세,1/5,600,1억,67,32,북서향,20250508,"['2년이내', '융자금없는', '역세권', '1층']",37.511653,127.012399
2524548545,복합상가,월세,2/5,150,"2,000",20,20,,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.509091,127.004973
2524525418,일반상가,월세,1/14,"1,125",2억,319,152,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.517143,127.018805
