articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524633239,일반상가,월세,1/3,100,"1,000",56,26,북향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.553665,127.020005
2524488940,일반상가,월세,2/5,120,"3,000",203,65,서향,20250508,"['25년이상', '역세권', '중층', '총5층']",37.552937,127.020773
2524584594,일반상가,월세,B1/4,120,"2,000",74,70,서향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.553122,127.020724
2524442055,일반상가,월세,4/7,170,"3,000",81,81,북서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.55477,127.019433
2524576145,일반상가,월세,1/3,100,"2,000",36,36,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.55313,127.019288
2524485767,일반상가,월세,1/3,150,"1,500",66,33,남동향,20250508,"['10년이내', '역세권', '1층', '총3층']",37.553953,127.020177
2524482071,일반상가,월세,2/4,180,"3,000",60,60,북향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.554299,127.020135
2524452636,일반상가,월세,B1/5,365,"4,000",179,179,남동향,20250508,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.554299,127.020135
2524392821,단지내상가,월세,2/4,250,"3,000",73,73,북향,20250508,"['15년이내', '중층', '관리비20만원이하', '주차가능']",37.551299,127.024552
2524168201,일반상가,월세,B1/4,120,"2,000",74,74,서향,20250507,"['25년이상', '역세권', '지하층', '총4층']",37.553122,127.020724
2524203528,일반상가,월세,B1/5,300,"5,000",203,203,북향,20250507,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.552937,127.020773
2524206876,일반상가,월세,2/5,120,"3,000",70,60,북향,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.552937,127.020773
2524237602,일반상가,월세,1/5,350,"6,000",203,203,북향,20250507,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.552937,127.020773
2524283100,단지내상가,매매,B2/5,,"6억 5,000",73,73,동향,20250507,"['15년이내', '지하층', '관리비20만원이하', '주차가능']",37.551299,127.024552
2524173590,단지내상가,매매,1/1,,"9억 5,000",41,41,,20250507,"['10년이내', '역세권', '1층']",37.55545,127.018621
2524093222,단지내상가,매매,B4/4,,8억,52,52,북동향,20250507,"['15년이내', '지하층', '주차가능', '엘리베이터']",37.551299,127.024552
2524170078,일반상가,월세,B1/7,700,"1억 2,000",317,241,북향,20250507,"['2년이내', '역세권', '지하층', '주차가능']",37.554003,127.01935
2524138457,일반상가,월세,1/3,150,"1,500",33,33,서향,20250507,"['10년이내', '역세권', '1층', '총3층']",37.553953,127.020177
2524172056,일반상가,월세,3/7,"1,800",3억,450,344,,20250507,"['2년이내', '역세권', '중층', '주차가능']",37.554003,127.01935
2523793838,일반상가,월세,3/7,"1,000","1억 5,000",213,175,동향,20250503,"['2년이내', '역세권', '중층', '주차가능']",37.554003,127.01935
2523704880,단지내상가,월세,B4/4,120,"2,000",54,25,북동향,20250503,"['15년이내', '융자금없는', '지하층', '주차가능']",37.551299,127.024552
2523719250,복합상가,월세,1/3,150,"1,500",66,19,남향,20250503,"['10년이내', '융자금없는', '역세권', '1층']",37.553953,127.020177
2523620676,일반상가,월세,3/5,80,"1,500",44,30,남서향,20250503,"['25년이상', '융자금없는', '역세권', '중층']",37.554846,127.019782
2523425877,일반상가,월세,4/7,170,"3,000",81,80,북서향,20250502,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.55477,127.019433
2523424120,일반상가,월세,1/6,330,1억,80,77,,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.55435,127.019527
2523095375,일반상가,월세,B1/5,330,"5,000",230,230,남향,20250430,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.552937,127.020773
2523116412,일반상가,월세,1/3,75,"5,000",65,20,북서향,20250430,"['25년이상', '역세권', '1층', '총3층']",37.553675,127.021017
2523098216,일반상가,월세,1/3,180,"3,000",39,39,남동향,20250430,"['25년이상', '융자금없는', '역세권', '1층']",37.553966,127.019958
2523119805,일반상가,월세,B1/4,120,"2,000",106,106,북동향,20250430,"['25년이상', '융자금적은', '역세권', '지하층']",37.553122,127.020724
2523125121,일반상가,월세,1/4,65,"1,000",33,33,남동향,20250430,"['25년이상', '1층', '주차가능', '총4층']",37.549378,127.025653
2523137668,일반상가,월세,B1/3,80,"1,000",84,84,,20250430,"['25년이상', '역세권', '지하층', '총3층']",37.553574,127.020499
2522840683,일반상가,월세,1/3,115,"2,500",37,37,북향,20250429,"['25년이상', '융자금없는', '역세권', '1층']",37.553429,127.019294
2522844149,단지내상가,월세,1/1,210,"3,000",45,41,동향,20250429,"['10년이내', '융자금없는', '역세권', '1층']",37.55545,127.018621
2522810921,일반상가,월세,B1/3,60,"1,000",60,60,남동향,20250429,"['25년이상', '역세권', '지하층', '총3층']",37.55383,127.020262
2522584238,일반상가,월세,1/5,390,"7,000",116,75,북향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.55435,127.019527
2522772144,일반상가,월세,1/3,150,"1,500",20,20,남서향,20250428,"['10년이내', '역세권', '1층', '총3층']",37.553953,127.020177
2522647259,일반상가,월세,1/2,90,"2,000",62,62,북서향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.55249,127.022289
2522565926,일반상가,월세,4/5,164,"2,000",248,124,남서향,20250428,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.55435,127.019527
2522768589,일반상가,월세,B1/5,150,"3,000",120,100,북동향,20250428,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.553899,127.020673
2522772306,일반상가,월세,B1/3,80,"1,000",85,84,,20250428,"['25년이상', '역세권', '지하층', '주차가능']",37.553574,127.020499
2522331300,일반상가,월세,1/3,100,"3,000",19,19,북향,20250426,"['25년이상', '역세권', '1층', '총3층']",37.553675,127.021017
2522373886,일반상가,월세,3/5,170,"3,500",147,120,동향,20250426,"['25년이상', '융자금없는', '역세권', '중층']",37.553964,127.020522
2522304544,일반상가,월세,1/3,150,"3,150",40,40,북서향,20250425,"['25년이상', '역세권', '1층', '총3층']",37.555037,127.019661
2522083541,일반상가,월세,1/3,150,"3,150",40,35,북서향,20250424,"['25년이상', '역세권', '1층', '총3층']",37.555037,127.019661
2521936117,일반상가,월세,2/5,180,"3,000",94,60,남동향,20250424,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.554299,127.020135
2521636645,일반상가,월세,1/3,100,"3,000",65,19,북향,20250423,"['25년이상', '역세권', '1층', '총3층']",37.553675,127.021017
2521633523,일반상가,월세,1/3,100,"1,000",28,28,동향,20250422,"['25년이상', '역세권', '1층', '총3층']",37.553665,127.020005
2521636085,일반상가,월세,1/3,120,"1,000",56,39,동향,20250422,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.553665,127.020005
2521603612,일반상가,월세,1/4,230,"3,000",69,52,서향,20250422,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.554299,127.020135
2521502878,단지내상가,매매,B4/4,,8억,104,52,북동향,20250422,"['15년이내', '지하층', '주차가능', '엘리베이터']",37.551299,127.024552
2520934619,일반상가,월세,1/5,100,"2,000",58,52,서향,20250419,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.552582,127.020787
2520748573,일반상가,월세,1/5,100,"2,000",92,34,남향,20250418,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.552582,127.020787
2520749989,일반상가,월세,1/3,160,"3,000",74,24,북향,20250418,"['25년이상', '융자금없는', '역세권', '1층']",37.553966,127.019958
2520503610,일반상가,월세,1/2,100,"4,000",45,45,동향,20250417,"['25년이상', '역세권', '1층', '총2층']",37.551414,127.021842
2520565489,일반상가,월세,1/5,100,"2,000",34,34,서향,20250417,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.552582,127.020787
2520653769,일반상가,월세,1/3,100,"3,000",23,23,동향,20250417,"['25년이상', '역세권', '1층', '총3층']",37.553675,127.021017
2520403044,단지내상가,매매,B2/15,,"3억 5,044",48,24,북향,20250416,"['15년이내', '역세권', '지하층', '주차가능']",37.552839,127.022455
2520320273,일반상가,월세,1/5,400,"5,000",235,235,남서향,20250416,"['25년이상', '역세권', '1층', '주차가능']",37.552307,127.020789
2520255464,일반상가,월세,1/3,200,"3,000",44,44,남동향,20250416,"['25년이상', '역세권', '1층', '총3층']",37.554846,127.019782
2520014139,일반상가,월세,1/3,70,"2,000",105,20,북향,20250415,"['25년이상', '역세권', '1층', '총3층']",37.553429,127.019294
2520018990,일반상가,월세,1/3,150,"2,500",112,37,북향,20250415,"['25년이상', '융자금없는', '역세권', '1층']",37.55408,127.020168
2520021480,일반상가,월세,1/3,70,"2,500",49,23,동향,20250415,"['25년이상', '융자금없는', '역세권', '1층']",37.553557,127.020244
2519609359,일반상가,월세,2/3,160,"2,500",83,83,동향,20250414,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.553675,127.021017
2519917668,단지내상가,월세,B3/15,390,"3,900",180,109,북향,20250414,"['15년이내', '역세권', '지하층', '관리비20만원이하']",37.552839,127.022455
2519038515,일반상가,월세,B1/5,180,"3,000",195,195,북서향,20250410,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.553964,127.020522
