articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524641614,일반상가,월세,1/7,400,"7,000",67,67,남향,20250509,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.56399,127.030856
2524630716,일반상가,월세,B1/3,70,"1,000",40,40,동향,20250509,"['25년이상', '융자금없는', '역세권', '지하층']",37.56375,127.034134
2524436158,일반상가,월세,1/3,70,"1,000",24,24,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.564504,127.034081
2524338928,일반상가,월세,1/5,600,1억,261,261,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.564196,127.030901
2524322582,일반상가,월세,1/4,600,1억,261,261,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.564196,127.030901
2524573904,일반상가,월세,5/5,110,"1,000",40,10,북향,20250508,"['25년이상', '역세권', '고층', '총5층']",37.563924,127.031784
2524573755,일반상가,월세,3/4,350,"7,000",181,165,남향,20250508,"['25년이상', '역세권', '고층', '총4층']",37.562824,127.033427
2524419305,단지내상가,월세,2/27,100,"1,000",37,37,남향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.564399,127.034953
2524617999,일반상가,월세,1/7,385,"6,000",67,49,남향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.563944,127.03096
2524573455,일반상가,월세,4/4,200,"3,000",101,101,북향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.563924,127.031784
2524415999,일반상가,월세,B1/4,200,"3,000",128,115,북향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.563924,127.031784
2524460573,일반상가,월세,3/4,160,"3,000",83,83,남향,20250508,"['25년이상', '역세권', '고층', '총4층']",37.562565,127.034481
2524304322,복합상가,월세,2/14,650,1억,245,171,남향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.563344,127.032452
2524443928,일반상가,월세,1/4,600,"3,000",187,165,동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.5631,127.03524
2524579830,일반상가,월세,1/4,120,"1,200",111,49,서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.564697,127.031869
2524424836,일반상가,월세,1/3,110,"2,000",33,33,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.564259,127.032499
2524574522,일반상가,월세,B1/4,190,"2,500",65,65,남향,20250508,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.563272,127.033709
2524575961,단지내상가,월세,1/27,120,"2,500",84,38,서향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.564399,127.034953
2524403792,일반상가,월세,1/2,110,"2,000",18,18,,20250508,"['25년이상', '역세권', '1층', '총2층']",37.564122,127.030579
2524310251,일반상가,월세,1/7,385,"6,000",67,50,남향,20250507,"['10년이내', '융자금없는', '역세권', '1층']",37.563944,127.03096
2524022448,일반상가,월세,2/5,280,"5,000",176,165,북향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.562461,127.0346
2523881702,일반상가,월세,1/16,300,"5,000",41,26,남향,20250507,"['4년이내', '융자금없는', '역세권', '1층']",37.56301,127.0332
2523804403,일반상가,월세,1/4,100,"2,000",28,25,남향,20250507,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.564453,127.031093
2524276434,일반상가,월세,2/16,450,"8,000",81,81,남향,20250507,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.56301,127.0332
2523909303,일반상가,월세,1/4,210,"3,000",103,103,서향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.562844,127.034831
2523799002,일반상가,월세,4/4,300,"5,000",156,156,남향,20250503,"['25년이상', '역세권', '고층', '주차가능']",37.564732,127.030464
2523621116,일반상가,월세,2/3,174,"3,000",157,132,북동향,20250503,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.564827,127.03428
2523792587,일반상가,월세,2/16,850,"1억 5,000",175,175,남향,20250503,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.56301,127.0332
2523614419,일반상가,월세,1/5,300,"5,000",124,124,남서향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.564523,127.031854
2523304159,일반상가,월세,1/6,830,"1억 7,000",340,259,남향,20250502,"['15년이내', '융자금없는', '역세권', '1층']",37.563692,127.031675
2523568663,일반상가,월세,전체층/6,580,"8,000",86,49,남서향,20250502,"['25년이상', '역세권', '천장에어컨', '남서향']",37.562329,127.034203
2523321476,일반상가,월세,1/4,123,"1,200",45,45,서향,20250502,"['25년이상', '역세권', '1층', '총4층']",37.564697,127.031869
2523548772,일반상가,월세,5/9,140,"4,000",146,96,북향,20250502,"['15년이내', '역세권', '중층', '주차가능']",37.563245,127.03329
2523568930,일반상가,월세,1/6,350,"3,500",31,26,남서향,20250502,"['25년이상', '역세권', '1층', '천장에어컨']",37.562329,127.034203
2523288968,단지내상가,월세,2/16,350,"5,000",51,51,남향,20250502,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.563143,127.032863
2522901454,복합상가,월세,1/17,500,1억,170,91,동향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.563731,127.035777
