articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524575369,일반상가,월세,B1/6,150,"2,000",178,178,남향,20250508,"['15년이내', '역세권', '지하층', '관리비20만원이하']",37.56801,127.045303
2524466002,일반상가,월세,4/4,300,"2,000",269,269,동향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.570185,127.03824
2524581170,일반상가,월세,1/5,500,"5,000",148,126,북서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.570708,127.040163
2524348087,일반상가,월세,1/4,145,"1,500",199,66,서향,20250508,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.569439,127.033129
2524303310,일반상가,월세,1/3,55,"1,000",32,23,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.563892,127.040988
2524380096,일반상가,월세,B1/5,160,"2,000",140,140,동향,20250508,"['25년이상', '융자금없는', '지하층', '주차가능']",37.569448,127.034741
2524430688,일반상가,월세,1/1,350,"4,200",187,85,서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.566325,127.043837
2524438444,일반상가,월세,1/1,430,"5,000",97,97,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.569583,127.037722
2524452412,일반상가,월세,2/2,400,1억,99,99,남향,20250508,"['10년이내', '융자금없는', '고층', '주차가능']",37.570295,127.041519
2524111066,일반상가,월세,1/4,100,"2,000",33,29,동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.564338,127.041507
2523982582,일반상가,월세,1/3,120,"2,000",33,33,북향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.568361,127.045335
2524110974,복합상가,월세,2/3,220,"4,000",102,102,동향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.564338,127.041507
2523875368,일반상가,월세,1/4,430,"5,000",164,164,북서향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.567531,127.0456
2524110799,일반상가,월세,B1/4,120,"2,000",250,120,동향,20250507,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.564108,127.04147
2523906115,일반상가,월세,1/4,65,"1,000",24,24,서향,20250505,"['10년이내', '융자금적은', '1층', '관리비10만원이하']",37.569144,127.036844
2523778906,단지내상가,월세,1/5,120,"2,000",67,67,북향,20250503,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.564838,127.039596
2523784064,일반상가,월세,B1/4,300,"5,000",61,42,동향,20250503,"['15년이내', '역세권', '지하층', '주차가능']",37.570845,127.038449
2523294016,일반상가,월세,1/5,160,"2,000",39,33,서향,20250502,"['10년이내', '역세권', '1층', '총5층']",37.562935,127.041942
2523333304,단지내상가,월세,1/10,550,2억,346,231,남동향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.565936,127.043255
2523086671,일반상가,월세,1/3,520,"7,000",97,97,남향,20250430,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.56597,127.042167
2523030962,일반상가,월세,1/3,450,"4,000",122,122,남향,20250430,"['25년이상', '융자금없는', '1층', '총3층']",37.567338,127.033775
2523030877,일반상가,월세,3/4,400,"5,000",342,342,남향,20250430,"['25년이상', '융자금없는', '역세권', '고층']",37.57014,127.038563
2522893579,일반상가,월세,B1/5,150,"2,000",141,141,북서향,20250429,"['15년이내', '융자금적은', '역세권', '지하층']",37.567026,127.043395
2522907478,단지내상가,월세,1/5,150,"3,000",33,33,남동향,20250429,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.565767,127.042938
2522830906,일반상가,월세,1/3,310,"3,000",100,75,서향,20250429,"['25년이내', '1층', '주차가능', '총3층']",37.570068,127.041301
2522750389,일반상가,월세,2/10,250,"3,500",122,83,북서향,20250428,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.565936,127.043255
2522749392,일반상가,월세,1/10,500,2억,346,202,북서향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.565936,127.043255
2522752524,일반상가,월세,1/4,100,"1,000",61,61,동향,20250428,"['25년이상', '1층', '주차가능', '총4층']",37.569586,127.033355
2522636553,일반상가,매매,1/2,,"4억 6,500",34,22,동향,20250428,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.562722,127.041525
2522671475,일반상가,월세,1/3,55,"1,000",30,23,북향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.563892,127.040988
2522637804,일반상가,월세,1/2,550,1억,61,61,남동향,20250428,"['25년이상', '1층', '주차가능', '총2층']",37.568822,127.040353
2522748958,일반상가,월세,1/4,65,"1,000",23,23,,20250428,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.569144,127.036844
2522323885,일반상가,월세,2/3,450,"5,000",763,214,남향,20250426,"['10년이내', '역세권', '중층', '주차가능']",37.571037,127.040212
2522388124,일반상가,월세,1/3,120,"2,000",85,33,서향,20250426,"['25년이상', '융자금없는', '역세권', '1층']",37.562677,127.041945
2522323286,일반상가,월세,1/4,300,"2,600",248,82,서향,20250426,"['25년이상', '융자금없는', '1층', '총4층']",37.566616,127.036988
