articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524660668,일반상가,월세,2/3,"1,260","1억 2,600",231,231,동향,20250509,"['25년이상', '중층', '총3층', '동향']",37.549488,127.052241
2524652656,일반상가,월세,1/2,700,1억,132,132,동향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.546341,127.054474
2524627770,일반상가,월세,B1/3,400,"4,800",110,82,남서향,20250509,"['25년이상', '융자금없는', '역세권', '지하층']",37.543857,127.051173
2524630243,일반상가,월세,3/3,220,"3,000",83,70,북향,20250509,"['25년이상', '테라스', '고층', '관리비10만원이하']",37.54044,127.061582
2524625370,일반상가,월세,2/3,400,"6,000",62,56,서향,20250509,"['25년이상', '역세권', '중층', '천장에어컨']",37.543382,127.053798
2524625644,일반상가,월세,B1/5,250,"2,500",104,99,북서향,20250509,"['25년이상', '지하층', '주차가능', '총5층']",37.539046,127.061918
2524625619,일반상가,월세,1/3,110,"1,000",43,32,남동향,20250509,"['25년이상', '1층', '천장에어컨', '총3층']",37.539132,127.06158
2524625447,일반상가,월세,4/5,350,"4,000",95,85,남동향,20250509,"['25년이상', '고층', '주차가능', '엘리베이터']",37.539046,127.061918
2524625440,일반상가,월세,3/4,350,"3,000",51,51,남향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.54408,127.050264
2524617421,일반상가,월세,1/1,80,"1,000",34,34,동향,20250509,"['25년이상', '융자금없는', '1층', '동향']",37.536065,127.05332
2524607109,일반상가,월세,1/3,250,"4,000",31,31,남서향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.542312,127.053833
2524630094,일반상가,월세,2/4,250,"3,000",82,82,북향,20250509,"['25년이상', '역세권', '중층', '총4층']",37.544905,127.056276
2524609697,단지내상가,매매,1/15,,"6억 3,000",45,23,북향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.544049,127.053639
2524643212,일반상가,월세,1/13,350,"3,000",98,49,남동향,20250509,"['15년이내', '1층', '주차가능', '남동향']",37.539777,127.054546
2524649202,일반상가,월세,2/3,170,"3,000",36,33,남향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.54698,127.055348
2524648554,일반상가,월세,1/5,170,"2,000",44,44,북동향,20250509,"['10년이내', '테라스', '1층', '주차가능']",37.5484,127.053136
2524625530,일반상가,월세,3/3,300,"2,000",154,148,동향,20250509,"['25년이상', '고층', '총3층', '동향']",37.538253,127.055167
2524627855,일반상가,월세,4/8,450,"5,000",132,105,남동향,20250509,"['10년이내', '융자금없는', '역세권', '중층']",37.541919,127.053995
2524642878,일반상가,월세,2/15,"2,000",3억,555,277,남향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.543736,127.057907
2524611654,일반상가,월세,1/3,"2억 5,000",20억,845,845,남향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.543694,127.051684
2524615450,일반상가,월세,4/8,90,"1,000",49,49,서향,20250509,"['25년이내', '융자금적은', '역세권', '중층']",37.545326,127.056459
2524627738,일반상가,월세,1/3,800,1억,216,216,북서향,20250509,"['25년이상', '융자금적은', '1층', '총3층']",37.5491,127.056063
2524648837,일반상가,월세,2/3,700,1억,231,175,동향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.54521,127.055096
2524497197,일반상가,월세,1/4,"3,000",4억,466,413,남향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.537853,127.059299
2524509028,일반상가,월세,B1/3,380,"6,000",79,79,서향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.543382,127.053798
2524586751,일반상가,월세,1/3,270,"5,000",39,39,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.543034,127.055502
2524406718,일반상가,월세,2/4,250,"3,000",98,98,남향,20250508,"['25년이상', '융자금적은', '중층', '관리비10만원이하']",37.549155,127.054371
2524364199,일반상가,월세,1/4,220,"3,000",47,40,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.538602,127.056417
2524360601,일반상가,월세,B1/3,380,"6,000",79,66,서향,20250508,"['25년이상', '역세권', '지하층', '총3층']",37.543382,127.053798
2524360658,일반상가,월세,4/4,250,"2,500",164,132,북향,20250508,"['25년이상', '융자금적은', '고층', '총4층']",37.547905,127.062011
2524300366,일반상가,월세,2/4,200,"2,000",97,75,남서향,20250508,"['25년이상', '중층', '관리비10만원이하', '총4층']",37.539814,127.061853
2524346894,일반상가,월세,1/3,200,"3,300",33,33,동향,20250508,"['25년이상', '1층', '총3층', '동향']",37.547719,127.066841
2524340625,일반상가,월세,3/3,250,"3,000",95,82,서향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.546829,127.054972
2524357200,일반상가,월세,3/3,350,"5,000",90,90,북동향,20250508,"['25년이상', '융자금없는', '고층', '총3층']",37.538421,127.057784
2524356993,일반상가,월세,2/4,200,"3,000",107,107,남향,20250508,"['25년이상', '융자금없는', '중층', '주차가능']",37.537353,127.05571
2524348834,일반상가,월세,B1/8,680,1억,231,214,북향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.542874,127.053326
2524346798,일반상가,월세,B1/8,680,1억,214,199,동향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.542874,127.053326
2524346804,일반상가,월세,B1/3,250,"4,000",218,200,동향,20250508,"['25년이상', '지하층', '총3층', '동향']",37.547719,127.066841
2524321083,일반상가,월세,B1/8,680,1억,214,194,북향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.542874,127.053326
2524346562,일반상가,월세,1/3,800,1억,212,199,서향,20250508,"['25년이상', '융자금없는', '1층', '총3층']",37.5491,127.056063
2524337096,일반상가,월세,1/4,"3,000",4억,466,420,남향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.537853,127.059299
2524339088,일반상가,월세,2/2,"1,260","1억 2,600",215,215,남동향,20250508,"['25년이상', '마당', '고층', '주차가능']",37.549488,127.052241
2524336746,일반상가,월세,1/5,380,"5,000",110,99,서향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.549724,127.05425
2524348161,일반상가,월세,4/8,"1,350","1억 5,000",386,386,남향,20250508,"['10년이내', '테라스', '역세권', '중층']",37.542874,127.053326
2524303331,일반상가,월세,B1/8,680,1억,214,198,북향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.542874,127.053326
2524416317,일반상가,월세,3/8,870,"1억 5,000",217,204,북향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.542874,127.053326
2524402896,일반상가,월세,B1/4,250,"3,000",120,109,북향,20250508,"['25년이상', '지하층', '주차가능', '총4층']",37.537556,127.053614
2524364893,일반상가,월세,2/8,250,"5,000",85,85,남향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.545768,127.054818
2524307046,일반상가,월세,3/4,280,"2,000",116,115,북향,20250508,"['25년이상', '융자금적은', '고층', '주차가능']",37.539626,127.056764
2524351739,일반상가,월세,8/8,"4,500",6억,1269,1223,북향,20250508,"['10년이내', '역세권', '고층', '주차가능']",37.542874,127.053326
2524440153,일반상가,월세,3/4,"3,500",4억,640,595,동향,20250508,"['15년이내', '고층', '주차가능', '총4층']",37.541111,127.059236
2524359690,일반상가,월세,1/8,"1,150",2억,185,122,서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.541951,127.058418
2524455510,일반상가,월세,1/3,150,"4,000",30,26,서향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.545839,127.05459
2524461671,일반상가,월세,1/4,250,"3,000",23,23,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.544965,127.051653
2524398643,일반상가,월세,2/2,550,"8,000",82,82,남향,20250508,"['25년이상', '융자금적은', '고층', '총2층']",37.539634,127.056596
2524419848,복합상가,매매,1/11,,"14억 3,000",131,57,북향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.547884,127.053849
2524401719,일반상가,월세,1/11,350,"4,000",86,86,남동향,20250508,"['15년이내', '융자금적은', '역세권', '1층']",37.541588,127.053464
2524411154,일반상가,월세,1/13,350,"3,000",59,49,동향,20250508,"['15년이내', '1층', '주차가능', '동향']",37.539777,127.054546
2524427498,일반상가,월세,1/5,455,"7,000",59,59,북향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.543998,127.056646
2524365801,일반상가,월세,1/20,360,"5,000",126,65,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.546909,127.051671
2524399659,일반상가,월세,1/14,340,"5,000",164,82,북서향,20250508,"['10년이내', '1층', '주차가능', '북서향']",37.540186,127.056797
2524358306,일반상가,월세,2/15,"1,400",2억,373,186,남향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.543736,127.057907
2524422142,일반상가,월세,1/8,160,"3,000",42,25,서향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.54466,127.061398
2524424774,일반상가,월세,1/6,650,"7,000",165,132,남서향,20250508,"['15년이내', '1층', '주차가능', '남서향']",37.544536,127.064698
2524412862,일반상가,월세,1/4,250,"4,000",110,82,동향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.537535,127.059331
2524410246,일반상가,월세,4/7,500,"7,000",150,150,동향,20250508,"['10년이내', '테라스', '역세권', '중층']",37.543151,127.052374
2524325211,일반상가,월세,B1/8,680,1억,214,195,북향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.542874,127.053326
2524352320,일반상가,월세,2/6,"6,000","7억 2,000",1256,1071,,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.541248,127.057245
2524355198,일반상가,월세,1/14,"1,500",5억,430,227,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.54388,127.061316
2524390461,단지내상가,월세,전체층/9,700,"7,000",262,262,남향,20250508,"['10년이내', '융자금적은', '역세권', '주차가능']",37.546472,127.051403
2524462505,일반상가,월세,B1/4,270,"3,000",72,72,동향,20250508,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.543478,127.054451
2524428984,일반상가,단기임대,1/3,"6,000",300,102,102,북향,20250508,"['15년이내', '테라스', '역세권', '1층']",37.54339,127.057309
2524358247,일반상가,월세,1/4,400,"6,000",69,69,서향,20250508,"['25년이상', '1층', '총4층', '서향']",37.538186,127.056582
2524363783,일반상가,월세,1/3,250,"4,000",30,30,동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.542312,127.053833
2524358334,일반상가,월세,2/4,450,"5,000",109,109,북향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.544905,127.056276
2524442691,일반상가,월세,1/3,700,1억,66,66,북서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.547189,127.055124
2524426522,일반상가,월세,1/14,470,"8,000",63,63,동향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.544869,127.0543
2524454265,일반상가,월세,B1/9,760,"7,500",383,307,남동향,20250508,"['15년이내', '역세권', '지하층', '주차가능']",37.544682,127.057011
2524456952,일반상가,월세,2/3,350,"4,000",62,59,서향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.543467,127.053838
2524429568,일반상가,월세,4/4,290,"5,000",223,223,북향,20250508,"['25년이상', '고층', '주차가능', '총4층']",37.537116,127.055115
2524430897,일반상가,월세,1/2,1억,10억,1146,1146,남동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.542721,127.057025
2524439280,일반상가,월세,1/9,"1,300",2억,263,170,북향,20250508,"['10년이내', '테라스', '1층', '주차가능']",37.547974,127.061377
2524443390,일반상가,월세,5/7,"1,466","1억 4,657",233,208,북향,20250508,"['4년이내', '역세권', '고층', '주차가능']",37.544272,127.053027
2524480142,단지내상가,월세,1/18,550,"5,000",451,170,동향,20250508,"['25년이상', '융자금적은', '1층', '주차가능']",37.545386,127.065328
2524518262,일반상가,월세,5/8,260,"4,000",56,49,남향,20250508,"['4년이내', '역세권', '중층', '관리비20만원이하']",37.541907,127.05464
2524521532,일반상가,월세,1/15,525,1억,82,82,남동향,20250508,"['15년이내', '융자금없는', '역세권', '1층']",37.54027,127.055092
2524531655,일반상가,월세,3/14,860,"1억 2,000",242,174,북향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.544869,127.0543
2524568739,일반상가,월세,3/5,350,"5,000",103,103,북향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.54136,127.058532
2524397876,일반상가,월세,7/8,"1,000",2억,180,178,남서향,20250508,"['4년이내', '역세권', '고층', '주차가능']",37.543545,127.052212
2524494524,일반상가,월세,2/2,250,"4,500",44,41,북동향,20250508,"['25년이상', '고층', '총2층', '북동향']",37.539506,127.056422
2524522017,일반상가,월세,2/3,110,"1,000",95,46,서향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.547063,127.055085
