articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524660194,일반상가,월세,1/3,600,"5,000",244,244,서향,20250509,"['25년이상', '1층', '주차가능', '천장에어컨']",37.550125,127.065788
2524625520,일반상가,월세,3/3,150,"2,000",49,49,남서향,20250509,"['25년이상', '고층', '관리비10만원이하', '총3층']",37.549257,127.06524
2524410738,일반상가,월세,B1/3,150,"2,500",155,155,남향,20250508,"['25년이상', '융자금없는', '지하층', '총3층']",37.548397,127.065276
2524412592,일반상가,매매,1/2,,25억,121,121,북서향,20250508,"['25년이상', '테라스', '마당', '1층']",37.552272,127.06715
2524583826,일반상가,월세,B1/3,90,"1,000",108,99,북동향,20250508,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.558935,127.073162
2524583008,일반상가,월세,1/5,350,"5,000",85,85,서향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.555917,127.07147
2524502371,일반상가,월세,1/4,330,"5,000",72,66,동향,20250508,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.549861,127.066575
2524489827,일반상가,매매,전체층/3,,"22억 1,500",175,175,남동향,20250508,"['25년이상', '총3층', '남동향']",37.549257,127.06524
2524479638,일반상가,월세,1/4,350,"5,000",82,82,동향,20250508,"['25년이상', '융자금적은', '1층', '주차가능']",37.555917,127.07147
2524411055,일반상가,월세,2/3,230,"3,000",81,81,남향,20250508,"['25년이상', '융자금없는', '중층', '총3층']",37.548397,127.065276
2524082358,일반상가,월세,B1/4,120,"2,000",118,105,북향,20250507,"['25년이상', '지하층', '관리비10만원이하', '총4층']",37.551316,127.068003
2524133733,일반상가,월세,B1/4,400,"6,000",248,248,동향,20250507,"['25년이상', '지하층', '주차가능', '총4층']",37.555917,127.07147
2524091710,일반상가,월세,2/3,230,"3,000",81,66,남향,20250507,"['25년이상', '중층', '총3층', '남향']",37.548397,127.065276
2524104778,일반상가,월세,1/4,230,"2,500",56,56,남향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.549182,127.058083
2523835320,일반상가,월세,3/3,120,"2,000",117,117,동향,20250507,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.555594,127.071324
2524067833,일반상가,월세,2/3,250,"3,000",145,105,남동향,20250507,"['25년이상', '중층', '총3층', '남동향']",37.548397,127.065276
2524265523,일반상가,월세,B1/2,100,"1,000",66,66,남동향,20250507,"['25년이상', '지하층', '관리비10만원이하', '총2층']",37.550461,127.067491
2524181097,일반상가,월세,1/4,130,"2,000",49,49,서향,20250507,"['10년이내', '융자금없는', '1층', '관리비20만원이하']",37.549828,127.066833
2523765586,일반상가,월세,2/2,170,"2,000",54,54,북동향,20250503,"['25년이상', '융자금없는', '고층', '총2층']",37.54896,127.065285
2523788776,일반상가,월세,1/3,140,"2,000",177,40,동향,20250503,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.548927,127.06745
2523474477,일반상가,월세,3/4,280,"4,000",200,200,남동향,20250502,"['25년이상', '고층', '총4층', '남동향']",37.548437,127.065921
2523278384,일반상가,월세,1/3,480,"5,500",217,172,서향,20250502,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.550822,127.066342
2523475146,일반상가,월세,1/5,120,"1,000",33,33,북향,20250502,"['10년이내', '1층', '주차가능', '총5층']",37.548532,127.062352
2523042822,일반상가,월세,1/5,130,"2,000",48,48,서향,20250430,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.549828,127.066833
2523190289,일반상가,월세,1/4,330,"5,000",66,66,남서향,20250430,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.549861,127.066575
2523142369,일반상가,월세,1/5,350,"7,000",133,133,남동향,20250430,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.558199,127.072645
2523018962,일반상가,월세,1/3,40,500,8,8,동향,20250430,"['25년이상', '1층', '총3층', '동향']",37.554984,127.071008
2522837412,일반상가,월세,B1/3,150,"2,500",155,132,남향,20250429,"['25년이상', '지하층', '관리비20만원이하', '총3층']",37.548397,127.065276
2522815942,일반상가,월세,4/5,310,"3,000",67,67,서향,20250429,"['4년이내', '고층', '주차가능', '총5층']",37.549659,127.066697
2522607881,일반상가,월세,2/3,150,"2,000",55,50,서향,20250428,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.550822,127.066342
2522577116,일반상가,월세,2/5,300,"3,000",203,165,남동향,20250428,"['25년이내', '중층', '주차가능', '엘리베이터']",37.55612,127.071621
2522579880,일반상가,월세,1/5,130,"2,000",48,42,서향,20250428,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.549828,127.066833
2522531151,일반상가,월세,2/3,230,"3,000",81,76,남향,20250428,"['25년이상', '중층', '총3층', '남향']",37.548397,127.065276
2522486056,일반상가,월세,2/3,330,"3,000",126,126,서향,20250428,"['25년이상', '중층', '주차가능', '천장에어컨']",37.550125,127.065788
2522606520,일반상가,월세,1/2,400,"4,000",127,127,북동향,20250428,"['25년이상', '마당', '1층', '총2층']",37.549479,127.064798
2522630110,일반상가,월세,1/4,165,"2,000",49,49,남향,20250428,"['25년이상', '1층', '총4층', '남향']",37.549788,127.056025
2522605698,일반상가,매매,1/3,,"23억 1,000",109,109,북서향,20250428,"['25년이상', '1층', '주차가능', '총3층']",37.550822,127.066342
2522360234,일반상가,월세,2/4,150,"5,000",99,99,남향,20250426,"['25년이상', '중층', '관리비20만원이하', '총4층']",37.548435,127.065684
2522114283,일반상가,월세,2/4,130,"2,000",105,88,남동향,20250425,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.552361,127.069482
2522176252,일반상가,월세,1/4,165,"2,000",46,46,남향,20250425,"['25년이상', '1층', '총4층', '남향']",37.549788,127.056025
2522117069,일반상가,월세,2/4,150,"5,000",82,66,남향,20250425,"['25년이상', '중층', '관리비20만원이하', '총4층']",37.548435,127.065684
2522257289,일반상가,월세,1/3,105,"1,000",50,33,남서향,20250425,"['25년이상', '융자금적은', '1층', '주차가능']",37.557968,127.072236
2521915182,일반상가,월세,1/2,160,"2,000",58,58,서향,20250424,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.550822,127.066342
2521855136,일반상가,월세,전체층/2,400,"4,000",153,153,북동향,20250424,"['25년이상', '총2층', '북동향']",37.549793,127.065802
2521913647,일반상가,월세,1/4,180,"1,000",144,60,남향,20250424,"['25년이상', '1층', '주차가능', '총4층']",37.548541,127.06039
2522067619,일반상가,월세,1/4,290,"3,000",88,85,남향,20250424,"['25년이상', '융자금없는', '1층', '주차가능']",37.548798,127.065381
2521917572,일반상가,월세,1/3,70,"1,000",31,31,서향,20250424,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.549927,127.066913
2521551574,일반상가,월세,1/4,170,"2,000",67,50,북서향,20250422,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.551316,127.068003
2521476537,일반상가,월세,전체층/3,600,"5,000",244,244,서향,20250422,"['25년이상', '주차가능', '총3층', '서향']",37.550125,127.065788
2521497775,일반상가,월세,1/1,370,"4,000",77,77,북서향,20250422,"['25년이상', '융자금적은', '1층', '주차가능']",37.551275,127.067027
2521470788,일반상가,월세,2/3,230,"3,000",81,80,남향,20250422,"['25년이상', '융자금적은', '중층', '총3층']",37.548397,127.065276
2521474590,일반상가,월세,1/2,70,"1,000",21,16,남동향,20250422,"['25년이상', '1층', '총2층', '남동향']",37.549298,127.066016
2521474734,일반상가,월세,1/3,260,"3,000",99,92,동향,20250422,"['25년이상', '1층', '관리비20만원이하', '총3층']",37.556397,127.071734
2521472420,일반상가,월세,2/3,250,"3,000",145,106,남향,20250422,"['25년이상', '융자금적은', '중층', '총3층']",37.548397,127.065276
2521324513,일반상가,월세,1/2,130,"2,000",55,55,북동향,20250421,"['25년이상', '융자금없는', '1층', '총2층']",37.54896,127.065285
2521123648,일반상가,월세,1/4,330,"5,000",72,67,동향,20250421,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.549861,127.066575
