articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524507748,단지내상가,월세,2/5,90,"1,000",36,20,북향,20250508,"['25년이상', '중층', '주차가능', '총5층']",37.543275,127.011569
2524309636,단지내상가,매매,3/5,,"3억 9,000",74,50,남동향,20250508,"['25년이상', '중층', '주차가능', '총5층']",37.543275,127.011569
2524310135,일반상가,월세,2/4,130,"1,500",40,30,북향,20250508,"['25년이상', '융자금적은', '중층', '관리비10만원이하']",37.542676,127.012675
2524402431,일반상가,월세,2/5,320,"4,000",128,128,동향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.541879,127.016807
2524459919,단지내상가,매매,4/5,,"7억 2,000",104,67,동향,20250508,"['25년이상', '고층', '주차가능', '총5층']",37.543275,127.011569
2524573173,단지내상가,월세,1/2,30,500,1364,12,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.542603,127.019304
2524585922,단지내상가,매매,B1/2,,"3억 5,000",12,6,동향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.543609,127.018904
2524460887,단지내상가,매매,4/5,,"6억 5,000",146,94,남향,20250508,"['25년이상', '고층', '주차가능', '총5층']",37.543275,127.011569
2524311895,일반상가,월세,전체층/3,120,"1,000",26,26,동향,20250508,"['25년이상', '주차가능', '총3층', '동향']",37.540529,127.011013
2524456450,일반상가,월세,2/4,210,"3,000",50,50,서향,20250508,"['25년이상', '융자금없는', '중층', '관리비20만원이하']",37.540913,127.010955
2524171205,단지내상가,매매,4/4,,9억,182,88,남동향,20250507,"['15년이내', '고층', '주차가능', '엘리베이터']",37.544968,127.013862
2523891555,일반상가,월세,1/4,400,"3,000",70,70,북서향,20250507,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.543698,127.015665
2524130078,일반상가,월세,2/5,160,"3,000",56,56,남향,20250507,"['25년이상', '역세권', '중층', '총5층']",37.541789,127.016714
2524181945,단지내상가,월세,B2/11,"1,500",3억,878,627,남서향,20250507,"['25년이내', '지하층', '주차가능', '남서향']",37.542037,127.012022
2524080479,단지내상가,매매,B1/1,,3억,12,6,남향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.543609,127.018904
2524068898,일반상가,월세,3/3,330,"8,000",72,72,북향,20250507,"['25년이상', '고층', '관리비20만원이하', '주차가능']",37.543031,127.013135
2524149779,단지내상가,매매,1/4,,13억,43,34,동향,20250507,"['25년이상', '1층', '주차가능', '총4층']",37.541966,127.010014
2524130803,일반상가,월세,4/6,280,"5,000",132,132,,20250507,"['25년이내', '역세권', '중층', '주차가능']",37.542035,127.016747
2524134797,일반상가,월세,1/7,160,"2,000",36,36,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.545272,127.015949
2524202266,일반상가,월세,1/3,430,"8,000",50,50,남서향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.543031,127.013135
2524201838,일반상가,월세,2/3,380,"6,000",75,75,남서향,20250507,"['25년이상', '중층', '관리비20만원이하', '주차가능']",37.543031,127.013135
2523925746,단지내상가,월세,1/4,350,"8,000",93,80,남동향,20250507,"['25년이상', '1층', '주차가능', '총4층']",37.541966,127.010014
2523891682,일반상가,월세,B1/4,300,"3,000",108,108,북서향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.543698,127.015665
2523925237,단지내상가,월세,1/3,190,"3,000",67,33,서향,20250507,"['25년이상', '융자금없는', '1층', '총3층']",37.539757,127.014179
2524051881,단지내상가,월세,B1/4,50,"1,000",25,25,동향,20250507,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.540948,127.017139
2524052012,일반상가,월세,1/5,370,"7,000",78,39,남서향,20250507,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.541789,127.016714
2524051942,일반상가,월세,B1/2,70,"1,000",30,30,남동향,20250507,"['25년이상', '역세권', '지하층', '총2층']",37.543456,127.015452
2523712594,단지내상가,월세,2/5,45,"1,000",33,18,북향,20250503,"['25년이상', '융자금없는', '중층', '주차가능']",37.543275,127.011569
2523651322,일반상가,월세,4/6,280,"5,000",131,131,남향,20250503,"['25년이내', '융자금적은', '역세권', '중층']",37.542035,127.016747
2523712110,단지내상가,매매,B1/4,,12억,201,97,남동향,20250503,"['15년이내', '지하층', '주차가능', '총4층']",37.544968,127.013862
2523605359,단지내상가,매매,2/2,,"5억 5,000",36,36,남서향,20250502,"['15년이내', '역세권', '고층', '주차가능']",37.542318,127.018198
