articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524604129,일반상가,월세,1/5,140,"2,000",30,23,남동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.563351,127.053692
2524604438,일반상가,월세,1/5,90,"1,000",27,19,북서향,20250509,"['25년이상', '역세권', '1층', '총5층']",37.563097,127.05404
2524639059,일반상가,월세,1/5,90,"1,000",49,49,북동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.564211,127.051836
2524537440,일반상가,월세,1/10,200,"4,000",99,82,남향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.560556,127.066585
2524586862,일반상가,월세,1/18,"1,500",2억,509,509,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.560703,127.065637
2524588830,일반상가,월세,1/4,100,"2,000",51,33,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.565375,127.052655
2524586589,일반상가,월세,1/2,220,"3,000",48,48,북동향,20250508,"['25년이상', '테라스', '역세권', '1층']",37.56289,127.05386
2524448189,일반상가,월세,1/3,90,"1,000",54,32,북동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.563254,127.053375
2524583714,일반상가,월세,1/3,90,"1,500",45,39,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.566025,127.052138
2524592344,일반상가,월세,1/2,120,"2,000",33,26,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.564255,127.052467
2524493919,일반상가,월세,1/3,200,"3,000",29,29,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.564045,127.052993
2524529193,일반상가,월세,1/3,230,"3,000",78,77,북동향,20250508,"['25년이내', '역세권', '1층', '총3층']",37.564088,127.054382
2524463980,일반상가,월세,2/3,170,"2,000",99,99,,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.566162,127.053105
2524112574,일반상가,월세,1/4,110,"1,500",33,33,남서향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.566468,127.052305
2524095483,일반상가,월세,1/4,65,"1,000",22,20,,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.562391,127.05378
2524127701,복합상가,월세,1/18,"1,500",2억,840,516,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.560703,127.065637
2524111759,일반상가,월세,2/7,400,"7,000",198,198,북동향,20250507,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.561114,127.063872
2524111945,일반상가,월세,1/7,650,1억,155,155,북동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.561114,127.063872
2523829253,단지내상가,매매,1/3,,3억,42,40,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.560219,127.066289
2524095224,일반상가,월세,1/5,120,"2,000",30,30,북서향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.564301,127.051947
2524125575,일반상가,월세,1/7,650,1억,165,148,북동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.561114,127.063872
2523748249,일반상가,월세,1/3,90,"1,000",26,26,동향,20250503,"['25년이상', '역세권', '1층', '총3층']",37.563254,127.053375
2523684882,일반상가,월세,1/6,556,"2억 4,000",238,198,남향,20250503,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.560372,127.067876
2523801744,일반상가,월세,1/7,650,1억,181,155,북동향,20250503,"['25년이상', '마당', '역세권', '1층']",37.561114,127.063872
2523675065,일반상가,월세,2/4,190,"2,000",76,76,남향,20250503,"['25년이내', '역세권', '중층', '관리비10만원이하']",37.564821,127.053954
2523508430,일반상가,월세,2/5,160,"2,500",99,90,,20250502,"['25년이내', '역세권', '중층', '총5층']",37.56398,127.053329
2523452012,일반상가,월세,B1/8,400,"4,000",305,133,서향,20250502,"['25년이내', '역세권', '지하층', '주차가능']",37.5599,127.068414
2523218683,일반상가,월세,1/2,120,"2,000",50,26,남서향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.564255,127.052467
2523514164,일반상가,월세,1/6,556,"2억 4,000",259,205,남동향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.560372,127.067876
2523609307,일반상가,월세,1/4,230,"3,000",78,78,동향,20250502,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.564088,127.054382
2523294421,일반상가,월세,1/2,500,1억,107,99,남동향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.564502,127.0535
2523282202,일반상가,월세,1/2,550,1억,72,72,북서향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.564385,127.053804
2523366464,일반상가,월세,1/5,150,"2,000",63,44,남서향,20250501,"['2년이내', '융자금없는', '역세권', '1층']",37.561162,127.054811
2523201014,일반상가,월세,1/5,90,"1,000",36,29,서향,20250430,"['2년이내', '역세권', '1층', '주차가능']",37.562069,127.053203
2523156121,일반상가,월세,B1/3,80,"1,000",84,84,,20250430,"['25년이상', '융자금없는', '역세권', '지하층']",37.565423,127.052928
