articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524611843,단지내상가,월세,1/1,480,"7,000",229,104,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.566114,127.027626
2524634095,일반상가,월세,5/5,500,"5,000",266,200,,20250509,"['25년이상', '역세권', '고층', '주차가능']",37.562601,127.032803
2524633639,일반상가,월세,1/5,800,"3억 5,000",125,118,,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.562601,127.032803
2524605337,일반상가,월세,1/3,130,"2,000",30,22,북향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.564826,127.026845
2524451251,일반상가,월세,3/5,430,"5,000",193,193,남서향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.562324,127.032302
2524409865,단지내상가,월세,1/1,500,"5,000",94,94,북향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.566114,127.027626
2524007800,단지내상가,월세,2/3,280,"5,000",73,73,동향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.565047,127.028852
2524303284,일반상가,월세,4/5,380,"4,000",159,159,북동향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.563281,127.031345
2524445238,일반상가,월세,2/5,470,"5,000",193,165,남서향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.562324,127.032302
2524575465,단지내상가,매매,1/1,,"2억 7,000",72,32,동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.566114,127.027626
2524386626,단지내상가,매매,1/5,,"6억 5,000",87,38,남향,20250508,"['10년이내', '역세권', '1층', '급매']",37.566114,127.027626
2524455590,단지내상가,월세,2/3,110,"2,000",68,53,남향,20250508,"['10년이내', '융자금없는', '중층', '주차가능']",37.56086,127.026693
2524439509,일반상가,월세,1/3,250,"5,000",116,81,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.562484,127.032513
2524454816,일반상가,월세,2/5,300,"2,500",169,169,동향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.563275,127.030629
2524465705,일반상가,월세,5/5,"1,250","1억 5,000",372,350,북서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.56272,127.032567
2524608188,단지내상가,매매,1/2,,"4억 8,000",59,39,서향,20250508,"['10년이내', '역세권', '1층', '급매']",37.566114,127.027626
2524601247,단지내상가,매매,1/2,,7억,42,42,동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.566114,127.027626
