articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524609070,일반상가,월세,1/4,120,"2,000",41,41,남향,20250509,"['15년이내', '1층', '주차가능', '총4층']",37.55644,127.035594
2524655210,일반상가,월세,1/2,100,"2,000",26,24,남동향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.561228,127.032472
2524446673,일반상가,월세,5/5,"2,700",3억,665,665,남향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.56153,127.034598
2524456629,일반상가,월세,전체층/3,"1,000",1억,131,131,북향,20250508,"['25년이상', '역세권', '총3층', '북향']",37.561053,127.036397
2524556462,일반상가,월세,1/5,400,"1억 5,000",33,33,동향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.560094,127.040916
2524545988,단지내상가,매매,1/1,,"5억 5,000",42,33,북동향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.555896,127.029206
2524317782,일반상가,월세,1/7,300,"5,000",60,60,북향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.558272,127.035565
2524336709,일반상가,월세,1/5,300,"5,000",180,180,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.559771,127.039462
2524416760,일반상가,월세,B1/4,150,"2,000",81,81,동향,20250508,"['10년이내', '역세권', '지하층', '엘리베이터']",37.558469,127.03055
2524336778,일반상가,월세,1/5,350,"5,000",86,86,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.561367,127.039407
2524337431,일반상가,월세,B1/4,170,"2,000",118,118,서향,20250508,"['25년이상', '역세권', '지하층', '총4층']",37.559035,127.040103
2524599911,일반상가,월세,B1/5,270,"5,000",169,150,,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.561476,127.033926
2524557379,일반상가,월세,1/19,105,"2,000",45,24,북서향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.563461,127.037611
2524399798,단지내상가,매매,1/6,,"8,000",8,8,남동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.557914,127.027118
2524406745,일반상가,월세,1/4,325,"7,000",82,66,북향,20250508,"['25년이내', '역세권', '1층', '총4층']",37.560696,127.040237
2524334900,일반상가,월세,1/3,220,"5,000",26,26,북향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.560636,127.041107
2524335188,일반상가,월세,1/1,200,"2,000",28,28,북향,20250508,"['25년이상', '역세권', '1층', '북향']",37.558457,127.040176
2524396503,단지내상가,매매,2/6,,1억,15,10,남서향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.557914,127.027118
2524071673,일반상가,월세,1/3,180,"3,000",27,26,북동향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.557869,127.031272
2524283524,일반상가,매매,B2/4,,"14억 9,000",29,29,북향,20250507,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.555896,127.029206
2524218339,일반상가,월세,1/7,180,"3,000",37,37,서향,20250507,"['25년이내', '융자금없는', '역세권', '1층']",37.561497,127.033432
