articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524643153,일반상가,월세,1/5,120,"2,000",44,44,북향,20250509,"['25년이상', '1층', '총5층', '북향']",37.566238,127.033913
2524612058,일반상가,월세,2/6,400,"7,000",232,232,남향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.565343,127.032024
2524583948,일반상가,월세,1/1,130,"2,000",216,46,북향,20250508,"['25년이상', '역세권', '1층', '북향']",37.566408,127.031878
2524612265,일반상가,월세,3/6,400,"5,000",232,232,남향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.565343,127.032024
2524424206,일반상가,월세,1/3,120,"3,000",28,28,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.565511,127.034637
2524574058,일반상가,월세,1/4,120,"3,000",51,51,남향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.565087,127.033919
2524417357,일반상가,월세,1/3,80,"1,000",26,23,남향,20250508,"['25년이상', '1층', '총3층', '남향']",37.565914,127.034201
2524440915,일반상가,월세,1/5,130,"2,000",65,59,남향,20250508,"['25년이상', '마당', '역세권', '1층']",37.565749,127.032092
2524386447,일반상가,월세,1/4,120,"2,000",40,31,남향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.566716,127.032321
2524353466,일반상가,월세,1/5,130,"2,000",44,44,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.566379,127.03257
2524306791,일반상가,월세,2/2,300,"5,000",157,157,서향,20250508,"['25년이상', '역세권', '고층', '천장에어컨']",37.566943,127.03046
2524330276,일반상가,월세,1/4,420,"6,500",61,45,,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.566532,127.031177
2524007351,단지내상가,월세,B1/3,350,"5,000",60,60,서향,20250507,"['10년이내', '역세권', '지하층', '주차가능']",37.56496,127.02956
2523997364,단지내상가,월세,1/3,250,"3,000",73,73,서향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.56496,127.02956
2524011539,단지내상가,월세,1/3,250,"5,000",57,57,서향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.56496,127.02956
2524006980,단지내상가,월세,1/3,210,"3,000",56,56,서향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.56496,127.02956
2523843049,일반상가,월세,2/3,150,"2,000",109,109,남향,20250507,"['25년이상', '역세권', '중층', '총3층']",37.565067,127.0342
2524011889,일반상가,월세,1/4,131,"2,300",50,33,북향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.56658,127.030456
2524007098,단지내상가,매매,2/3,,"6억 9,000",61,61,서향,20250507,"['10년이내', '역세권', '중층', '주차가능']",37.56496,127.02956
2524316494,일반상가,월세,1/4,360,"9,000",240,132,남향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.565714,127.032525
2524313548,일반상가,월세,1/4,120,"3,000",42,41,남향,20250507,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.565714,127.032525
2523735149,일반상가,월세,1/1,200,"5,000",60,60,남향,20250503,"['25년이상', '역세권', '1층', '남향']",37.566943,127.03046
2523777611,일반상가,월세,1/3,110,"3,000",35,33,동향,20250503,"['25년이상', '역세권', '1층', '총3층']",37.566195,127.030776
2523726544,일반상가,월세,1/3,120,"2,000",26,26,남서향,20250503,"['25년이상', '1층', '총3층', '남서향']",37.566597,127.033065
2523226985,단지내상가,월세,1/3,250,"5,000",93,56,남향,20250502,"['10년이내', '융자금없는', '역세권', '1층']",37.56496,127.02956
2523455051,단지내상가,월세,B1/3,130,"2,000",51,23,동향,20250502,"['10년이내', '역세권', '지하층', '주차가능']",37.56496,127.02956
2523442211,일반상가,월세,1/5,250,"2,000",72,72,북향,20250502,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.56546,127.032632
