articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524649686,일반상가,월세,2/5,70,"1,000",30,25,서향,20250509,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.598579,127.022025
2524612590,단지내상가,월세,5/9,25,500,55,14,북동향,20250509,"['25년이상', '마당', '중층', '관리비20만원이하']",37.594825,127.010327
2524394481,단지내상가,매매,8/9,,"2억 5,000",26,26,서향,20250508,"['25년이상', '고층', '관리비20만원이하', '주차가능']",37.594825,127.010327
2524402187,단지내상가,매매,8/9,,2억,33,33,남향,20250508,"['25년이상', '급매', '고층', '관리비20만원이하']",37.594825,127.010327
2524493093,단지내상가,월세,3/5,70,"1,000",57,57,동향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.599024,127.023322
2524132410,단지내상가,매매,1/15,,5억,45,45,동향,20250507,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.598671,127.015062
2523992047,단지내상가,월세,4/7,55,500,65,35,,20250507,"['25년이내', '융자금없는', '중층', '주차가능']",37.594825,127.010327
2524296737,단지내상가,매매,B1/1,,8억,64,64,동향,20250507,"['10년이내', '지하층', '관리비10만원이하', '주차가능']",37.59917,127.012661
2524071219,단지내상가,월세,1/1,100,"2,000",39,33,남동향,20250507,"['25년이상', '1층', '남동향']",37.594825,127.010327
2523909880,단지내상가,월세,6/8,60,"1,000",86,35,북동향,20250507,"['25년이상', '융자금없는', '고층', '주차가능']",37.594825,127.010327
2524131738,단지내상가,월세,1/15,150,"3,000",69,45,동향,20250507,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.598671,127.015062
2523954635,단지내상가,매매,6/9,,"1억 4,000",86,35,동향,20250506,"['25년이상', '중층', '엘리베이터', '천장에어컨']",37.594825,127.010327
2524044045,일반상가,매매,1/5,,"2억 3,000",30,20,동향,20250506,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.599024,127.023322
