articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524660379,일반상가,월세,1/3,370,"7,000",161,161,남서향,20250509,"['25년이상', '1층', '총3층', '남서향']",37.597479,127.015009
2524217099,일반상가,월세,1/5,40,"1,000",14,14,남동향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.595239,127.017034
2524193148,일반상가,월세,1/3,370,"7,000",138,138,남서향,20250507,"['25년이상', '1층', '총3층', '남서향']",37.597479,127.015009
2524276450,일반상가,월세,1/3,80,"1,000",20,20,남향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.595694,127.016423
2524277864,일반상가,월세,1/2,60,"1,000",18,17,북동향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.596539,127.015746
2523905061,일반상가,월세,B1/4,105,"1,000",51,51,남향,20250507,"['25년이내', '역세권', '지하층', '관리비10만원이하']",37.596786,127.015989
2523549309,일반상가,월세,1/1,60,"1,000",13,13,서향,20250502,"['25년이상', '융자금없는', '1층', '서향']",37.597721,127.014827
2523550011,일반상가,월세,B1/3,105,"1,000",51,51,서향,20250502,"['25년이내', '융자금없는', '역세권', '지하층']",37.596786,127.015989
2522856182,일반상가,월세,1/3,130,"1,000",40,40,북향,20250429,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.596539,127.015746
2522439698,일반상가,월세,1/4,184,"3,000",33,33,남서향,20250426,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.59453,127.01634
2522077728,일반상가,월세,1/5,70,"2,000",20,20,남서향,20250424,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.595239,127.017034
2521028378,일반상가,월세,B2/5,84,"1,000",44,44,남서향,20250419,"['10년이내', '역세권', '급매', '지하층']",37.596503,127.015982
2521072041,일반상가,매매,1/6,,"3억 7,000",47,47,북서향,20250419,"['10년이내', '역세권', '1층', '주차가능']",37.595377,127.01719
2520892498,일반상가,월세,1/4,190,"3,500",68,68,남향,20250418,"['25년이내', '융자금없는', '역세권', '1층']",37.594606,127.016443
2520896160,일반상가,월세,2/4,150,"2,500",89,89,남향,20250418,"['25년이내', '융자금없는', '역세권', '중층']",37.594606,127.016443
2519966743,일반상가,월세,1/5,370,"7,000",161,161,남동향,20250415,"['25년이상', '융자금없는', '1층', '총5층']",37.597479,127.015009
2519382528,일반상가,월세,1/7,280,"5,000",100,100,남서향,20250411,"['25년이상', '융자금적은', '역세권', '1층']",37.595953,127.015921
2519031068,일반상가,월세,1/4,100,"2,000",18,17,동향,20250410,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.594722,127.016507
