articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524496394,복합상가,월세,1/25,150,"3,000",38,38,남서향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.591626,127.014568
2524602129,일반상가,월세,1/15,300,"5,000",74,74,북서향,20250508,"['10년이내', '테라스', '역세권', '1층']",37.592024,127.01456
2524521151,일반상가,월세,1/1,850,2억,72,72,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.591957,127.016472
2524520490,일반상가,월세,1/2,140,"2,300",59,59,북서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.59221,127.015254
2524396890,단지내상가,월세,1/15,300,"6,000",74,74,남향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.592118,127.014595
2524087160,일반상가,월세,1/1,470,"7,000",53,53,북서향,20250507,"['25년이상', '역세권', '1층', '북서향']",37.591783,127.013604
2523978218,일반상가,월세,B1/5,250,"4,000",223,200,,20250507,"['25년이상', '융자금없는', '역세권', '지하층']",37.590996,127.01665
2524277626,일반상가,월세,1/1,160,"3,000",39,39,동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.591601,127.016586
2523467859,일반상가,월세,1/5,180,"3,000",56,52,남동향,20250502,"['25년이상', '역세권', '1층', '총5층']",37.591779,127.013815
2523175183,일반상가,월세,1/2,140,"2,300",50,43,북향,20250430,"['25년이상', '융자금없는', '역세권', '1층']",37.592204,127.015181
2523054119,일반상가,월세,3/5,180,"3,000",147,132,남향,20250430,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.591389,127.016587
2522981954,일반상가,월세,3/3,90,"2,000",59,59,북서향,20250429,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.592179,127.014851
2523007737,일반상가,월세,4/15,300,"5,000",153,153,북서향,20250429,"['10년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.592118,127.014595
2522475892,일반상가,월세,2/3,150,"2,000",102,102,남동향,20250428,"['25년이상', '융자금없는', '역세권', '중층']",37.592079,127.015305
2522403410,일반상가,월세,3/4,95,"2,000",87,87,북동향,20250426,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.592196,127.015098
2521879719,일반상가,월세,4/15,300,"5,000",233,153,남동향,20250424,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.592118,127.014595
2521749896,일반상가,월세,1/3,322,"5,000",102,102,남향,20250423,"['25년이상', '융자금적은', '역세권', '1층']",37.592079,127.015305
2521343148,일반상가,월세,4/15,300,"5,000",233,153,남향,20250421,"['10년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.592024,127.01456
2521189808,단지내상가,매매,1/25,,6억,34,34,동향,20250421,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.591626,127.014568
2521200329,일반상가,월세,1/1,130,"3,000",28,28,남향,20250421,"['25년이상', '역세권', '1층', '남향']",37.591814,127.015501
2521204125,일반상가,월세,1/1,100,"1,000",34,34,남향,20250421,"['25년이상', '융자금없는', '역세권', '1층']",37.59163,127.015917
2520823044,일반상가,월세,2/3,160,"2,000",102,99,남향,20250418,"['25년이상', '융자금적은', '역세권', '중층']",37.592079,127.015305
2520776359,일반상가,월세,4/15,300,"5,000",153,153,남향,20250418,"['10년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.592024,127.01456
2520821496,일반상가,월세,1/1,160,"3,000",39,30,동향,20250418,"['25년이상', '역세권', '1층', '동향']",37.591601,127.016586
2519930813,일반상가,월세,1/3,170,"2,500",58,58,남향,20250415,"['25년이상', '융자금적은', '역세권', '1층']",37.591228,127.015889
2519801870,일반상가,월세,1/1,190,"3,000",39,39,동향,20250414,"['25년이상', '융자금없는', '역세권', '1층']",37.591512,127.016555
2519355158,일반상가,월세,1/3,220,"3,000",88,88,남향,20250411,"['25년이상', '융자금없는', '테라스', '역세권']",37.592076,127.015238
2519058687,일반상가,월세,1/15,300,"5,000",138,138,북서향,20250410,"['10년이내', '융자금없는', '역세권', '1층']",37.592118,127.014595
2519066133,일반상가,월세,1/1,135,"2,500",39,39,남향,20250410,"['25년이상', '역세권', '1층', '남향']",37.591814,127.015501
2518939628,일반상가,월세,1/1,190,"3,000",80,39,동향,20250410,"['25년이상', '융자금없는', '역세권', '1층']",37.591512,127.016555
