articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2523852765,일반상가,월세,1/8,270,"3,000",78,78,남동향,20250507,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.583468,127.020009
2524216019,일반상가,월세,1/8,270,"2,000",149,99,북동향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.581471,127.021215
2524221805,일반상가,월세,1/8,270,"2,000",149,149,북동향,20250507,"['25년이내', '융자금없는', '역세권', '1층']",37.581471,127.021215
2522750667,일반상가,월세,1/3,250,"5,000",144,144,남동향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.581871,127.020907
2522736272,일반상가,월세,1/3,400,"7,000",109,109,남동향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.581871,127.020907
2522748815,일반상가,월세,2/3,250,"5,000",109,109,남동향,20250428,"['25년이상', '역세권', '중층', '주차가능']",37.581871,127.020907
2522339853,일반상가,월세,B1/4,50,"1,000",66,60,남향,20250426,"['25년이상', '지하층', '총4층', '남향']",37.581479,127.019842
2522339562,일반상가,월세,1/4,100,"2,000",47,47,서향,20250426,"['25년이상', '역세권', '1층', '주차가능']",37.582511,127.019315
2522166170,일반상가,월세,3/4,220,"2,000",159,159,남동향,20250425,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.583406,127.019636
2521870817,일반상가,월세,1/8,270,"3,000",78,78,,20250424,"['15년이내', '역세권', '1층', '주차가능']",37.583444,127.020143
2521633876,일반상가,매매,1/1,,3억,33,33,남서향,20250423,"['25년이상', '역세권', '1층', '주차가능']",37.582645,127.019214
2520859137,일반상가,월세,1/5,100,"2,000",46,33,북동향,20250418,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.58303,127.019754
2520324969,일반상가,월세,1/5,100,"2,000",30,30,북향,20250416,"['25년이상', '역세권', '1층', '총5층']",37.58303,127.019754
2520325785,일반상가,월세,1/2,90,"3,000",52,52,남서향,20250416,"['25년이상', '역세권', '1층', '총2층']",37.581254,127.021041
