articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524432026,일반상가,월세,1/4,200,"2,000",88,88,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.587123,127.007265
2524110789,일반상가,월세,1/4,75,"1,500",28,28,남동향,20250507,"['2년이내', '융자금없는', '역세권', '1층']",37.587287,127.007939
2523854160,일반상가,월세,2/3,120,"2,000",82,82,동향,20250507,"['25년이상', '역세권', '중층', '총3층']",37.587651,127.008813
2523854755,일반상가,월세,1/3,130,"3,000",36,36,동향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.586505,127.009605
2523864327,일반상가,월세,1/3,130,"3,000",38,30,북동향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.586505,127.009605
2523854454,일반상가,월세,1/3,40,"1,000",26,26,동향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.586505,127.009605
2523790047,단지내상가,월세,1/8,90,"1,000",14,14,북서향,20250503,"['10년이내', '융자금없는', '역세권', '1층']",37.587736,127.004912
2523264146,일반상가,월세,1/4,100,"2,000",39,18,북동향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.586913,127.009315
2523556895,일반상가,월세,1/3,130,"3,000",38,36,동향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.586505,127.009605
2523564102,일반상가,월세,B1/3,40,"1,000",38,30,북동향,20250502,"['25년이상', '융자금적은', '역세권', '지하층']",37.586505,127.009605
2523336071,일반상가,월세,1/4,60,500,30,30,남향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.586039,127.008911
2522880203,일반상가,월세,1/3,80,"2,000",38,38,남서향,20250429,"['25년이상', '융자금없는', '역세권', '1층']",37.587179,127.007004
2522474914,일반상가,월세,1/4,130,"2,000",80,40,남서향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.587815,127.006236
2522315230,일반상가,월세,1/4,130,"2,000",33,33,동향,20250426,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.587749,127.006906
2521777972,일반상가,월세,1/3,130,"3,000",37,37,동향,20250423,"['25년이상', '융자금없는', '역세권', '1층']",37.586505,127.009605
2521090787,일반상가,월세,1/3,230,"3,000",40,40,동향,20250421,"['25년이상', '역세권', '1층', '총3층']",37.587817,127.008768
2521001531,일반상가,월세,1/5,130,"2,000",80,50,남서향,20250419,"['25년이상', '융자금적은', '역세권', '1층']",37.587815,127.006236
2520797149,일반상가,월세,1/4,140,"2,000",51,51,동향,20250418,"['25년이상', '역세권', '1층', '총4층']",37.586913,127.009315
2520828691,일반상가,월세,1/4,100,"1,500",30,30,북서향,20250418,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.587378,127.007036
2520520077,일반상가,매매,4/4,,30억,291,291,동향,20250417,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.587991,127.00648
2519901606,일반상가,월세,1/4,100,"2,000",19,19,북동향,20250414,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.586913,127.009315
2519903659,일반상가,월세,1/4,120,"2,000",39,39,동향,20250414,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.586913,127.009315
2519603494,일반상가,매매,1/4,,30억,99,99,북동향,20250414,"['25년이상', '역세권', '1층', '총4층']",37.587991,127.00648
2519335466,일반상가,월세,1/8,90,"1,000",21,14,북향,20250411,"['10년이내', '역세권', '1층', '급매']",37.587736,127.004912
2519020915,일반상가,월세,1/4,100,"1,500",72,30,북서향,20250410,"['25년이상', '융자금없는', '역세권', '1층']",37.587378,127.007036
