articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524563407,일반상가,월세,1/3,90,"2,000",26,26,,20250508,"['25년이상', '역세권', '1층', '총3층']",37.606381,127.045833
2524166741,단지내상가,매매,2/4,,"1억 2,500",38,38,서향,20250507,"['25년이내', '역세권', '중층', '주차가능']",37.607846,127.045451
2524069436,일반상가,월세,1/4,100,"1,000",49,26,남서향,20250507,"['2년이내', '융자금없는', '역세권', '1층']",37.605626,127.043829
2523819920,일반상가,월세,5/5,170,"3,000",141,141,남동향,20250507,"['25년이내', '역세권', '고층', '주차가능']",37.606078,127.044876
2524041230,일반상가,월세,1/3,120,"2,000",38,38,북동향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.609535,127.051846
2523819928,일반상가,월세,1/2,85,"1,000",33,29,,20250507,"['25년이상', '역세권', '1층', '총2층']",37.606447,127.049054
2524045521,일반상가,월세,1/2,150,"2,000",59,59,북서향,20250506,"['25년이상', '융자금적은', '역세권', '1층']",37.605826,127.044942
2523853074,일반상가,월세,1/5,250,"5,000",99,99,남향,20250505,"['25년이내', '역세권', '1층', '총5층']",37.606078,127.044876
2523680774,일반상가,월세,1/3,90,"2,000",25,25,북서향,20250503,"['25년이상', '역세권', '1층', '총3층']",37.606381,127.045833
2523670872,일반상가,월세,1/4,100,"1,000",49,49,북서향,20250503,"['2년이내', '융자금적은', '역세권', '1층']",37.605626,127.043829
2523321021,일반상가,월세,1/3,90,"2,000",33,33,남향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.606595,127.046038
2523511712,일반상가,월세,1/2,70,500,26,26,남서향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.606154,127.045453
2523056072,일반상가,월세,1/4,100,"1,000",30,26,북서향,20250430,"['2년이내', '융자금없는', '역세권', '1층']",37.605626,127.043829
2523192396,단지내상가,월세,3/4,55,"2,000",66,66,동향,20250430,"['25년이내', '융자금없는', '역세권', '고층']",37.607846,127.045451
2523225847,일반상가,월세,1/3,85,"2,000",30,25,남동향,20250430,"['25년이상', '역세권', '1층', '주차가능']",37.606381,127.045833
2522813092,일반상가,월세,1/4,65,"1,000",24,24,북서향,20250429,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.606492,127.049237
2522937704,일반상가,월세,1/1,55,"1,000",125,12,북서향,20250429,"['25년이상', '융자금없는', '역세권', '1층']",37.606703,127.046088
2522924513,일반상가,월세,1/4,55,"1,000",23,23,북서향,20250429,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.606492,127.049237
2522939181,일반상가,월세,1/1,55,"1,000",17,17,북서향,20250429,"['25년이상', '역세권', '1층', '북서향']",37.606703,127.046088
2521885277,일반상가,월세,1/5,150,"2,000",33,33,남향,20250424,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.605466,127.045028
2522013319,일반상가,월세,1/2,85,"1,000",29,29,,20250424,"['25년이상', '역세권', '1층', '총2층']",37.606447,127.049054
2521704635,일반상가,월세,1/2,135,"1,500",79,79,북서향,20250423,"['25년이상', '역세권', '1층', '총2층']",37.606595,127.04938
2521438792,일반상가,월세,1/2,70,500,27,27,북서향,20250422,"['25년이상', '융자금없는', '역세권', '1층']",37.606154,127.045453
2521511181,일반상가,월세,1/4,80,"1,000",58,58,남서향,20250422,"['10년이내', '융자금적은', '역세권', '1층']",37.605823,127.049998
2520977412,일반상가,월세,1/2,48,"1,000",26,23,북동향,20250419,"['25년이상', '역세권', '1층', '주차가능']",37.605866,127.049474
2520981898,일반상가,월세,1/4,60,"1,000",30,23,북서향,20250419,"['25년이상', '융자금없는', '역세권', '1층']",37.606492,127.049237
2520826492,일반상가,월세,1/1,70,"2,000",9,8,,20250418,"['25년이상', '역세권', '1층']",37.606703,127.046088
2520761248,일반상가,월세,2/4,300,"3,000",158,158,남서향,20250418,"['25년이상', '역세권', '중층', '총4층']",37.606076,127.044654
2520830137,일반상가,월세,1/1,55,"1,000",16,13,,20250418,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.606703,127.046088
2520803780,일반상가,월세,3/4,140,"3,000",92,92,북서향,20250418,"['25년이내', '역세권', '고층', '관리비20만원이하']",37.606223,127.045789
2520830059,일반상가,월세,1/1,70,"2,000",33,26,,20250418,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.606703,127.046088
2520612282,일반상가,월세,1/3,110,"1,500",52,52,북서향,20250417,"['25년이상', '융자금없는', '역세권', '1층']",37.607663,127.049486
2520233926,일반상가,월세,1/1,55,"1,000",16,16,북향,20250416,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.606703,127.046088
2519761399,일반상가,월세,1/4,230,"3,000",85,85,남서향,20250414,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.606076,127.044654
2519489814,일반상가,월세,4/5,220,"3,000",174,174,서향,20250412,"['25년이상', '융자금적은', '역세권', '고층']",37.607944,127.049681
2519395474,일반상가,월세,1/3,230,"2,000",95,95,남동향,20250411,"['25년이상', '융자금없는', '역세권', '1층']",37.607583,127.050239
2518730188,일반상가,월세,1/2,150,"1,500",40,40,북서향,20250409,"['25년이상', '역세권', '1층', '총2층']",37.605904,127.04504
