articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2523986913,일반상가,월세,2/2,100,"1,000",34,34,남향,20250508,"['25년이상', '융자금없는', '테라스', '역세권']",37.612379,127.0643
2524613965,단지내상가,월세,6/7,300,"5,000",138,138,남서향,20250508,"['4년이내', '융자금적은', '역세권', '고층']",37.612453,127.061413
2524615218,단지내상가,월세,7/7,450,"6,000",120,120,남서향,20250508,"['4년이내', '융자금적은', '역세권', '고층']",37.612453,127.061413
2524614535,단지내상가,월세,1/7,200,"5,000",59,59,남서향,20250508,"['4년이내', '융자금적은', '역세권', '1층']",37.612453,127.061413
2524574262,일반상가,월세,3/6,120,"1,500",100,100,남서향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.612354,127.061516
2524550285,일반상가,월세,1/3,120,"2,000",39,39,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.608313,127.059404
2524549276,일반상가,월세,3/5,150,"3,000",127,127,남향,20250508,"['25년이내', '중층', '총5층', '남향']",37.607043,127.061532
2524512082,일반상가,월세,1/3,120,"2,000",57,57,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.608313,127.059404
2524511832,일반상가,월세,1/3,80,"2,000",28,28,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.608313,127.059404
2524550744,일반상가,월세,1/3,80,"2,000",26,26,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.608313,127.059404
2524503081,일반상가,월세,1/1,150,"2,000",56,56,북향,20250508,"['25년이상', '1층', '북향']",37.605926,127.061664
2524320328,일반상가,월세,3/4,100,"1,000",79,79,동향,20250508,"['25년이상', '고층', '총4층', '동향']",37.610071,127.063218
2523943545,일반상가,월세,1/5,120,"2,000",60,58,북서향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.607426,127.051531
2524084290,일반상가,월세,1/5,120,"2,000",58,58,서향,20250507,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.607426,127.051531
2524237109,일반상가,월세,1/3,130,"1,700",52,52,북동향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.611483,127.06183
2524243705,단지내상가,월세,B1/4,20,300,15,15,남동향,20250507,"['25년이상', '융자금없는', '역세권', '지하층']",37.612668,127.068727
2523818108,일반상가,월세,4/5,230,"5,000",124,124,북서향,20250507,"['2년이내', '융자금없는', '역세권', '고층']",37.610094,127.059329
2524275094,일반상가,월세,2/4,150,"2,000",83,83,남향,20250507,"['4년이내', '역세권', '중층', '관리비20만원이하']",37.613836,127.064564
2524021449,일반상가,월세,B1/3,130,"5,000",72,72,남향,20250506,"['25년이상', '역세권', '지하층', '총3층']",37.614351,127.063765
2524027186,일반상가,월세,1/3,70,"2,000",46,46,남서향,20250506,"['25년이상', '역세권', '1층', '총3층']",37.609557,127.060405
2523636461,일반상가,월세,1/2,35,500,26,26,남동향,20250503,"['25년이상', '융자금없는', '역세권', '1층']",37.608392,127.061193
2523726852,일반상가,월세,3/6,180,500,113,113,남서향,20250503,"['25년이내', '역세권', '중층', '주차가능']",37.612582,127.061289
2523670541,일반상가,월세,1/4,70,"2,000",64,64,동향,20250503,"['25년이내', '역세권', '1층', '총4층']",37.611493,127.065418
2523675343,일반상가,월세,2/6,120,"1,000",100,100,남서향,20250503,"['25년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.612354,127.061516
2523683637,일반상가,월세,2/5,160,"2,500",144,144,남동향,20250503,"['25년이내', '융자금없는', '역세권', '중층']",37.612539,127.064344
2523767981,일반상가,월세,5/6,150,"3,000",82,82,남서향,20250503,"['25년이상', '역세권', '고층', '주차가능']",37.610064,127.057372
2523219046,일반상가,월세,1/4,250,"3,200",49,49,북서향,20250502,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.612848,127.064651
2523218794,일반상가,월세,1/5,400,"6,000",171,148,북동향,20250502,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.6127,127.06456
