articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524424083,일반상가,월세,1/5,60,"1,000",33,30,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.586292,127.023588
2524160494,일반상가,월세,1/5,60,"1,000",30,26,동향,20250507,"['25년이상', '역세권', '1층', '총5층']",37.586292,127.023588
2523345875,일반상가,월세,B1/5,60,"1,000",64,64,북향,20250502,"['25년이상', '융자금적은', '역세권', '지하층']",37.586277,127.023267
2523305697,일반상가,월세,1/6,110,"2,000",46,46,북향,20250502,"['25년이상', '역세권', '1층', '북향']",37.586212,127.022861
2523076364,일반상가,월세,1/1,55,"1,000",19,19,북향,20250430,"['25년이상', '1층', '북향']",37.58796,127.023471
2523009949,일반상가,월세,1/4,130,"2,000",36,36,남향,20250430,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.586502,127.021828
2523024026,일반상가,월세,1/5,125,"2,000",42,42,,20250430,"['25년이상', '역세권', '1층', '주차가능']",37.586277,127.023267
2523001421,일반상가,월세,2/4,140,"2,000",74,74,남서향,20250429,"['25년이내', '융자금없는', '역세권', '중층']",37.586938,127.023735
2522479033,일반상가,월세,1/1,55,"1,000",18,18,북향,20250428,"['25년이상', '1층', '북향']",37.58796,127.023471
2521639266,일반상가,월세,1/1,55,"1,000",18,14,북서향,20250423,"['25년이상', '1층', '북서향']",37.58796,127.023471
2520491729,일반상가,월세,1/6,110,"2,000",49,42,북향,20250417,"['25년이상', '역세권', '1층', '북향']",37.586212,127.022861
2519765884,일반상가,월세,B2/6,400,"5,000",176,133,북향,20250414,"['10년이내', '역세권', '지하층', '주차가능']",37.58607,127.022362
