articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524643761,단지내상가,월세,1/2,110,"2,000",44,44,서향,20250509,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.615146,127.009049
2524646957,일반상가,월세,B1/3,150,"2,000",125,125,남동향,20250509,"['25년이상', '융자금없는', '역세권', '지하층']",37.602127,127.013559
2524662240,단지내상가,매매,3/3,,"3억 2,000",209,118,서향,20250509,"['25년이내', '역세권', '고층', '관리비20만원이하']",37.613708,127.006566
2524636020,일반상가,월세,1/3,150,"2,000",86,86,남향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.613739,127.009923
2524645863,단지내상가,월세,2/3,100,"2,000",53,44,남서향,20250509,"['25년이내', '역세권', '중층', '주차가능']",37.615146,127.009049
2524541482,일반상가,월세,1/4,250,"5,000",63,63,남동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.60245,127.017935
2524453780,일반상가,월세,1/5,200,"5,000",179,66,북향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.602037,127.019373
2524516883,일반상가,월세,1/7,150,"3,000",74,74,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.612289,127.009612
2524451046,단지내상가,월세,B1/1,260,"4,000",56,28,남향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.603264,127.018322
2524434070,일반상가,월세,1/4,150,"3,000",90,90,남향,20250508,"['2년이내', '역세권', '1층', '관리비10만원이하']",37.612295,127.008597
2524463169,일반상가,월세,2/4,260,"3,000",194,185,동향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.610942,127.008664
2524396789,일반상가,월세,1/3,50,"1,000",13,13,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.606412,127.014881
2524394617,일반상가,월세,B1/3,180,"2,000",73,73,북동향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.608541,127.009761
2524580593,일반상가,월세,1/2,175,"2,000",46,46,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.603911,127.015236
2524343766,일반상가,월세,1/2,150,"2,000",25,25,남향,20250508,"['15년이내', '융자금없는', '역세권', '1층']",37.608765,127.008574
2524337924,일반상가,월세,1/3,240,"5,000",33,26,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.608541,127.009761
2524499672,일반상가,월세,1/3,120,"2,000",59,59,남서향,20250508,"['25년이상', '1층', '총3층', '남서향']",37.607887,126.999958
2524495097,일반상가,월세,1/2,150,"2,000",23,23,남향,20250508,"['15년이내', '역세권', '1층', '총2층']",37.608868,127.008591
2524504580,일반상가,월세,1/3,180,"3,000",54,54,북동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.608544,127.007785
2524462038,일반상가,월세,1/1,70,"1,000",23,23,남향,20250508,"['25년이상', '융자금없는', '1층', '남향']",37.607255,127.010842
2524465101,일반상가,월세,1/2,200,"3,000",75,75,남향,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.60699,127.010929
2524337598,일반상가,월세,1/3,70,"1,000",24,24,북향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.602187,127.016775
2524348360,일반상가,월세,2/4,200,"3,000",141,141,남서향,20250508,"['25년이내', '중층', '관리비10만원이하', '주차가능']",37.607097,127.010845
2524452529,일반상가,월세,1/3,155,"2,000",50,50,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.608798,127.008207
2524400867,일반상가,월세,1/3,60,"1,000",16,16,북서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.612809,127.010355
2524516196,일반상가,월세,1/3,180,"3,000",24,24,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.608568,127.008761
2524309204,단지내상가,월세,1/2,130,"4,000",22,22,북동향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.599646,127.016544
2524142426,일반상가,월세,4/4,300,1억,158,158,남서향,20250507,"['10년이내', '역세권', '고층', '주차가능']",37.608325,127.010205
