articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524598394,단지내상가,매매,1/3,,"2억 2,000",44,19,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.601194,127.036993
2524596747,단지내상가,월세,1/3,75,"1,000",48,24,남서향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.601194,127.036993
2524416713,일반상가,월세,2/5,370,"5,000",252,231,남동향,20250508,"['25년이상', '융자금없는', '중층', '주차가능']",37.595548,127.035352
2524451906,일반상가,월세,2/3,190,"3,000",112,112,북동향,20250508,"['25년이상', '중층', '관리비20만원이하', '총3층']",37.600161,127.033679
2524496929,일반상가,월세,1/5,75,"1,000",23,23,남동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.602324,127.03134
2524448463,단지내상가,매매,2/3,,2억,74,43,북향,20250508,"['25년이상', '중층', '주차가능', '엘리베이터']",37.601194,127.036993
2524458134,단지내상가,월세,1/3,140,"3,000",43,25,동향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.599515,127.039712
2524563595,일반상가,월세,1/2,150,"3,000",76,76,동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.592223,127.03613
2524391202,일반상가,월세,2/3,190,"3,000",112,110,동향,20250508,"['25년이상', '융자금없는', '중층', '관리비20만원이하']",37.600161,127.033679
2524498800,일반상가,월세,1/3,140,"2,000",35,35,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.591442,127.037531
2524063727,단지내상가,월세,B1/2,60,500,20,20,북향,20250507,"['25년이내', '지하층', '주차가능', '천장에어컨']",37.599251,127.031075
2523998458,일반상가,월세,3/6,200,"2,000",104,95,서향,20250507,"['10년이내', '중층', '관리비20만원이하', '엘리베이터']",37.594302,127.034986
2523852735,일반상가,월세,1/4,150,"3,000",50,46,북동향,20250507,"['25년이상', '융자금없는', '1층', '총4층']",37.597819,127.032669
2523993070,일반상가,월세,2/5,300,"6,000",252,231,남동향,20250507,"['25년이상', '융자금없는', '중층', '주차가능']",37.601366,127.032244
2523943810,복합상가,월세,1/7,220,"5,000",70,49,서향,20250507,"['25년이내', '융자금없는', '1층', '엘리베이터']",37.602677,127.031435
2524176543,단지내상가,매매,B1/3,,"1억 1,000",30,15,북향,20250507,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.601194,127.036993
2523994999,일반상가,월세,B1/5,300,"8,000",388,340,남동향,20250507,"['25년이상', '융자금없는', '지하층', '주차가능']",37.601366,127.032244
2524241444,복합상가,월세,1/25,300,"5,000",44,44,남향,20250507,"['25년이내', '1층', '주차가능', '남향']",37.601955,127.033489
2523915538,일반상가,월세,1/1,280,"5,000",53,53,,20250507,"['25년이상', '1층']",37.600733,127.034054
2524091922,일반상가,월세,1/3,300,"3,000",55,55,남향,20250507,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.602914,127.031692
2524252678,일반상가,월세,1/5,150,"3,000",84,84,남향,20250507,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.59843,127.037615
2524045473,일반상가,월세,1/2,50,"1,000",21,21,남서향,20250506,"['25년이상', '융자금없는', '1층', '총2층']",37.598153,127.031426
2523943457,복합상가,월세,1/7,100,"1,500",33,23,북서향,20250506,"['25년이내', '융자금없는', '1층', '주차가능']",37.602677,127.031435
2523872409,일반상가,월세,B1/5,160,"2,000",276,198,남동향,20250505,"['25년이상', '융자금적은', '지하층', '주차가능']",37.595548,127.035352
2523759607,일반상가,월세,4/5,600,"6,000",318,318,남서향,20250503,"['25년이상', '고층', '주차가능', '엘리베이터']",37.602947,127.032098
2523705783,단지내상가,월세,1/3,60,"1,000",42,21,북향,20250503,"['25년이상', '융자금없는', '1층', '주차가능']",37.601194,127.036993
2523706104,단지내상가,월세,1/3,75,"1,000",50,24,남향,20250503,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.601194,127.036993
2523738236,일반상가,월세,3/4,170,"3,000",150,150,남향,20250503,"['25년이상', '고층', '주차가능', '총4층']",37.599129,127.033915
2523718154,일반상가,월세,1/4,50,"1,000",16,16,동향,20250503,"['25년이상', '1층', '주차가능', '총4층']",37.597757,127.038663
2523516351,일반상가,월세,1/3,230,"5,000",33,33,남향,20250502,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.601292,127.033712
2523519314,일반상가,월세,2/2,207,"3,000",80,80,동향,20250502,"['25년이상', '고층', '총2층', '동향']",37.599186,127.034141
2523469253,일반상가,월세,1/7,220,"5,000",49,49,남서향,20250502,"['25년이내', '융자금적은', '1층', '남서향']",37.602677,127.031435
2523497465,일반상가,월세,전체층/2,200,"3,000",145,145,남향,20250502,"['25년이내', '융자금없는', '총2층', '남향']",37.603285,127.031069
2523518239,일반상가,월세,1/4,104,"1,000",59,59,북향,20250502,"['25년이상', '1층', '총4층', '북향']",37.598203,127.03434
2523497642,복합상가,월세,3/3,100,"2,000",85,85,동향,20250502,"['25년이상', '융자금없는', '고층', '총3층']",37.602585,127.031197
2523562211,일반상가,월세,1/2,80,"1,000",71,71,동향,20250502,"['25년이상', '융자금없는', '1층', '총2층']",37.60166,127.034028
2523606151,일반상가,월세,B1/5,300,"3,000",237,237,,20250502,"['25년이상', '융자금없는', '지하층', '총5층']",37.600387,127.033567
2523605785,일반상가,월세,5/5,300,"5,000",237,237,,20250502,"['25년이상', '융자금없는', '고층', '총5층']",37.600387,127.033567
2523261266,일반상가,월세,1/4,90,"1,000",27,27,남향,20250501,"['25년이내', '1층', '주차가능', '총4층']",37.598066,127.03224
2523260968,일반상가,월세,1/6,50,"1,000",22,22,북향,20250501,"['25년이내', '융자금없는', '1층', '주차가능']",37.597929,127.030708
2523056987,일반상가,월세,B1/5,300,"3,000",262,237,남동향,20250430,"['25년이상', '융자금없는', '지하층', '엘리베이터']",37.600387,127.033567
2523178149,일반상가,월세,1/2,50,"1,500",24,19,북동향,20250430,"['25년이상', '역세권', '1층', '총2층']",37.59807,127.039657
2523200860,일반상가,월세,1/5,200,"3,000",72,72,동향,20250430,"['25년이상', '테라스', '1층', '천장에어컨']",37.602008,127.031682
2523155833,일반상가,월세,1/4,85,"1,000",33,30,북향,20250430,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.598722,127.033157
2522794062,일반상가,월세,1/1,300,"5,000",60,54,서향,20250429,"['25년이상', '융자금없는', '1층', '서향']",37.600733,127.034054
2522838645,일반상가,매매,4/4,,8억,225,134,서향,20250429,"['15년이내', '고층', '주차가능', '총4층']",37.599632,127.033063
2522790706,일반상가,월세,1/4,250,"1,000",225,225,,20250429,"['25년이상', '역세권', '1층', '총4층']",37.593239,127.035435
2522951454,일반상가,월세,1/5,60,"3,000",26,26,남향,20250429,"['25년이상', '융자금없는', '1층', '총5층']",37.598752,127.034087
2522737974,단지내상가,월세,1/2,215,"5,000",56,56,북동향,20250428,"['25년이내', '역세권', '1층', '총2층']",37.603519,127.030091
2522737529,일반상가,월세,1/2,80,"1,000",46,46,서향,20250428,"['25년이상', '1층', '총2층', '서향']",37.60166,127.034028
2522743029,일반상가,월세,1/4,90,"2,000",33,33,서향,20250428,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.594257,127.034584
2522736632,일반상가,매매,4/4,,21억,538,538,남서향,20250428,"['25년이내', '역세권', '고층', '관리비10만원이하']",37.592355,127.034555
2522742799,일반상가,월세,1/4,80,"2,000",29,29,서향,20250428,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.594257,127.034584
2522798243,일반상가,월세,1/2,80,"2,000",33,33,남향,20250428,"['25년이상', '1층', '총2층', '남향']",37.598911,127.033107
2522593939,단지내상가,매매,1/3,,"6억 2,000",140,98,서향,20250428,"['25년이내', '1층', '주차가능', '총3층']",37.602217,127.030656
2522737193,일반상가,월세,B1/5,260,"3,000",262,262,동향,20250428,"['25년이상', '지하층', '총5층', '동향']",37.600387,127.033567
2522542037,일반상가,월세,1/2,300,"5,000",100,90,서향,20250428,"['4년이내', '융자금없는', '1층', '총2층']",37.60057,127.033468
2522738423,일반상가,월세,1/4,162,"3,000",50,50,북향,20250428,"['25년이내', '1층', '총4층', '북향']",37.594301,127.034745
2522478016,일반상가,월세,4/5,600,"6,000",318,318,동향,20250428,"['25년이상', '고층', '주차가능', '총5층']",37.602785,127.032065
2522568723,일반상가,월세,B1/2,65,500,49,49,북서향,20250428,"['25년이상', '역세권', '지하층', '총2층']",37.593891,127.035579
2522664496,일반상가,월세,4/6,250,"5,000",232,170,남서향,20250428,"['25년이상', '융자금없는', '중층', '주차가능']",37.600908,127.03431
2522609880,단지내상가,월세,1/25,300,"5,000",84,44,남서향,20250428,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.601955,127.033489
2522793710,일반상가,월세,1/7,120,"1,500",23,23,북동향,20250428,"['25년이내', '1층', '북동향']",37.602677,127.031435
2522423157,일반상가,월세,3/3,120,"3,000",73,73,남서향,20250426,"['25년이상', '융자금없는', '고층', '총3층']",37.601377,127.033668
2522412180,일반상가,월세,2/5,380,"4,000",252,52,동향,20250426,"['25년이상', '중층', '주차가능', '총5층']",37.595548,127.035352
2522423406,일반상가,월세,2/3,180,"3,000",104,104,남서향,20250426,"['25년이상', '융자금없는', '중층', '총3층']",37.601377,127.033668
2522411513,일반상가,월세,4/5,"1,200","1억 2,000",631,631,서향,20250426,"['25년이상', '융자금적은', '고층', '주차가능']",37.602947,127.032098
2522317016,일반상가,월세,1/4,80,"1,000",66,33,동향,20250426,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.601631,127.031902
2522444871,일반상가,월세,2/5,200,"2,000",152,148,북향,20250426,"['25년이상', '중층', '주차가능', '총5층']",37.59409,127.034263
2522357985,단지내상가,매매,1/3,,"3억 5,000",34,24,서향,20250426,"['25년이내', '1층', '주차가능', '총3층']",37.602217,127.030656
2522360250,일반상가,월세,1/2,50,"1,500",24,20,서향,20250426,"['25년이상', '융자금적은', '역세권', '1층']",37.59807,127.039657
2522232560,복합상가,월세,1/5,80,"1,000",30,30,동향,20250425,"['25년이상', '융자금적은', '1층', '총5층']",37.601734,127.031959
